type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1076, 0.1074, 0.1091, 0.1061, 0.1071, 0.1024, 0.1041, 0.0974, 0.0999, 0.1005, 0.1059, 0.0987, 0.0976, 0.0957, 0.107]",0.1001,0.0,0.001,160,1.0,32,42
personal,0.0,15,"[0.1031, 0.1039, 0.1011, 0.1009, 0.1025, 0.1019, 0.1015, 0.1016, 0.0984, 0.0989, 0.1017, 0.0979, 0.0999, 0.1028, 0.0976]",0.1001,0.0,0.001,160,1.0,32,42
pooled,0.0,15,"[0.1, 0.1011, 0.0996, 0.1005, 0.1011, 0.1007, 0.1014, 0.1009, 0.0982, 0.0992, 0.1008, 0.0989, 0.0994, 0.1009, 0.0995]",0.0999,0.0,0.001,160,1.0,32,42
global,0.0,15,"[0.1056, 0.1088, 0.1072, 0.1098, 0.1144, 0.1253, 0.1385, 0.1317, 0.1354, 0.1417, 0.1385, 0.1361, 0.1317, 0.1433, 0.1407]",0.1386,0.1,0.001,5.31,1.0,32,42
personal,0.0,15,"[0.1025, 0.1021, 0.1021, 0.1035, 0.1023, 0.1032, 0.1081, 0.1091, 0.1099, 0.1115, 0.1143, 0.111, 0.1129, 0.1152, 0.1155]",0.1145,0.1,0.001,5.31,1.0,32,42
pooled,0.0,15,"[0.0997, 0.102, 0.1019, 0.1047, 0.1033, 0.1057, 0.1086, 0.11, 0.1105, 0.1134, 0.1131, 0.1115, 0.1121, 0.114, 0.115]",0.1137,0.1,0.001,5.31,1.0,32,42
global,0.0,15,"[0.1038, 0.1174, 0.1314, 0.1423, 0.1566, 0.178, 0.1945, 0.1989, 0.2049, 0.2047, 0.2115, 0.2174, 0.2223, 0.2279, 0.2318]",0.2273,0.5,0.001,1.5,1.0,32,42
personal,0.0,15,"[0.1023, 0.1045, 0.1135, 0.1185, 0.1211, 0.1212, 0.1252, 0.1294, 0.1294, 0.1384, 0.1355, 0.1334, 0.1382, 0.1382, 0.1406]",0.139,0.5,0.001,1.5,1.0,32,42
pooled,0.0,15,"[0.1044, 0.1083, 0.1142, 0.1197, 0.1201, 0.1221, 0.1257, 0.1312, 0.1341, 0.1355, 0.1361, 0.1363, 0.1361, 0.1381, 0.143]",0.1391,0.5,0.001,1.5,1.0,32,42
global,0.0,15,"[0.1045, 0.1226, 0.1484, 0.1653, 0.1828, 0.203, 0.2195, 0.2285, 0.233, 0.2354, 0.2459, 0.2515, 0.2598, 0.263, 0.267]",0.2633,1.0,0.001,1.03,1.0,32,42
personal,0.0,15,"[0.1064, 0.1098, 0.1186, 0.123, 0.1269, 0.1281, 0.1294, 0.1371, 0.1399, 0.1434, 0.1475, 0.1461, 0.1516, 0.1499, 0.1558]",0.1524,1.0,0.001,1.03,1.0,32,42
pooled,0.0,15,"[0.1075, 0.1127, 0.1191, 0.1251, 0.1255, 0.1286, 0.1322, 0.1406, 0.1437, 0.1442, 0.1464, 0.1474, 0.1482, 0.1495, 0.1547]",0.1508,1.0,0.001,1.03,1.0,32,42
global,0.0,15,"[0.1075, 0.1389, 0.1765, 0.2048, 0.22, 0.2455, 0.2605, 0.272, 0.2748, 0.2785, 0.2914, 0.2983, 0.3016, 0.3054, 0.3129]",0.3066,4.0,0.001,0.63,1.0,32,42
