type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1037, 0.1044, 0.1399, 0.166, 0.1776, 0.1964, 0.2106, 0.2264, 0.2312, 0.2292, 0.2441, 0.2418, 0.2544, 0.2521, 0.2562]",0.2542,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
personal,0.0,15,"[0.1001, 0.1017, 0.1012, 0.1002, 0.1055, 0.1258, 0.1288, 0.1444, 0.1488, 0.1734, 0.1662, 0.1608, 0.1738, 0.1865, 0.1822]",0.1808,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
pooled,0.0,15,"[0.0988, 0.1, 0.0997, 0.0994, 0.1097, 0.1268, 0.1258, 0.1488, 0.1502, 0.1697, 0.1692, 0.163, 0.1773, 0.1877, 0.18]",0.1817,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
global,0.0,30,"[0.1037, 0.1044, 0.1399, 0.166, 0.1776, 0.1964, 0.2106, 0.2264, 0.2312, 0.2292, 0.2441, 0.2418, 0.2544, 0.2521, 0.2562]",0.2542,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
personal,0.0,30,"[0.0987, 0.1005, 0.1115, 0.1316, 0.1479, 0.1729, 0.1834, 0.1971, 0.2243, 0.2333, 0.2402, 0.2601, 0.2435, 0.2708, 0.2947]",0.2697,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
pooled,0.0,30,"[0.0996, 0.0998, 0.1139, 0.1319, 0.1462, 0.1712, 0.1775, 0.2002, 0.2231, 0.2355, 0.2414, 0.2594, 0.245, 0.267, 0.2942]",0.2687,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
global,0.001,15,"[0.1037, 0.1044, 0.1399, 0.166, 0.1776, 0.1964, 0.2106, 0.2264, 0.2312, 0.2292, 0.2441, 0.2418, 0.2544, 0.2521, 0.2562]",0.2542,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
personal,0.001,15,"[0.1001, 0.1052, 0.1004, 0.1002, 0.1086, 0.1289, 0.1224, 0.1448, 0.1487, 0.1722, 0.1598, 0.1556, 0.1702, 0.1858, 0.177]",0.1777,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
pooled,0.001,15,"[0.0988, 0.1023, 0.0996, 0.0994, 0.1132, 0.1269, 0.1194, 0.1459, 0.1514, 0.1688, 0.1617, 0.1588, 0.1714, 0.1836, 0.1748]",0.1766,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
global,0.001,30,"[0.1037, 0.1044, 0.1399, 0.166, 0.1776, 0.1964, 0.2106, 0.2264, 0.2312, 0.2292, 0.2441, 0.2418, 0.2544, 0.2521, 0.2562]",0.2542,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
personal,0.001,30,"[0.1002, 0.1041, 0.1086, 0.1251, 0.1506, 0.1639, 0.1807, 0.1872, 0.2012, 0.2098, 0.2189, 0.2272, 0.2209, 0.2479, 0.2536]",0.2408,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
pooled,0.001,30,"[0.1017, 0.1035, 0.1118, 0.1262, 0.1501, 0.1655, 0.1755, 0.1876, 0.203, 0.2116, 0.2226, 0.2263, 0.2249, 0.245, 0.2553]",0.2417,ThreeLevels-0-SCF,0.001,11.44,1.0,357,42
