type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.001,15,"[0.1001, 0.1001, 0.1001, 0.1001, 0.1001, 0.1001, 0.1001, 0.1001, 0.1026, 0.1109, 0.1232, 0.1287, 0.1337, 0.1381, 0.1384]",0.1367,ThreeLevels-0-SCF,0.001,11.44,1.0,348,44
personal,0.001,15,"[0.1035, 0.1031, 0.1048, 0.1064, 0.1054, 0.1179, 0.1166, 0.1394, 0.1556, 0.1509, 0.1593, 0.1576, 0.1583, 0.175, 0.181]",0.1714,ThreeLevels-0-SCF,0.001,11.44,1.0,348,44
pooled,0.001,15,"[0.1008, 0.1003, 0.1006, 0.1053, 0.1045, 0.1185, 0.1182, 0.142, 0.1551, 0.1554, 0.1531, 0.1562, 0.1603, 0.1727, 0.187]",0.1733,ThreeLevels-0-SCF,0.001,11.44,1.0,348,44
global,0.001,15,"[0.1001, 0.1002, 0.1008, 0.1045, 0.1031, 0.1171, 0.1205, 0.1392, 0.1419, 0.1417, 0.1525, 0.171, 0.1905, 0.1834, 0.1746]",0.1828,BoundedPareto-0-SCF,0.001,11.44,1.0,198,44
personal,0.001,15,"[0.0998, 0.0979, 0.0996, 0.0999, 0.1088, 0.1126, 0.1345, 0.138, 0.1509, 0.1525, 0.1663, 0.1468, 0.1567, 0.1707, 0.1591]",0.1622,BoundedPareto-0-SCF,0.001,11.44,1.0,198,44
pooled,0.001,15,"[0.101, 0.1004, 0.1002, 0.1013, 0.1041, 0.1087, 0.1315, 0.1355, 0.1466, 0.1532, 0.1611, 0.1457, 0.1592, 0.167, 0.1598]",0.162,BoundedPareto-0-SCF,0.001,11.44,1.0,198,44
global,0.001,15,"[0.1001, 0.1001, 0.1001, 0.1001, 0.1001, 0.1001, 0.1001, 0.1017, 0.1151, 0.1253, 0.1297, 0.1339, 0.1378, 0.1408, 0.1434]",0.1407,ThreeLevels-0-SCF,0.001,11.44,1.0,348,45
personal,0.001,15,"[0.1036, 0.0999, 0.1058, 0.0973, 0.1221, 0.1215, 0.1289, 0.1328, 0.1514, 0.1439, 0.1583, 0.1601, 0.1676, 0.1642, 0.1784]",0.1701,ThreeLevels-0-SCF,0.001,11.44,1.0,348,45
pooled,0.001,15,"[0.1019, 0.1001, 0.1023, 0.1009, 0.1225, 0.1196, 0.1273, 0.1334, 0.1505, 0.15, 0.1595, 0.1639, 0.167, 0.1657, 0.1785]",0.1704,ThreeLevels-0-SCF,0.001,11.44,1.0,348,45
global,0.001,15,"[0.1001, 0.1001, 0.1001, 0.1001, 0.1001, 0.1001, 0.1001, 0.1009, 0.1081, 0.1187, 0.1256, 0.1279, 0.1306, 0.1332, 0.1334]",0.1324,ThreeLevels-0-SCF,0.001,11.44,1.0,348,46
personal,0.001,15,"[0.0992, 0.1007, 0.1042, 0.1009, 0.1292, 0.1225, 0.1318, 0.1357, 0.1532, 0.1624, 0.1561, 0.1609, 0.1604, 0.1732, 0.1869]",0.1735,ThreeLevels-0-SCF,0.001,11.44,1.0,348,46
pooled,0.001,15,"[0.099, 0.0995, 0.1037, 0.1037, 0.1279, 0.1219, 0.1308, 0.1416, 0.1533, 0.1579, 0.1591, 0.1615, 0.164, 0.1742, 0.1841]",0.1741,ThreeLevels-0-SCF,0.001,11.44,1.0,348,46
