type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.0981, 0.1002, 0.098, 0.0995, 0.1028, 0.1002, 0.1006, 0.1021, 0.1007, 0.0965, 0.0992, 0.1007, 0.102, 0.1012, 0.0992]",0.1008,0.0,0.001,160,1.0,32,42
personal,0.0,15,"[0.1001, 0.1017, 0.1012, 0.1002, 0.1055, 0.1258, 0.1288, 0.1444, 0.1488, 0.1734, 0.1662, 0.1608, 0.1738, 0.1865, 0.1822]",0.1808,0.0,0.001,160,1.0,32,42
pooled,0.0,15,"[0.0988, 0.1, 0.0997, 0.0994, 0.1097, 0.1268, 0.1258, 0.1488, 0.1502, 0.1697, 0.1692, 0.163, 0.1773, 0.1877, 0.18]",0.1817,0.0,0.001,160,1.0,32,42
global,0.0,15,"[0.0963, 0.0952, 0.0979, 0.1075, 0.1111, 0.1125, 0.1144, 0.1266, 0.1243, 0.1221, 0.1305, 0.1289, 0.1308, 0.1357, 0.1426]",0.1364,0.1,0.001,5.31,1.0,32,42
personal,0.0,15,"[0.1001, 0.1017, 0.1012, 0.1002, 0.1055, 0.1258, 0.1288, 0.1444, 0.1488, 0.1734, 0.1662, 0.1608, 0.1738, 0.1865, 0.1822]",0.1808,0.1,0.001,5.31,1.0,32,42
pooled,0.0,15,"[0.0988, 0.1, 0.0997, 0.0994, 0.1097, 0.1268, 0.1258, 0.1488, 0.1502, 0.1697, 0.1692, 0.163, 0.1773, 0.1877, 0.18]",0.1817,0.1,0.001,5.31,1.0,32,42
global,0.0,15,"[0.1016, 0.1007, 0.1191, 0.1471, 0.1498, 0.1646, 0.1777, 0.191, 0.1969, 0.2015, 0.2098, 0.2128, 0.2182, 0.221, 0.225]",0.2214,0.5,0.001,1.5,1.0,32,42
personal,0.0,15,"[0.1001, 0.1017, 0.1012, 0.1002, 0.1055, 0.1258, 0.1288, 0.1444, 0.1488, 0.1734, 0.1662, 0.1608, 0.1738, 0.1865, 0.1822]",0.1808,0.5,0.001,1.5,1.0,32,42
pooled,0.0,15,"[0.0988, 0.1, 0.0997, 0.0994, 0.1097, 0.1268, 0.1258, 0.1488, 0.1502, 0.1697, 0.1692, 0.163, 0.1773, 0.1877, 0.18]",0.1817,0.5,0.001,1.5,1.0,32,42
global,0.0,15,"[0.1048, 0.1038, 0.1362, 0.1686, 0.1736, 0.1942, 0.2092, 0.2195, 0.2292, 0.2318, 0.2452, 0.244, 0.2496, 0.2542, 0.2596]",0.2545,1.0,0.001,1.03,1.0,32,42
personal,0.0,15,"[0.1001, 0.1017, 0.1012, 0.1002, 0.1055, 0.1258, 0.1288, 0.1444, 0.1488, 0.1734, 0.1662, 0.1608, 0.1738, 0.1865, 0.1822]",0.1808,1.0,0.001,1.03,1.0,32,42
pooled,0.0,15,"[0.0988, 0.1, 0.0997, 0.0994, 0.1097, 0.1268, 0.1258, 0.1488, 0.1502, 0.1697, 0.1692, 0.163, 0.1773, 0.1877, 0.18]",0.1817,1.0,0.001,1.03,1.0,32,42
global,0.0,15,"[0.109, 0.1089, 0.1626, 0.1986, 0.215, 0.2295, 0.2474, 0.2573, 0.2716, 0.2762, 0.2865, 0.2907, 0.2981, 0.3, 0.306]",0.3014,4.0,0.001,0.63,1.0,32,42
personal,0.0,15,"[0.1001, 0.1017, 0.1012, 0.1002, 0.1055, 0.1258, 0.1288, 0.1444, 0.1488, 0.1734, 0.1662, 0.1608, 0.1738, 0.1865, 0.1822]",0.1808,4.0,0.001,0.63,1.0,32,42
pooled,0.0,15,"[0.0988, 0.1, 0.0997, 0.0994, 0.1097, 0.1268, 0.1258, 0.1488, 0.1502, 0.1697, 0.1692, 0.163, 0.1773, 0.1877, 0.18]",0.1817,4.0,0.001,0.63,1.0,32,42
global,0.0,15,"[0.11, 0.1124, 0.1778, 0.2156, 0.2329, 0.2498, 0.2666, 0.2759, 0.29, 0.2955, 0.3084, 0.3079, 0.3144, 0.3206, 0.3269]",0.3206,8.0,0.001,0.51,1.0,32,42
personal,0.0,15,"[0.1001, 0.1017, 0.1012, 0.1002, 0.1055, 0.1258, 0.1288, 0.1444, 0.1488, 0.1734, 0.1662, 0.1608, 0.1738, 0.1865, 0.1822]",0.1808,8.0,0.001,0.51,1.0,32,42
pooled,0.0,15,"[0.0988, 0.1, 0.0997, 0.0994, 0.1097, 0.1268, 0.1258, 0.1488, 0.1502, 0.1697, 0.1692, 0.163, 0.1773, 0.1877, 0.18]",0.1817,8.0,0.001,0.51,1.0,32,42
global,0.0,15,"[0.1106, 0.1194, 0.1906, 0.2296, 0.2482, 0.2616, 0.2769, 0.2886, 0.3059, 0.3097, 0.3161, 0.3228, 0.3281, 0.332, 0.3396]",0.3332,16.0,0.001,0.44,1.0,32,42
personal,0.0,15,"[0.1001, 0.1017, 0.1012, 0.1002, 0.1055, 0.1258, 0.1288, 0.1444, 0.1488, 0.1734, 0.1662, 0.1608, 0.1738, 0.1865, 0.1822]",0.1808,16.0,0.001,0.44,1.0,32,42
pooled,0.0,15,"[0.0988, 0.1, 0.0997, 0.0994, 0.1097, 0.1268, 0.1258, 0.1488, 0.1502, 0.1697, 0.1692, 0.163, 0.1773, 0.1877, 0.18]",0.1817,16.0,0.001,0.44,1.0,32,42
global,0.0,30,"[0.0981, 0.1002, 0.098, 0.0995, 0.1028, 0.1002, 0.1006, 0.1021, 0.1007, 0.0965, 0.0992, 0.1007, 0.102, 0.1012, 0.0992]",0.1008,0.0,0.001,160,1.0,32,42
personal,0.0,30,"[0.0987, 0.1005, 0.1115, 0.1316, 0.1479, 0.1729, 0.1834, 0.1971, 0.2243, 0.2333, 0.2402, 0.2601, 0.2435, 0.2708, 0.2947]",0.2697,0.0,0.001,160,1.0,32,42
pooled,0.0,30,"[0.0996, 0.0998, 0.1139, 0.1319, 0.1462, 0.1712, 0.1775, 0.2002, 0.2231, 0.2355, 0.2414, 0.2594, 0.245, 0.267, 0.2942]",0.2687,0.0,0.001,160,1.0,32,42
global,0.0,30,"[0.0963, 0.0952, 0.0979, 0.1075, 0.1111, 0.1125, 0.1144, 0.1266, 0.1243, 0.1221, 0.1305, 0.1289, 0.1308, 0.1357, 0.1426]",0.1364,0.1,0.001,5.31,1.0,32,42
personal,0.0,30,"[0.0987, 0.1005, 0.1115, 0.1316, 0.1479, 0.1729, 0.1834, 0.1971, 0.2243, 0.2333, 0.2402, 0.2601, 0.2435, 0.2708, 0.2947]",0.2697,0.1,0.001,5.31,1.0,32,42
pooled,0.0,30,"[0.0996, 0.0998, 0.1139, 0.1319, 0.1462, 0.1712, 0.1775, 0.2002, 0.2231, 0.2355, 0.2414, 0.2594, 0.245, 0.267, 0.2942]",0.2687,0.1,0.001,5.31,1.0,32,42
global,0.0,15,"[0.0963, 0.0952, 0.0979, 0.1075, 0.1111, 0.1125, 0.1144, 0.1266, 0.1243, 0.1221, 0.1305, 0.1289, 0.1308, 0.1357, 0.1426]",0.1364,0.1,0.001,5.31,1.0,32,42
