type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,5,"[0.1004, 0.0975, 0.1784, 0.2368, 0.2458, 0.2853, 0.3196, 0.3387, 0.3607, 0.3842, 0.3987, 0.4083, 0.4244, 0.4338, 0.4473, 0.4556, 0.4722, 0.4731, 0.4889, 0.4959, 0.5055, 0.5164, 0.5249, 0.5277, 0.5361, 0.5464, 0.5484, 0.562, 0.5652, 0.5636, 0.5774, 0.5816, 0.5862, 0.593, 0.5955, 0.6053, 0.6065, 0.6116, 0.6096, 0.6152, 0.6216, 0.6245, 0.6276, 0.6289, 0.6316, 0.6366, 0.6351, 0.6417, 0.6491, 0.6491, 0.6508, 0.6533, 0.6564, 0.6635, 0.6604, 0.6618, 0.667, 0.6638, 0.6695, 0.6677, 0.6727, 0.6746, 0.6767, 0.6758, 0.6788, 0.6788, 0.6791, 0.685, 0.6805, 0.6841, 0.6879, 0.689, 0.6914, 0.6908, 0.6915, 0.6936, 0.6934, 0.6878, 0.6874, 0.6933, 0.6971, 0.6938, 0.6937, 0.698, 0.6976, 0.6939, 0.6979, 0.6983, 0.6992, 0.6965, 0.7005, 0.6925, 0.7005, 0.6984, 0.7003, 0.7052, 0.7019, 0.7024, 0.6978, 0.7009]",0.7004,PrivacyFree,,,,32,42
personal,0.0,5,"[0.0991, 0.0978, 0.1018, 0.1015, 0.1008, 0.0995, 0.0978, 0.0995, 0.1021, 0.11, 0.0977, 0.1058, 0.1027, 0.1058, 0.1094, 0.11, 0.1116, 0.1122, 0.127, 0.1316, 0.1535, 0.1182, 0.1296, 0.1355, 0.1369, 0.1438, 0.157, 0.1538, 0.1519, 0.1525, 0.158, 0.1578, 0.1668, 0.1561, 0.1639, 0.1651, 0.1683, 0.1735, 0.1671, 0.1897, 0.1814, 0.1839, 0.1801, 0.1909, 0.1793, 0.1843, 0.1937, 0.1928, 0.2109, 0.1957, 0.206, 0.2085, 0.2066, 0.2129, 0.2107, 0.2131, 0.2172, 0.2185, 0.2135, 0.2155, 0.2085, 0.2249, 0.2174, 0.2172, 0.2259, 0.2266, 0.2296, 0.2336, 0.2348, 0.2463, 0.2409, 0.2561, 0.2414, 0.2339, 0.2384, 0.2637, 0.2488, 0.2546, 0.2582, 0.2649, 0.2658, 0.2721, 0.271, 0.2758, 0.2804, 0.2783, 0.2629, 0.2666, 0.2883, 0.2781, 0.2908, 0.2838, 0.281, 0.2955, 0.2987, 0.2938, 0.2944, 0.3063, 0.3021, 0.2966]",0.3017,PrivacyFree,,,,32,42
pooled,0.0,5,"[0.1001, 0.1, 0.1006, 0.0999, 0.0991, 0.0996, 0.1001, 0.0996, 0.1022, 0.1102, 0.1002, 0.1046, 0.1047, 0.107, 0.1094, 0.1094, 0.1102, 0.1138, 0.1272, 0.1303, 0.152, 0.1187, 0.132, 0.1372, 0.1378, 0.1476, 0.1524, 0.1513, 0.1543, 0.1531, 0.156, 0.1591, 0.1696, 0.1623, 0.164, 0.1671, 0.1678, 0.1686, 0.1668, 0.1886, 0.1835, 0.1886, 0.1833, 0.1913, 0.1789, 0.1839, 0.1962, 0.1929, 0.2097, 0.1934, 0.2048, 0.2061, 0.207, 0.212, 0.2067, 0.2157, 0.2116, 0.2193, 0.2145, 0.2157, 0.2079, 0.2267, 0.2203, 0.2197, 0.2273, 0.2267, 0.2264, 0.2353, 0.236, 0.2458, 0.2416, 0.2569, 0.2413, 0.2373, 0.2406, 0.2642, 0.2497, 0.2563, 0.263, 0.2694, 0.2683, 0.2707, 0.2701, 0.2783, 0.2829, 0.2785, 0.2671, 0.2676, 0.2893, 0.2781, 0.2881, 0.2847, 0.2827, 0.2923, 0.2974, 0.294, 0.2943, 0.3004, 0.3002, 0.2972]",0.2993,PrivacyFree,,,,32,42
global,0.0,15,"[0.0958, 0.0992, 0.1011, 0.1018, 0.0992, 0.0992, 0.0958, 0.0958, 0.0958, 0.0958, 0.0958, 0.0958, 0.0958, 0.0958, 0.0992]",0.0969,PrivacyFree,,,,32,42
personal,0.0,15,"[0.1007, 0.0972, 0.0999, 0.0991, 0.1015, 0.0995, 0.0978, 0.1008, 0.0998, 0.0995, 0.1007, 0.1032, 0.0992, 0.1011, 0.1008]",0.1004,PrivacyFree,,,,32,42
pooled,0.0,15,"[0.0997, 0.0991, 0.099, 0.0998, 0.0984, 0.1008, 0.0992, 0.0991, 0.0998, 0.0996, 0.1002, 0.1002, 0.0994, 0.0996, 0.0994]",0.0995,PrivacyFree,,,,32,42
global,0.0,15,"[0.0992, 0.0992, 0.0958, 0.0958, 0.1004, 0.0992, 0.0992, 0.0958, 0.0958, 0.0992, 0.0992, 0.1004, 0.0986, 0.0986, 0.0992]",0.0988,PrivacyFree,,,,32,42
personal,0.0,15,"[0.1038, 0.098, 0.0986, 0.1019, 0.1032, 0.1001, 0.0979, 0.1026, 0.1005, 0.1018, 0.1016, 0.1032, 0.0991, 0.1002, 0.1002]",0.0998,PrivacyFree,,,,32,42
pooled,0.0,15,"[0.1008, 0.0995, 0.0985, 0.0992, 0.0988, 0.0998, 0.0997, 0.0994, 0.1002, 0.1003, 0.1004, 0.1002, 0.0995, 0.1006, 0.0996]",0.0999,PrivacyFree,,,,32,42
global,0.0,15,"[0.0992, 0.0992, 0.0958, 0.0958, 0.1004, 0.0992, 0.0992, 0.0958, 0.0958, 0.0992, 0.0992, 0.1004, 0.0986, 0.0986, 0.0992, 0.0958, 0.1011, 0.0994, 0.0958, 0.0958, 0.0958, 0.0986, 0.0958, 0.0958, 0.0958, 0.1004, 0.0992, 0.0958, 0.0958, 0.1011]",0.0976,PrivacyFree,,,,32,42
personal,0.0,15,"[0.1038, 0.098, 0.0986, 0.1019, 0.1032, 0.1001, 0.0979, 0.1026, 0.1005, 0.1018, 0.1016, 0.1032, 0.0991, 0.1002, 0.1002, 0.0988, 0.1019, 0.1003, 0.1025, 0.101, 0.099, 0.1027, 0.1005, 0.1024, 0.1016, 0.1, 0.1024, 0.1001, 0.0998, 0.0996]",0.0998,PrivacyFree,,,,32,42
pooled,0.0,15,"[0.1008, 0.0995, 0.0985, 0.0992, 0.0988, 0.0998, 0.0997, 0.0994, 0.1002, 0.1003, 0.1004, 0.1002, 0.0995, 0.1006, 0.0996, 0.0995, 0.1004, 0.0994, 0.0999, 0.0997, 0.1003, 0.1007, 0.1012, 0.1, 0.1, 0.1003, 0.1006, 0.0994, 0.1002, 0.0996]",0.0997,PrivacyFree,,,,32,42
global,0.0,15,"[0.1002, 0.097, 0.1916, 0.2188, 0.2195, 0.268, 0.2876, 0.3189, 0.354, 0.3729, 0.3928, 0.4096, 0.4276, 0.4338, 0.445, 0.455, 0.4653, 0.4687, 0.487, 0.4868, 0.5005, 0.5097, 0.5154, 0.5239, 0.5319, 0.5401, 0.5408, 0.5491, 0.5547, 0.5479]",0.5506,PrivacyFree,,,,32,42
personal,0.0,15,"[0.0991, 0.0972, 0.0982, 0.1056, 0.1075, 0.1166, 0.1291, 0.1441, 0.1557, 0.151, 0.1666, 0.1824, 0.1884, 0.1922, 0.1927, 0.2045, 0.2102, 0.2141, 0.2185, 0.2273, 0.2212, 0.2353, 0.2519, 0.2584, 0.2605, 0.2659, 0.2695, 0.2561, 0.2669, 0.2756]",0.2662,PrivacyFree,,,,32,42
pooled,0.0,15,"[0.0995, 0.0996, 0.0992, 0.1051, 0.1081, 0.1152, 0.1276, 0.1401, 0.1519, 0.1525, 0.1651, 0.1848, 0.1886, 0.1941, 0.1939, 0.2051, 0.2114, 0.2147, 0.2163, 0.2278, 0.2196, 0.2369, 0.2518, 0.2579, 0.2561, 0.2616, 0.2699, 0.2541, 0.2677, 0.2727]",0.2648,PrivacyFree,,,,32,42
global,0.0,15,"[0.1001, 0.1005, 0.1841, 0.21, 0.2299, 0.2438, 0.2699, 0.2911, 0.3143, 0.3348, 0.3551, 0.3805, 0.3951, 0.4068, 0.4102, 0.4329, 0.4439, 0.4559, 0.4643, 0.4722, 0.4838, 0.4869, 0.5005, 0.5062, 0.5135, 0.5222, 0.5235, 0.5304, 0.5416, 0.548]",0.54,PrivacyFree,,,,32,43
