type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.0489, 0.2172, 0.2557, 0.2591, 0.2563, 0.2608, 0.2604, 0.2608, 0.2632, 0.268, 0.2658, 0.2647, 0.2759, 0.2695, 0.2745]",0.2733,0.1,0.001,25.0,1.0,32,45
personal,0.0,15,"[0.4797, 0.5299, 0.5449, 0.5413, 0.5311, 0.5328, 0.5426, 0.531, 0.5375, 0.5384, 0.5396, 0.5438, 0.5492, 0.5591, 0.5573]",0.5552,0.1,0.001,25.0,1.0,32,45
pooled,0.0,15,"[0.1604, 0.175, 0.1828, 0.1819, 0.1729, 0.175, 0.1784, 0.1796, 0.1824, 0.1803, 0.1817, 0.1835, 0.1859, 0.1889, 0.1887]",0.1878,0.1,0.001,25.0,1.0,32,45
global,0.0,15,"[0.255, 0.2517, 0.2622, 0.2639, 0.2687, 0.2624, 0.2639, 0.263, 0.2932, 0.3074, 0.2757, 0.2885, 0.3396, 0.3226, 0.3189]",0.327,0.5,0.001,6.56,1.0,32,45
personal,0.0,15,"[0.4955, 0.5533, 0.5563, 0.5522, 0.5396, 0.5528, 0.5577, 0.5502, 0.5628, 0.5642, 0.559, 0.5833, 0.6026, 0.6108, 0.6146]",0.6093,0.5,0.001,6.56,1.0,32,45
pooled,0.0,15,"[0.1661, 0.1871, 0.1958, 0.1949, 0.1913, 0.1917, 0.1937, 0.1947, 0.1995, 0.2009, 0.1908, 0.1982, 0.2023, 0.2063, 0.2075]",0.2054,0.5,0.001,6.56,1.0,32,45
global,0.0,15,"[0.261, 0.2774, 0.2616, 0.2712, 0.296, 0.2663, 0.2714, 0.2797, 0.3491, 0.3594, 0.3152, 0.3509, 0.3819, 0.3515, 0.3684]",0.3673,1.0,0.001,3.65,1.0,32,45
personal,0.0,15,"[0.5054, 0.5731, 0.5689, 0.5672, 0.5772, 0.5985, 0.6019, 0.6421, 0.6455, 0.6627, 0.6786, 0.6859, 0.696, 0.7059, 0.7033]",0.7017,1.0,0.001,3.65,1.0,32,45
pooled,0.0,15,"[0.1693, 0.1933, 0.2034, 0.2027, 0.2063, 0.2064, 0.207, 0.2224, 0.2244, 0.2306, 0.2293, 0.2301, 0.2294, 0.2334, 0.2323]",0.2317,1.0,0.001,3.65,1.0,32,45
global,0.0,15,"[0.2613, 0.2986, 0.3268, 0.3721, 0.3816, 0.3793, 0.3868, 0.4108, 0.4133, 0.4268, 0.3613, 0.4336, 0.4347, 0.3887, 0.448]",0.4238,4.0,0.001,1.33,1.0,32,45
personal,0.0,15,"[0.5398, 0.6237, 0.6706, 0.7132, 0.7491, 0.7509, 0.7515, 0.7706, 0.7718, 0.7918, 0.7974, 0.7964, 0.8011, 0.8022, 0.8048]",0.8027,4.0,0.001,1.33,1.0,32,45
pooled,0.0,15,"[0.1862, 0.2072, 0.2317, 0.2374, 0.2467, 0.2402, 0.2415, 0.2461, 0.2482, 0.252, 0.2505, 0.2534, 0.2546, 0.2553, 0.2554]",0.2551,4.0,0.001,1.33,1.0,32,45
global,0.0,15,"[0.2613, 0.2622, 0.3684, 0.391, 0.4039, 0.4034, 0.4079, 0.4317, 0.4313, 0.4423, 0.365, 0.4478, 0.4457, 0.4033, 0.4661]",0.4384,8.0,0.001,0.94,1.0,32,45
personal,0.0,15,"[0.5502, 0.6673, 0.7088, 0.7644, 0.7759, 0.7738, 0.778, 0.7932, 0.7995, 0.8033, 0.8101, 0.8065, 0.813, 0.8142, 0.8118]",0.813,8.0,0.001,0.94,1.0,32,45
pooled,0.0,15,"[0.1977, 0.229, 0.2383, 0.2451, 0.2484, 0.2463, 0.2472, 0.2525, 0.2558, 0.2574, 0.2549, 0.2591, 0.2593, 0.2599, 0.2603]",0.2598,8.0,0.001,0.94,1.0,32,45
