type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.096, 0.22, 0.2585, 0.2607, 0.2574, 0.2608, 0.2585, 0.2611, 0.2611, 0.2616, 0.2611, 0.2611, 0.2605, 0.2619, 0.261]",0.2611,0.1,0.001,25.0,1.0,32,42
personal,0.0,15,"[0.4263, 0.5276, 0.5245, 0.5692, 0.5577, 0.5816, 0.6492, 0.6977, 0.7229, 0.7107, 0.7458, 0.7554, 0.7672, 0.7709, 0.756]",0.7647,0.1,0.001,25.0,1.0,32,42
pooled,0.0,15,"[0.1465, 0.1736, 0.1478, 0.1832, 0.1831, 0.1818, 0.2093, 0.2109, 0.24, 0.235, 0.2451, 0.2333, 0.2447, 0.2455, 0.2546]",0.2483,0.1,0.001,25.0,1.0,32,42
global,0.001,15,"[0.096, 0.22, 0.2585, 0.2607, 0.2574, 0.2608, 0.2585, 0.2611, 0.2611, 0.2616, 0.2611, 0.2611, 0.2605, 0.2619, 0.261]",0.2611,0.1,0.001,25.0,1.0,32,42
personal,0.001,15,"[0.4226, 0.5279, 0.5245, 0.5746, 0.5565, 0.5907, 0.6336, 0.6779, 0.7034, 0.6912, 0.7621, 0.7526, 0.7619, 0.7701, 0.7215]",0.7512,0.1,0.001,25.0,1.0,32,42
pooled,0.001,15,"[0.1671, 0.1634, 0.1478, 0.184, 0.183, 0.1866, 0.2095, 0.1946, 0.2336, 0.2233, 0.2508, 0.2328, 0.2463, 0.2466, 0.2471]",0.2467,0.1,0.001,25.0,1.0,32,42
global,0.01,15,"[0.096, 0.22, 0.2585, 0.2607, 0.2574, 0.2608, 0.2585, 0.2611, 0.2611, 0.2616, 0.2611, 0.2611, 0.2605, 0.2619, 0.261]",0.2611,0.1,0.001,25.0,1.0,32,42
personal,0.01,15,"[0.4263, 0.5279, 0.5245, 0.5201, 0.5546, 0.5728, 0.5963, 0.6173, 0.6107, 0.6437, 0.6923, 0.6502, 0.6738, 0.702, 0.6898]",0.6885,0.1,0.001,25.0,1.0,32,42
pooled,0.01,15,"[0.1465, 0.1634, 0.1478, 0.1681, 0.1715, 0.1754, 0.2049, 0.1831, 0.1953, 0.2067, 0.2368, 0.1908, 0.2381, 0.2386, 0.2402]",0.239,0.1,0.001,25.0,1.0,32,42
global,0.1,15,"[0.096, 0.22, 0.2585, 0.2607, 0.2574, 0.2608, 0.2585, 0.2611, 0.2611, 0.2616, 0.2611, 0.2611, 0.2605, 0.2619, 0.261]",0.2611,0.1,0.001,25.0,1.0,32,42
personal,0.1,15,"[0.4263, 0.5282, 0.5248, 0.5211, 0.5307, 0.5413, 0.53, 0.5279, 0.5226, 0.5642, 0.5508, 0.5644, 0.5684, 0.5505, 0.5749]",0.5646,0.1,0.001,25.0,1.0,32,42
pooled,0.1,15,"[0.1465, 0.1733, 0.1632, 0.1678, 0.1633, 0.167, 0.1686, 0.1529, 0.194, 0.1752, 0.2019, 0.1786, 0.1867, 0.1703, 0.208]",0.1883,0.1,0.001,25.0,1.0,32,42
global,1.0,15,"[0.096, 0.22, 0.2585, 0.2607, 0.2574, 0.2608, 0.2585, 0.2611, 0.2611, 0.2616, 0.2611, 0.2611, 0.2605, 0.2619, 0.261]",0.2611,0.1,0.001,25.0,1.0,32,42
personal,1.0,15,"[0.4176, 0.5303, 0.522, 0.5294, 0.5217, 0.531, 0.5226, 0.5211, 0.5266, 0.5423, 0.5435, 0.5286, 0.5263, 0.5313, 0.5257]",0.5278,0.1,0.001,25.0,1.0,32,42
pooled,1.0,15,"[0.146, 0.1894, 0.1474, 0.1635, 0.1576, 0.1531, 0.1838, 0.1837, 0.1735, 0.1782, 0.2039, 0.1479, 0.1892, 0.1749, 0.1834]",0.1825,0.1,0.001,25.0,1.0,32,42
global,10.0,15,"[0.096, 0.22, 0.2585, 0.2607, 0.2574, 0.2608, 0.2585, 0.2611, 0.2611, 0.2616, 0.2611, 0.2611, 0.2605, 0.2619, 0.261]",0.2611,0.1,0.001,25.0,1.0,32,42
personal,10.0,15,"[0.4161, 0.5291, 0.5201, 0.5319, 0.5204, 0.5322, 0.5204, 0.5303, 0.5204, 0.5322, 0.5266, 0.5263, 0.5282, 0.5248, 0.526]",0.5263,0.1,0.001,25.0,1.0,32,42
pooled,10.0,15,"[0.1459, 0.1791, 0.1575, 0.179, 0.1575, 0.1793, 0.1575, 0.1792, 0.1575, 0.1793, 0.1629, 0.1636, 0.1733, 0.1789, 0.1578]",0.17,0.1,0.001,25.0,1.0,32,42
global,0.0,15,"[0.2441, 0.2613, 0.2613, 0.2613, 0.2658, 0.2628, 0.2658, 0.2613, 0.2627, 0.2627, 0.2622, 0.2633, 0.2658, 0.2952, 0.27]",0.277,0.5,0.001,6.56,1.0,32,42
personal,0.0,15,"[0.4263, 0.5276, 0.5245, 0.5692, 0.5577, 0.5816, 0.6492, 0.6977, 0.7229, 0.7107, 0.7458, 0.7554, 0.7672, 0.7709, 0.756]",0.7647,0.5,0.001,6.56,1.0,32,42
pooled,0.0,15,"[0.1465, 0.1736, 0.1478, 0.1832, 0.1831, 0.1818, 0.2093, 0.2109, 0.24, 0.235, 0.2451, 0.2333, 0.2447, 0.2455, 0.2546]",0.2483,0.5,0.001,6.56,1.0,32,42
global,0.001,15,"[0.2441, 0.2613, 0.2613, 0.2613, 0.2658, 0.2628, 0.2658, 0.2613, 0.2627, 0.2627, 0.2622, 0.2633, 0.2658, 0.2952, 0.27]",0.277,0.5,0.001,6.56,1.0,32,42
personal,0.001,15,"[0.4226, 0.5276, 0.5245, 0.5735, 0.557, 0.5929, 0.6218, 0.6868, 0.7186, 0.6811, 0.748, 0.7683, 0.7611, 0.769, 0.7353]",0.7551,0.5,0.001,6.56,1.0,32,42
pooled,0.001,15,"[0.1671, 0.1736, 0.1478, 0.1835, 0.1831, 0.1887, 0.2011, 0.1987, 0.2352, 0.2133, 0.2437, 0.2388, 0.2461, 0.2472, 0.2489]",0.2474,0.5,0.001,6.56,1.0,32,42
global,0.01,15,"[0.2441, 0.2613, 0.2613, 0.2613, 0.2658, 0.2628, 0.2658, 0.2613, 0.2627, 0.2627, 0.2622, 0.2633, 0.2658, 0.2952, 0.27]",0.277,0.5,0.001,6.56,1.0,32,42
personal,0.01,15,"[0.4263, 0.5279, 0.5245, 0.5201, 0.5573, 0.5639, 0.628, 0.6325, 0.641, 0.6607, 0.7311, 0.6808, 0.7147, 0.7139, 0.7237]",0.7174,0.5,0.001,6.56,1.0,32,42
pooled,0.01,15,"[0.1465, 0.1634, 0.1478, 0.1681, 0.1721, 0.1802, 0.2196, 0.1852, 0.2112, 0.2121, 0.246, 0.1996, 0.2296, 0.2284, 0.245]",0.2343,0.5,0.001,6.56,1.0,32,42
global,0.1,15,"[0.2441, 0.2613, 0.2613, 0.2613, 0.2658, 0.2628, 0.2658, 0.2613, 0.2627, 0.2627, 0.2622, 0.2633, 0.2658, 0.2952, 0.27]",0.277,0.5,0.001,6.56,1.0,32,42
personal,0.1,15,"[0.4263, 0.5282, 0.5248, 0.5195, 0.546, 0.5362, 0.5276, 0.5285, 0.5545, 0.548, 0.5508, 0.5598, 0.5799, 0.554, 0.5735]",0.5691,0.5,0.001,6.56,1.0,32,42
pooled,0.1,15,"[0.1465, 0.1733, 0.1632, 0.1678, 0.1737, 0.1702, 0.1793, 0.1791, 0.18, 0.1699, 0.1957, 0.1724, 0.2009, 0.1611, 0.2072]",0.1897,0.5,0.001,6.56,1.0,32,42
global,1.0,15,"[0.2441, 0.2613, 0.2613, 0.2613, 0.2658, 0.2628, 0.2658, 0.2613, 0.2627, 0.2627, 0.2622, 0.2633, 0.2658, 0.2952, 0.27]",0.277,0.5,0.001,6.56,1.0,32,42
personal,1.0,15,"[0.4176, 0.5303, 0.522, 0.53, 0.5217, 0.5279, 0.5362, 0.5523, 0.5317, 0.5294, 0.5438, 0.5536, 0.5265, 0.5327, 0.5263]",0.5285,0.5,0.001,6.56,1.0,32,42
pooled,1.0,15,"[0.146, 0.1894, 0.1474, 0.1789, 0.1576, 0.1733, 0.1784, 0.1662, 0.1793, 0.1654, 0.1913, 0.1559, 0.1893, 0.1655, 0.1837]",0.1795,0.5,0.001,6.56,1.0,32,42
global,10.0,15,"[0.2441, 0.2613, 0.2613, 0.2613, 0.2658, 0.2628, 0.2658, 0.2613, 0.2627, 0.2627, 0.2622, 0.2633, 0.2658, 0.2952, 0.27]",0.277,0.5,0.001,6.56,1.0,32,42
personal,10.0,15,"[0.4161, 0.5291, 0.5201, 0.5319, 0.5204, 0.5322, 0.5204, 0.5303, 0.5214, 0.5316, 0.5272, 0.5257, 0.5254, 0.5288, 0.5257]",0.5266,0.5,0.001,6.56,1.0,32,42
pooled,10.0,15,"[0.1459, 0.1791, 0.1575, 0.1687, 0.1473, 0.1895, 0.1473, 0.1894, 0.1477, 0.1892, 0.153, 0.1735, 0.1632, 0.1896, 0.1473]",0.1667,0.5,0.001,6.56,1.0,32,42
global,0.0,15,"[0.2613, 0.2615, 0.2613, 0.2613, 0.2799, 0.2667, 0.2745, 0.2646, 0.27, 0.2831, 0.28, 0.2868, 0.3074, 0.3546, 0.3054]",0.3225,1.0,0.001,3.65,1.0,32,42
personal,0.0,15,"[0.4263, 0.5276, 0.5245, 0.5692, 0.5577, 0.5816, 0.6492, 0.6977, 0.7229, 0.7107, 0.7458, 0.7554, 0.7672, 0.7709, 0.756]",0.7647,1.0,0.001,3.65,1.0,32,42
pooled,0.0,15,"[0.1465, 0.1736, 0.1478, 0.1832, 0.1831, 0.1818, 0.2093, 0.2109, 0.24, 0.235, 0.2451, 0.2333, 0.2447, 0.2455, 0.2546]",0.2483,1.0,0.001,3.65,1.0,32,42
global,0.001,15,"[0.2613, 0.2615, 0.2613, 0.2613, 0.2799, 0.2667, 0.2745, 0.2646, 0.27, 0.2831, 0.28, 0.2868, 0.3074, 0.3546, 0.3054]",0.3225,1.0,0.001,3.65,1.0,32,42
personal,0.001,15,"[0.4226, 0.5415, 0.5245, 0.5714, 0.5563, 0.5786, 0.6423, 0.6613, 0.6938, 0.6625, 0.7337, 0.7435, 0.7763, 0.7749, 0.7314]",0.7609,1.0,0.001,3.65,1.0,32,42
pooled,0.001,15,"[0.1671, 0.1742, 0.1478, 0.1832, 0.183, 0.1841, 0.2085, 0.1974, 0.2285, 0.2116, 0.245, 0.2314, 0.2478, 0.2463, 0.2486]",0.2476,1.0,0.001,3.65,1.0,32,42
global,0.01,15,"[0.2613, 0.2615, 0.2613, 0.2613, 0.2799, 0.2667, 0.2745, 0.2646, 0.27, 0.2831, 0.28, 0.2868, 0.3074, 0.3546, 0.3054]",0.3225,1.0,0.001,3.65,1.0,32,42
personal,0.01,15,"[0.4263, 0.5279, 0.5245, 0.5201, 0.5506, 0.5797, 0.6059, 0.6136, 0.6474, 0.6567, 0.674, 0.6926, 0.682, 0.7297, 0.6977]",0.7031,1.0,0.001,3.65,1.0,32,42
pooled,0.01,15,"[0.1465, 0.1634, 0.1478, 0.1681, 0.1816, 0.1779, 0.2084, 0.1848, 0.2118, 0.2092, 0.2337, 0.2125, 0.2327, 0.2401, 0.2408]",0.2379,1.0,0.001,3.65,1.0,32,42
global,0.1,15,"[0.2613, 0.2615, 0.2613, 0.2613, 0.2799, 0.2667, 0.2745, 0.2646, 0.27, 0.2831, 0.28, 0.2868, 0.3074, 0.3546, 0.3054]",0.3225,1.0,0.001,3.65,1.0,32,42
personal,0.1,15,"[0.4263, 0.5282, 0.5238, 0.5241, 0.5269, 0.5257, 0.5297, 0.5245, 0.5398, 0.5317, 0.5785, 0.5828, 0.5598, 0.5887, 0.5803]",0.5763,1.0,0.001,3.65,1.0,32,42
pooled,0.1,15,"[0.1465, 0.1733, 0.1475, 0.1731, 0.1736, 0.1578, 0.1906, 0.1702, 0.1778, 0.1655, 0.1995, 0.1649, 0.194, 0.1666, 0.2119]",0.1908,1.0,0.001,3.65,1.0,32,42
global,1.0,15,"[0.2613, 0.2615, 0.2613, 0.2613, 0.2799, 0.2667, 0.2745, 0.2646, 0.27, 0.2831, 0.28, 0.2868, 0.3074, 0.3546, 0.3054]",0.3225,1.0,0.001,3.65,1.0,32,42
personal,1.0,15,"[0.4176, 0.5303, 0.522, 0.5291, 0.5217, 0.5316, 0.5293, 0.5401, 0.5282, 0.5347, 0.5359, 0.5313, 0.5274, 0.5483, 0.5613]",0.5457,1.0,0.001,3.65,1.0,32,42
pooled,1.0,15,"[0.146, 0.1894, 0.1474, 0.1632, 0.1576, 0.1534, 0.184, 0.1742, 0.1736, 0.1672, 0.193, 0.1531, 0.1895, 0.1688, 0.1937]",0.184,1.0,0.001,3.65,1.0,32,42
global,10.0,15,"[0.2613, 0.2615, 0.2613, 0.2613, 0.2799, 0.2667, 0.2745, 0.2646, 0.27, 0.2831, 0.28, 0.2868, 0.3074, 0.3546, 0.3054]",0.3225,1.0,0.001,3.65,1.0,32,42
personal,10.0,15,"[0.4161, 0.5291, 0.5201, 0.5319, 0.5204, 0.5322, 0.5204, 0.5303, 0.5204, 0.5322, 0.5257, 0.5272, 0.5254, 0.5257, 0.5288]",0.5266,1.0,0.001,3.65,1.0,32,42
pooled,10.0,15,"[0.1459, 0.1791, 0.1575, 0.1687, 0.1473, 0.1895, 0.1473, 0.1894, 0.1473, 0.1895, 0.137, 0.1895, 0.1473, 0.1735, 0.1634]",0.1614,1.0,0.001,3.65,1.0,32,42
global,0.0,15,"[0.2613, 0.2622, 0.2615, 0.3574, 0.3878, 0.4082, 0.4193, 0.4012, 0.4053, 0.4308, 0.4048, 0.4367, 0.4457, 0.4531, 0.4289]",0.4426,8.0,0.001,0.94,1.0,32,42
personal,0.0,15,"[0.4263, 0.5276, 0.5245, 0.5692, 0.5577, 0.5816, 0.6492, 0.6977, 0.7229, 0.7107, 0.7458, 0.7554, 0.7672, 0.7709, 0.756]",0.7647,8.0,0.001,0.94,1.0,32,42
pooled,0.0,15,"[0.1465, 0.1736, 0.1478, 0.1832, 0.1831, 0.1818, 0.2093, 0.2109, 0.24, 0.235, 0.2451, 0.2333, 0.2447, 0.2455, 0.2546]",0.2483,8.0,0.001,0.94,1.0,32,42
global,0.001,15,"[0.2613, 0.2622, 0.2615, 0.3574, 0.3878, 0.4082, 0.4193, 0.4012, 0.4053, 0.4308, 0.4048, 0.4367, 0.4457, 0.4531, 0.4289]",0.4426,8.0,0.001,0.94,1.0,32,42
personal,0.001,15,"[0.4226, 0.5276, 0.5245, 0.5695, 0.5577, 0.5885, 0.6526, 0.654, 0.7098, 0.6912, 0.7449, 0.73, 0.7769, 0.7641, 0.7362]",0.7591,8.0,0.001,0.94,1.0,32,42
pooled,0.001,15,"[0.1671, 0.1736, 0.1478, 0.1828, 0.1831, 0.1855, 0.2108, 0.1909, 0.233, 0.2263, 0.247, 0.229, 0.2457, 0.2462, 0.2503]",0.2474,8.0,0.001,0.94,1.0,32,42
global,0.01,15,"[0.2613, 0.2622, 0.2615, 0.3574, 0.3878, 0.4082, 0.4193, 0.4012, 0.4053, 0.4308, 0.4048, 0.4367, 0.4457, 0.4531, 0.4289]",0.4426,8.0,0.001,0.94,1.0,32,42
personal,0.01,15,"[0.4263, 0.5279, 0.5245, 0.5201, 0.5565, 0.5706, 0.6289, 0.6519, 0.6638, 0.6455, 0.6571, 0.6409, 0.7173, 0.7003, 0.6881]",0.7019,8.0,0.001,0.94,1.0,32,42
pooled,0.01,15,"[0.1465, 0.1634, 0.1478, 0.1681, 0.1719, 0.1796, 0.2192, 0.1939, 0.2202, 0.2089, 0.232, 0.1847, 0.233, 0.2267, 0.2348]",0.2315,8.0,0.001,0.94,1.0,32,42
global,0.1,15,"[0.2613, 0.2622, 0.2615, 0.3574, 0.3878, 0.4082, 0.4193, 0.4012, 0.4053, 0.4308, 0.4048, 0.4367, 0.4457, 0.4531, 0.4289]",0.4426,8.0,0.001,0.94,1.0,32,42
personal,0.1,15,"[0.4263, 0.5282, 0.5288, 0.5303, 0.5266, 0.5322, 0.526, 0.5415, 0.5786, 0.5503, 0.5755, 0.5392, 0.5269, 0.6077, 0.5907]",0.5751,8.0,0.001,0.94,1.0,32,42
pooled,0.1,15,"[0.1465, 0.1733, 0.1689, 0.1894, 0.1576, 0.1705, 0.1892, 0.1678, 0.1885, 0.1774, 0.193, 0.182, 0.1736, 0.1793, 0.2075]",0.1868,8.0,0.001,0.94,1.0,32,42
global,1.0,15,"[0.2613, 0.2622, 0.2615, 0.3574, 0.3878, 0.4082, 0.4193, 0.4012, 0.4053, 0.4308, 0.4048, 0.4367, 0.4457, 0.4531, 0.4289]",0.4426,8.0,0.001,0.94,1.0,32,42
personal,1.0,15,"[0.4176, 0.5303, 0.522, 0.5291, 0.5223, 0.5269, 0.5288, 0.5372, 0.5265, 0.5485, 0.5492, 0.5334, 0.5255, 0.5224, 0.5503]",0.5327,8.0,0.001,0.94,1.0,32,42
pooled,1.0,15,"[0.146, 0.1894, 0.1474, 0.1632, 0.1578, 0.1487, 0.1792, 0.1644, 0.1737, 0.1801, 0.1696, 0.1692, 0.192, 0.1582, 0.1852]",0.1785,8.0,0.001,0.94,1.0,32,42
global,10.0,15,"[0.2613, 0.2622, 0.2615, 0.3574, 0.3878, 0.4082, 0.4193, 0.4012, 0.4053, 0.4308, 0.4048, 0.4367, 0.4457, 0.4531, 0.4289]",0.4426,8.0,0.001,0.94,1.0,32,42
personal,10.0,15,"[0.4161, 0.5291, 0.5201, 0.5319, 0.5204, 0.532, 0.518, 0.5303, 0.5204, 0.5322, 0.5259, 0.5271, 0.5252, 0.518, 0.5268]",0.5233,8.0,0.001,0.94,1.0,32,42
pooled,10.0,15,"[0.1459, 0.1791, 0.1575, 0.179, 0.1575, 0.1828, 0.1661, 0.1795, 0.1575, 0.1819, 0.1488, 0.1797, 0.1598, 0.1905, 0.1812]",0.1772,8.0,0.001,0.94,1.0,32,42
global,0.0,15,"[0.2613, 0.2613, 0.2613, 0.2734, 0.365, 0.3923, 0.4046, 0.3796, 0.3837, 0.4193, 0.3844, 0.4186, 0.4302, 0.4413, 0.4192]",0.4302,4.0,0.001,1.33,1.0,32,42
personal,0.0,15,"[0.4263, 0.5276, 0.5245, 0.5692, 0.5577, 0.5816, 0.6492, 0.6977, 0.7229, 0.7107, 0.7458, 0.7554, 0.7672, 0.7709, 0.756]",0.7647,4.0,0.001,1.33,1.0,32,42
pooled,0.0,15,"[0.1465, 0.1736, 0.1478, 0.1832, 0.1831, 0.1818, 0.2093, 0.2109, 0.24, 0.235, 0.2451, 0.2333, 0.2447, 0.2455, 0.2546]",0.2483,4.0,0.001,1.33,1.0,32,42
global,0.001,15,"[0.2613, 0.2613, 0.2613, 0.2734, 0.365, 0.3923, 0.4046, 0.3796, 0.3837, 0.4193, 0.3844, 0.4186, 0.4302, 0.4413, 0.4192]",0.4302,4.0,0.001,1.33,1.0,32,42
