type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1599, 0.13, 0.1604, 0.1766, 0.1789, 0.1963, 0.2138, 0.2046, 0.2039, 0.2323, 0.234, 0.2358, 0.2363, 0.2171, 0.2384]",0.2306,ThreeLevels-0-SCF,0.001,11.44,1.0,429,42
personal,0.0,15,"[0.2345, 0.2423, 0.2526, 0.2645, 0.2888, 0.2989, 0.3295, 0.361, 0.3936, 0.4031, 0.3988, 0.4152, 0.4336, 0.4514, 0.4421]",0.4424,ThreeLevels-0-SCF,0.001,11.44,1.0,429,42
pooled,0.0,15,"[0.1338, 0.1313, 0.1162, 0.1238, 0.1412, 0.129, 0.1477, 0.1407, 0.1529, 0.1625, 0.1654, 0.1648, 0.1584, 0.1575, 0.17]",0.162,ThreeLevels-0-SCF,0.001,11.44,1.0,429,42
global,0.0,30,"[0.1599, 0.13, 0.1604, 0.1766, 0.1789, 0.1963, 0.2138, 0.2046, 0.2039, 0.2323, 0.234, 0.2358, 0.2363, 0.2171, 0.2384]",0.2306,ThreeLevels-0-SCF,0.001,11.44,1.0,429,42
personal,0.0,30,"[0.2515, 0.2981, 0.3234, 0.3427, 0.3805, 0.4277, 0.4286, 0.4488, 0.4635, 0.4949, 0.5158, 0.5249, 0.5425, 0.5292, 0.5663]",0.546,ThreeLevels-0-SCF,0.001,11.44,1.0,429,42
pooled,0.0,30,"[0.1193, 0.1333, 0.1308, 0.1507, 0.1535, 0.1675, 0.1697, 0.1865, 0.1839, 0.1841, 0.1906, 0.1965, 0.1985, 0.1928, 0.2072]",0.1995,ThreeLevels-0-SCF,0.001,11.44,1.0,429,42
global,0.001,15,"[0.1599, 0.13, 0.1604, 0.1766, 0.1789, 0.1963, 0.2138, 0.2046, 0.2039, 0.2323, 0.234, 0.2358, 0.2363, 0.2171, 0.2384]",0.2306,ThreeLevels-0-SCF,0.001,11.44,1.0,429,42
personal,0.001,15,"[0.2345, 0.2359, 0.2533, 0.2628, 0.2866, 0.3113, 0.3562, 0.3743, 0.4, 0.4079, 0.4057, 0.3981, 0.4237, 0.429, 0.3971]",0.4166,ThreeLevels-0-SCF,0.001,11.44,1.0,429,42
pooled,0.001,15,"[0.1338, 0.1321, 0.1197, 0.1241, 0.14, 0.1312, 0.1579, 0.1445, 0.1585, 0.165, 0.1693, 0.1543, 0.1528, 0.1493, 0.1508]",0.151,ThreeLevels-0-SCF,0.001,11.44,1.0,429,42
global,0.001,30,"[0.1599, 0.13, 0.1604, 0.1766, 0.1789, 0.1963, 0.2138, 0.2046, 0.2039, 0.2323, 0.234, 0.2358, 0.2363, 0.2171, 0.2384]",0.2306,ThreeLevels-0-SCF,0.001,11.44,1.0,429,42
