type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1591, 0.1286, 0.1591, 0.2058, 0.1943, 0.243, 0.2395, 0.1591, 0.1591, 0.2701, 0.2828, 0.301, 0.305, 0.2951, 0.2902, 0.3242, 0.3083, 0.2858, 0.3427, 0.3264, 0.3495, 0.3596, 0.369, 0.2933, 0.3632, 0.35, 0.3569, 0.3763, 0.3803, 0.3029]",0.3532,PrivacyFree,,,,32,42
personal,0.0,15,"[0.2516, 0.2589, 0.2569, 0.2766, 0.2885, 0.3006, 0.3219, 0.3668, 0.3714, 0.3844, 0.4104, 0.3884, 0.4317, 0.4151, 0.4434, 0.4358, 0.434, 0.4572, 0.4645, 0.4728, 0.4888, 0.5088, 0.5235, 0.54, 0.5329, 0.5234, 0.5403, 0.5403, 0.5495, 0.5569]",0.5489,PrivacyFree,,,,32,42
pooled,0.0,15,"[0.1274, 0.1061, 0.1141, 0.1274, 0.1249, 0.1432, 0.1381, 0.1586, 0.148, 0.1512, 0.1634, 0.1654, 0.1692, 0.1532, 0.1691, 0.1754, 0.1658, 0.1607, 0.1768, 0.1816, 0.1801, 0.186, 0.1959, 0.2013, 0.1928, 0.1971, 0.2009, 0.2105, 0.201, 0.2087]",0.2067,PrivacyFree,,,,32,42
global,0.0,15,"[0.1591, 0.1394, 0.1799, 0.1591, 0.1591, 0.2535, 0.2666, 0.2385, 0.2294, 0.2975, 0.2638, 0.2645, 0.2835, 0.3153, 0.293, 0.3218, 0.223, 0.3154, 0.3364, 0.2977, 0.3218, 0.3459, 0.3242, 0.3652, 0.3391, 0.3772, 0.3457, 0.3844, 0.3819, 0.3809]",0.3824,PrivacyFree,,,,32,43
personal,0.0,15,"[0.2595, 0.2588, 0.2559, 0.2558, 0.2825, 0.3056, 0.352, 0.3562, 0.393, 0.3888, 0.3843, 0.4081, 0.4067, 0.4351, 0.4412, 0.4428, 0.4323, 0.4439, 0.4713, 0.4793, 0.4841, 0.5099, 0.5027, 0.511, 0.5097, 0.5093, 0.5317, 0.5242, 0.5403, 0.5486]",0.5377,PrivacyFree,,,,32,43
pooled,0.0,15,"[0.1106, 0.1072, 0.1035, 0.1243, 0.1208, 0.1412, 0.1393, 0.1322, 0.1476, 0.1497, 0.1496, 0.1549, 0.153, 0.1675, 0.1733, 0.1824, 0.1648, 0.1711, 0.1789, 0.1761, 0.1774, 0.187, 0.1843, 0.1891, 0.1861, 0.1876, 0.201, 0.203, 0.2091, 0.2097]",0.2073,PrivacyFree,,,,32,43
global,0.0,15,"[0.1591, 0.1286, 0.163, 0.213, 0.2233, 0.2277, 0.2468, 0.2595, 0.2282, 0.2631, 0.2592, 0.2568, 0.3052, 0.3175, 0.3202, 0.3266, 0.3288, 0.3436, 0.3136, 0.3127, 0.2918, 0.3446, 0.3492, 0.3243, 0.332, 0.3584, 0.3543, 0.3721, 0.295, 0.3506]",0.3392,PrivacyFree,,,,32,44
personal,0.0,15,"[0.2301, 0.2463, 0.2547, 0.2564, 0.2804, 0.3287, 0.33, 0.3663, 0.3639, 0.3616, 0.3613, 0.3963, 0.3897, 0.4031, 0.4281, 0.4568, 0.4648, 0.4662, 0.4723, 0.4704, 0.4785, 0.4809, 0.4902, 0.5186, 0.5198, 0.523, 0.5555, 0.527, 0.5249, 0.5199]",0.5239,PrivacyFree,,,,32,44
pooled,0.0,15,"[0.0991, 0.096, 0.1068, 0.1132, 0.1373, 0.1329, 0.139, 0.1447, 0.1532, 0.1535, 0.1383, 0.1603, 0.1648, 0.1701, 0.1677, 0.1732, 0.1737, 0.1713, 0.1825, 0.1842, 0.1762, 0.1904, 0.1846, 0.1936, 0.1894, 0.1946, 0.2026, 0.2009, 0.2062, 0.2001]",0.2024,PrivacyFree,,,,32,44
global,0.0,15,"[0.1591, 0.163, 0.1591, 0.1856, 0.2267, 0.1801, 0.2019, 0.2525, 0.2018, 0.2612, 0.2474, 0.2919, 0.3042, 0.2277, 0.318, 0.325, 0.3126, 0.33, 0.2906, 0.3365, 0.3514, 0.3404, 0.3166, 0.3427, 0.3512, 0.3217, 0.3651, 0.3732, 0.3355, 0.374]",0.3609,PrivacyFree,,,,32,45
personal,0.0,15,"[0.2597, 0.2559, 0.2705, 0.2969, 0.2872, 0.3108, 0.3609, 0.3649, 0.3746, 0.3866, 0.4078, 0.4268, 0.444, 0.4513, 0.4395, 0.446, 0.4445, 0.4628, 0.4698, 0.4913, 0.4759, 0.4933, 0.5066, 0.5209, 0.5098, 0.5227, 0.5221, 0.5365, 0.5324, 0.5625]",0.5438,PrivacyFree,,,,32,45
pooled,0.0,15,"[0.1087, 0.1237, 0.1098, 0.1303, 0.1305, 0.1384, 0.1482, 0.1557, 0.1526, 0.16, 0.1593, 0.166, 0.1752, 0.1792, 0.1734, 0.1759, 0.1687, 0.1718, 0.1764, 0.1911, 0.1839, 0.1824, 0.1905, 0.2029, 0.1817, 0.1952, 0.1944, 0.2036, 0.202, 0.206]",0.2039,PrivacyFree,,,,32,45
global,0.0,15,"[0.1591, 0.163, 0.1716, 0.203, 0.2258, 0.2409, 0.1591, 0.1591, 0.2628, 0.2315, 0.2697, 0.2441, 0.2942, 0.3028, 0.2898, 0.3006, 0.2867, 0.3165, 0.3251, 0.2975, 0.3103, 0.3306, 0.3396, 0.3462, 0.3314, 0.3542, 0.3398, 0.337, 0.3711, 0.382]",0.3634,PrivacyFree,,,,32,46
personal,0.0,15,"[0.2532, 0.2546, 0.2722, 0.2752, 0.2976, 0.2981, 0.3306, 0.3454, 0.3733, 0.4024, 0.399, 0.4097, 0.4138, 0.4232, 0.4181, 0.4554, 0.478, 0.4936, 0.4946, 0.4995, 0.499, 0.4932, 0.5252, 0.5312, 0.5406, 0.5321, 0.5317, 0.552, 0.5665, 0.5584]",0.559,PrivacyFree,,,,32,46
pooled,0.0,15,"[0.1108, 0.1139, 0.1132, 0.1288, 0.1514, 0.139, 0.1529, 0.1447, 0.1348, 0.1554, 0.1586, 0.1685, 0.1652, 0.1684, 0.1799, 0.1695, 0.1888, 0.1786, 0.1699, 0.1795, 0.1887, 0.1861, 0.1947, 0.1924, 0.1986, 0.1996, 0.2001, 0.2076, 0.21, 0.2076]",0.2084,PrivacyFree,,,,32,46
global,0.0,30,"[0.1591, 0.1286, 0.1591, 0.2058, 0.1943, 0.243, 0.2395, 0.1591, 0.1591, 0.2701, 0.2828, 0.301, 0.305, 0.2951, 0.2902, 0.3242, 0.3083, 0.2858, 0.3427, 0.3264, 0.3495, 0.3596, 0.369, 0.2933, 0.3632, 0.35, 0.3569, 0.3763, 0.3803, 0.3029]",0.3532,PrivacyFree,,,,32,42
