type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1014, 0.0989, 0.1648, 0.1591, 0.1475, 0.1901, 0.2099, 0.2169, 0.2162, 0.2302, 0.2286, 0.1986, 0.2371, 0.2418, 0.2465, 0.249, 0.2627, 0.2963, 0.2597, 0.275, 0.328, 0.34, 0.3459, 0.3223, 0.3139, 0.3903, 0.3424, 0.3594, 0.3624, 0.3291]",0.3503,PrivacyFree,,,,32,42
personal,0.0,15,"[0.4048, 0.4759, 0.5173, 0.4927, 0.4746, 0.5867, 0.5872, 0.6083, 0.5731, 0.6152, 0.6098, 0.6455, 0.6576, 0.6623, 0.6699, 0.6703, 0.6806, 0.6829, 0.695, 0.6919, 0.7035, 0.65, 0.6989, 0.6966, 0.6808, 0.7116, 0.7253, 0.7218, 0.7089, 0.723]",0.7179,PrivacyFree,,,,32,42
pooled,0.0,15,"[0.1, 0.1001, 0.1003, 0.1, 0.1062, 0.1193, 0.128, 0.1317, 0.1351, 0.1415, 0.1337, 0.1481, 0.1435, 0.1607, 0.1632, 0.166, 0.1622, 0.1673, 0.168, 0.1699, 0.1729, 0.1676, 0.1777, 0.1724, 0.1745, 0.1721, 0.1845, 0.1793, 0.1802, 0.1794]",0.1796,PrivacyFree,,,,32,42
global,0.0,15,"[0.1055, 0.1, 0.1376, 0.1692, 0.1475, 0.1687, 0.2041, 0.1919, 0.1798, 0.1885, 0.2597, 0.2081, 0.2376, 0.2171, 0.2171, 0.3131, 0.2536, 0.314, 0.3336, 0.3054, 0.3347, 0.341, 0.3516, 0.3644, 0.3783, 0.3568, 0.3832, 0.3702, 0.3677, 0.3586]",0.3655,PrivacyFree,,,,32,43
personal,0.0,15,"[0.4982, 0.4946, 0.5152, 0.4948, 0.4628, 0.4618, 0.5145, 0.6168, 0.5981, 0.6308, 0.6286, 0.6056, 0.6517, 0.6428, 0.6339, 0.6584, 0.6567, 0.6742, 0.6713, 0.6714, 0.6852, 0.6874, 0.6602, 0.6844, 0.7007, 0.7061, 0.6934, 0.7164, 0.7202, 0.709]",0.7152,PrivacyFree,,,,32,43
pooled,0.0,15,"[0.1004, 0.1001, 0.1003, 0.1001, 0.1016, 0.1054, 0.1111, 0.1368, 0.1373, 0.1342, 0.1356, 0.139, 0.1455, 0.1545, 0.1531, 0.1596, 0.161, 0.1651, 0.1623, 0.1663, 0.1662, 0.1623, 0.1718, 0.1701, 0.1718, 0.1743, 0.1834, 0.1806, 0.1792, 0.1774]",0.1791,PrivacyFree,,,,32,43
global,0.0,15,"[0.1014, 0.0981, 0.1328, 0.1685, 0.1554, 0.1931, 0.1955, 0.2013, 0.1951, 0.1897, 0.2306, 0.2007, 0.2389, 0.2829, 0.2233, 0.2873, 0.3405, 0.3424, 0.2498, 0.3355, 0.2939, 0.3568, 0.3555, 0.3627, 0.3341, 0.373, 0.3638, 0.3527, 0.3268, 0.3959]",0.3585,PrivacyFree,,,,32,44
personal,0.0,15,"[0.4449, 0.4689, 0.4948, 0.4543, 0.5608, 0.5629, 0.5692, 0.5838, 0.6086, 0.6019, 0.6098, 0.6014, 0.6041, 0.6528, 0.6276, 0.6375, 0.6749, 0.6843, 0.6848, 0.6764, 0.6528, 0.692, 0.6971, 0.7009, 0.6926, 0.6969, 0.6999, 0.6859, 0.6564, 0.6962]",0.6795,PrivacyFree,,,,32,44
pooled,0.0,15,"[0.1009, 0.1003, 0.1001, 0.1029, 0.1066, 0.1127, 0.1266, 0.1344, 0.134, 0.142, 0.1356, 0.1317, 0.1396, 0.1572, 0.1514, 0.164, 0.1638, 0.1634, 0.1662, 0.1653, 0.1666, 0.1717, 0.1737, 0.1741, 0.1687, 0.1745, 0.1751, 0.1745, 0.1767, 0.1815]",0.1776,PrivacyFree,,,,32,44
global,0.0,15,"[0.1014, 0.1454, 0.1547, 0.1702, 0.1811, 0.208, 0.1921, 0.2273, 0.2137, 0.2607, 0.2272, 0.2661, 0.2684, 0.2094, 0.3077, 0.2776, 0.3157, 0.3403, 0.3448, 0.3108, 0.3535, 0.3315, 0.3687, 0.3819, 0.3304, 0.3857, 0.3818, 0.3991, 0.3856, 0.3712]",0.3853,PrivacyFree,,,,32,45
