type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1123, 0.1069, 0.1585, 0.1788, 0.1779, 0.2181, 0.2265, 0.231, 0.2444, 0.2496, 0.2463, 0.2613, 0.2645, 0.2565, 0.266]",0.2623,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
personal,0.0,15,"[0.2528, 0.3093, 0.3308, 0.319, 0.3582, 0.3969, 0.3822, 0.3829, 0.4014, 0.4305, 0.4286, 0.437, 0.4698, 0.4657, 0.4615]",0.4657,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
pooled,0.0,15,"[0.1018, 0.1019, 0.0999, 0.1068, 0.1161, 0.124, 0.1165, 0.1411, 0.1524, 0.1565, 0.1603, 0.1597, 0.1651, 0.1649, 0.1791]",0.1697,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
global,0.0,30,"[0.1123, 0.1069, 0.1585, 0.1788, 0.1779, 0.2181, 0.2265, 0.231, 0.2444, 0.2496, 0.2463, 0.2613, 0.2645, 0.2565, 0.266]",0.2623,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
personal,0.0,30,"[0.2607, 0.3156, 0.3436, 0.3574, 0.4393, 0.4358, 0.4478, 0.4657, 0.5, 0.5011, 0.5125, 0.5051, 0.5114, 0.5373, 0.5455]",0.5314,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
pooled,0.0,30,"[0.1007, 0.1068, 0.1205, 0.1387, 0.1572, 0.1707, 0.17, 0.1759, 0.1875, 0.1937, 0.2016, 0.2068, 0.2062, 0.2267, 0.2182]",0.217,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
global,0.001,15,"[0.1123, 0.1069, 0.1585, 0.1788, 0.1779, 0.2181, 0.2265, 0.231, 0.2444, 0.2496, 0.2463, 0.2613, 0.2645, 0.2565, 0.266]",0.2623,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
personal,0.001,15,"[0.2674, 0.3123, 0.3296, 0.3234, 0.3597, 0.3954, 0.4051, 0.3705, 0.3657, 0.4012, 0.4286, 0.4263, 0.4568, 0.4529, 0.4561]",0.4553,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
pooled,0.001,15,"[0.102, 0.102, 0.1015, 0.1085, 0.1145, 0.1242, 0.129, 0.1365, 0.1494, 0.154, 0.1538, 0.1545, 0.1607, 0.1649, 0.1751]",0.1669,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
global,0.001,30,"[0.1123, 0.1069, 0.1585, 0.1788, 0.1779, 0.2181, 0.2265, 0.231, 0.2444, 0.2496, 0.2463, 0.2613, 0.2645, 0.2565, 0.266]",0.2623,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
personal,0.001,30,"[0.2607, 0.3096, 0.3501, 0.3354, 0.4247, 0.4227, 0.4416, 0.4485, 0.4637, 0.4742, 0.477, 0.4937, 0.487, 0.5156, 0.5161]",0.5062,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
pooled,0.001,30,"[0.1007, 0.106, 0.122, 0.1367, 0.1546, 0.1557, 0.163, 0.1663, 0.1772, 0.1836, 0.1849, 0.1967, 0.1898, 0.2134, 0.2018]",0.2017,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
global,0.0,15,"[0.1123, 0.1069, 0.1585, 0.1788, 0.1779, 0.2181, 0.2265, 0.231, 0.2444, 0.2496, 0.2463, 0.2613, 0.2645, 0.2565, 0.266]",0.2623,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
personal,0.0,15,"[0.2528, 0.3093, 0.3308, 0.319, 0.3582, 0.3969, 0.3822, 0.3829, 0.4014, 0.4305, 0.4286, 0.437, 0.4698, 0.4657, 0.4615]",0.4657,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
pooled,0.0,15,"[0.1018, 0.1019, 0.0999, 0.1068, 0.1161, 0.124, 0.1165, 0.1411, 0.1524, 0.1565, 0.1603, 0.1597, 0.1651, 0.1649, 0.1791]",0.1697,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
global,0.0,15,"[0.109, 0.1058, 0.1407, 0.1584, 0.1591, 0.1918, 0.2025, 0.2068, 0.2182, 0.2178, 0.2189, 0.2288, 0.238, 0.23, 0.2379]",0.2353,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
personal,0.0,15,"[0.2686, 0.3288, 0.3525, 0.345, 0.3477, 0.3818, 0.3899, 0.4023, 0.4082, 0.3898, 0.4232, 0.4423, 0.4326, 0.4521, 0.4553]",0.4467,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
pooled,0.0,15,"[0.0999, 0.1, 0.0999, 0.1097, 0.1091, 0.1185, 0.1188, 0.133, 0.1422, 0.14, 0.1422, 0.1607, 0.1623, 0.1679, 0.1735]",0.1679,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
global,0.0,30,"[0.1123, 0.1069, 0.1585, 0.1788, 0.1779, 0.2181, 0.2265, 0.231, 0.2444, 0.2496, 0.2463, 0.2613, 0.2645, 0.2565, 0.266]",0.2623,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
personal,0.0,30,"[0.2607, 0.3156, 0.3436, 0.3574, 0.4393, 0.4358, 0.4478, 0.4657, 0.5, 0.5011, 0.5125, 0.5051, 0.5114, 0.5373, 0.5455]",0.5314,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
pooled,0.0,30,"[0.1007, 0.1068, 0.1205, 0.1387, 0.1572, 0.1707, 0.17, 0.1759, 0.1875, 0.1937, 0.2016, 0.2068, 0.2062, 0.2267, 0.2182]",0.217,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
global,0.0,30,"[0.109, 0.1058, 0.1407, 0.1584, 0.1591, 0.1918, 0.2025, 0.2068, 0.2182, 0.2178, 0.2189, 0.2288, 0.238, 0.23, 0.2379]",0.2353,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
personal,0.0,30,"[0.2674, 0.3691, 0.3612, 0.3841, 0.401, 0.4373, 0.4587, 0.4746, 0.4715, 0.4836, 0.48, 0.4977, 0.5177, 0.5091, 0.5293]",0.5187,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
pooled,0.0,30,"[0.1003, 0.1094, 0.1286, 0.1264, 0.1431, 0.1548, 0.1663, 0.1816, 0.1839, 0.1948, 0.196, 0.2121, 0.2226, 0.2175, 0.2307]",0.2236,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
global,0.001,15,"[0.1123, 0.1069, 0.1585, 0.1788, 0.1779, 0.2181, 0.2265, 0.231, 0.2444, 0.2496, 0.2463, 0.2613, 0.2645, 0.2565, 0.266]",0.2623,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
personal,0.001,15,"[0.2674, 0.3123, 0.3296, 0.3234, 0.3597, 0.3954, 0.4051, 0.3705, 0.3657, 0.4012, 0.4286, 0.4263, 0.4568, 0.4529, 0.4561]",0.4553,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
pooled,0.001,15,"[0.102, 0.102, 0.1015, 0.1085, 0.1145, 0.1242, 0.129, 0.1365, 0.1494, 0.154, 0.1538, 0.1545, 0.1607, 0.1649, 0.1751]",0.1669,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
global,0.001,15,"[0.109, 0.1058, 0.1407, 0.1584, 0.1591, 0.1918, 0.2025, 0.2068, 0.2182, 0.2178, 0.2189, 0.2288, 0.238, 0.23, 0.2379]",0.2353,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
personal,0.001,15,"[0.2686, 0.3288, 0.306, 0.2796, 0.2892, 0.3688, 0.3751, 0.4034, 0.3874, 0.3593, 0.4158, 0.4316, 0.4402, 0.4493, 0.4128]",0.4341,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
pooled,0.001,15,"[0.0999, 0.1, 0.0997, 0.1061, 0.11, 0.1173, 0.1198, 0.1346, 0.1406, 0.1297, 0.1366, 0.1541, 0.1651, 0.1596, 0.173]",0.1659,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
global,0.001,30,"[0.1123, 0.1069, 0.1585, 0.1788, 0.1779, 0.2181, 0.2265, 0.231, 0.2444, 0.2496, 0.2463, 0.2613, 0.2645, 0.2565, 0.266]",0.2623,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
personal,0.001,30,"[0.2607, 0.3096, 0.3501, 0.3354, 0.4247, 0.4227, 0.4416, 0.4485, 0.4637, 0.4742, 0.477, 0.4937, 0.487, 0.5156, 0.5161]",0.5062,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
pooled,0.001,30,"[0.1007, 0.106, 0.122, 0.1367, 0.1546, 0.1557, 0.163, 0.1663, 0.1772, 0.1836, 0.1849, 0.1967, 0.1898, 0.2134, 0.2018]",0.2017,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
global,0.001,30,"[0.109, 0.1058, 0.1407, 0.1584, 0.1591, 0.1918, 0.2025, 0.2068, 0.2182, 0.2178, 0.2189, 0.2288, 0.238, 0.23, 0.2379]",0.2353,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
personal,0.001,30,"[0.2674, 0.3659, 0.3928, 0.3742, 0.3842, 0.4211, 0.452, 0.4675, 0.4564, 0.4773, 0.4712, 0.4677, 0.4916, 0.4873, 0.5164]",0.4984,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
pooled,0.001,30,"[0.1003, 0.1047, 0.1324, 0.1272, 0.1401, 0.156, 0.1619, 0.178, 0.1772, 0.1854, 0.182, 0.196, 0.2076, 0.1977, 0.2104]",0.2052,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
global,0.01,15,"[0.1123, 0.1069, 0.1585, 0.1788, 0.1779, 0.2181, 0.2265, 0.231, 0.2444, 0.2496, 0.2463, 0.2613, 0.2645, 0.2565, 0.266]",0.2623,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
personal,0.01,15,"[0.2716, 0.3164, 0.3056, 0.3258, 0.3579, 0.3615, 0.3926, 0.331, 0.3222, 0.3867, 0.4061, 0.4163, 0.4084, 0.4282, 0.4148]",0.4171,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
pooled,0.01,15,"[0.1001, 0.1001, 0.1, 0.1023, 0.1103, 0.1176, 0.1282, 0.1265, 0.1271, 0.1409, 0.1398, 0.1491, 0.1387, 0.1457, 0.1546]",0.1463,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
global,0.01,15,"[0.109, 0.1058, 0.1407, 0.1584, 0.1591, 0.1918, 0.2025, 0.2068, 0.2182, 0.2178, 0.2189, 0.2288, 0.238, 0.23, 0.2379]",0.2353,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
personal,0.01,15,"[0.2062, 0.2863, 0.306, 0.2869, 0.2909, 0.3713, 0.3758, 0.3718, 0.335, 0.3575, 0.3865, 0.3727, 0.4166, 0.4044, 0.3588]",0.3933,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
pooled,0.01,15,"[0.0997, 0.0997, 0.0997, 0.1164, 0.1164, 0.1188, 0.1211, 0.1175, 0.131, 0.1322, 0.1373, 0.1371, 0.1549, 0.1439, 0.1459]",0.1482,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
global,0.01,30,"[0.1123, 0.1069, 0.1585, 0.1788, 0.1779, 0.2181, 0.2265, 0.231, 0.2444, 0.2496, 0.2463, 0.2613, 0.2645, 0.2565, 0.266]",0.2623,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
personal,0.01,30,"[0.2607, 0.3126, 0.3345, 0.311, 0.3782, 0.3975, 0.4068, 0.4296, 0.411, 0.4444, 0.4449, 0.448, 0.4424, 0.432, 0.4602]",0.4449,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
pooled,0.01,30,"[0.1007, 0.1085, 0.1106, 0.122, 0.136, 0.1467, 0.1486, 0.1561, 0.1531, 0.1634, 0.1719, 0.1609, 0.1648, 0.1648, 0.1625]",0.164,ThreeLevels-0-SCF,0.001,11.44,1.0,108,42
global,0.01,30,"[0.109, 0.1058, 0.1407, 0.1584, 0.1591, 0.1918, 0.2025, 0.2068, 0.2182, 0.2178, 0.2189, 0.2288, 0.238, 0.23, 0.2379]",0.2353,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
personal,0.01,30,"[0.2651, 0.3489, 0.3246, 0.3154, 0.3252, 0.4202, 0.4026, 0.4215, 0.3899, 0.4397, 0.4206, 0.4077, 0.4621, 0.4509, 0.453]",0.4553,BoundedPareto-0-SCF,0.001,11.44,1.0,70,42
