type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1047, 0.1036, 0.1023, 0.1113, 0.1188, 0.1238, 0.1294, 0.1397, 0.1404, 0.1388, 0.135, 0.1489, 0.1569, 0.1511, 0.1565]",0.1548,0.1,0.001,17.5,1.0,32,42
personal,0.0,15,"[0.2528, 0.3093, 0.3308, 0.319, 0.3582, 0.3969, 0.3822, 0.3829, 0.4014, 0.4305, 0.4286, 0.437, 0.4698, 0.4657, 0.4615]",0.4657,0.1,0.001,17.5,1.0,32,42
pooled,0.0,15,"[0.1018, 0.1019, 0.0999, 0.1068, 0.1161, 0.124, 0.1165, 0.1411, 0.1524, 0.1565, 0.1603, 0.1597, 0.1651, 0.1649, 0.1791]",0.1697,0.1,0.001,17.5,1.0,32,42
global,0.001,15,"[0.1047, 0.1036, 0.1023, 0.1113, 0.1188, 0.1238, 0.1294, 0.1397, 0.1404, 0.1388, 0.135, 0.1489, 0.1569, 0.1511, 0.1565]",0.1548,0.1,0.001,17.5,1.0,32,42
personal,0.001,15,"[0.2674, 0.3123, 0.3225, 0.3223, 0.3585, 0.3908, 0.4019, 0.3793, 0.3554, 0.4029, 0.4151, 0.4208, 0.4413, 0.4428, 0.4503]",0.4448,0.1,0.001,17.5,1.0,32,42
pooled,0.001,15,"[0.102, 0.102, 0.1004, 0.1079, 0.1155, 0.1259, 0.1271, 0.1412, 0.1487, 0.1514, 0.155, 0.1528, 0.1509, 0.162, 0.1743]",0.1624,0.1,0.001,17.5,1.0,32,42
global,0.01,15,"[0.1047, 0.1036, 0.1023, 0.1113, 0.1188, 0.1238, 0.1294, 0.1397, 0.1404, 0.1388, 0.135, 0.1489, 0.1569, 0.1511, 0.1565]",0.1548,0.1,0.001,17.5,1.0,32,42
personal,0.01,15,"[0.2716, 0.3164, 0.3056, 0.3474, 0.3682, 0.3621, 0.3632, 0.3517, 0.3343, 0.3838, 0.3953, 0.3948, 0.4196, 0.4428, 0.4422]",0.4349,0.1,0.001,17.5,1.0,32,42
pooled,0.01,15,"[0.1001, 0.1001, 0.1, 0.111, 0.1177, 0.1148, 0.1158, 0.1349, 0.1408, 0.1423, 0.1345, 0.1395, 0.1394, 0.1527, 0.1577]",0.1499,0.1,0.001,17.5,1.0,32,42
global,0.1,15,"[0.1047, 0.1036, 0.1023, 0.1113, 0.1188, 0.1238, 0.1294, 0.1397, 0.1404, 0.1388, 0.135, 0.1489, 0.1569, 0.1511, 0.1565]",0.1548,0.1,0.001,17.5,1.0,32,42
personal,0.1,15,"[0.2069, 0.2823, 0.2649, 0.311, 0.3056, 0.307, 0.3523, 0.2817, 0.3011, 0.2699, 0.357, 0.3224, 0.3203, 0.3033, 0.3671]",0.3302,0.1,0.001,17.5,1.0,32,42
pooled,0.1,15,"[0.1007, 0.1008, 0.1004, 0.1047, 0.1062, 0.1002, 0.1002, 0.1016, 0.1058, 0.1002, 0.1054, 0.11, 0.1067, 0.1022, 0.1197]",0.1095,0.1,0.001,17.5,1.0,32,42
global,1.0,15,"[0.1047, 0.1036, 0.1023, 0.1113, 0.1188, 0.1238, 0.1294, 0.1397, 0.1404, 0.1388, 0.135, 0.1489, 0.1569, 0.1511, 0.1565]",0.1548,0.1,0.001,17.5,1.0,32,42
personal,1.0,15,"[0.2012, 0.2506, 0.2205, 0.2412, 0.2009, 0.2748, 0.3394, 0.2812, 0.2419, 0.2728, 0.3347, 0.2521, 0.3394, 0.2553, 0.316]",0.3036,0.1,0.001,17.5,1.0,32,42
pooled,1.0,15,"[0.0994, 0.0987, 0.0995, 0.0998, 0.0998, 0.1026, 0.1009, 0.1031, 0.1026, 0.0999, 0.0999, 0.1023, 0.1049, 0.1018, 0.1012]",0.1026,0.1,0.001,17.5,1.0,32,42
global,10.0,15,"[0.1047, 0.1036, 0.1023, 0.1113, 0.1188, 0.1238, 0.1294, 0.1397, 0.1404, 0.1388, 0.135, 0.1489, 0.1569, 0.1511, 0.1565]",0.1548,0.1,0.001,17.5,1.0,32,42
personal,10.0,15,"[0.2413, 0.3023, 0.3024, 0.2899, 0.3023, 0.2824, 0.2507, 0.2172, 0.2143, 0.2542, 0.2724, 0.2029, 0.2433, 0.2814, 0.3167]",0.2805,0.1,0.001,17.5,1.0,32,42
pooled,10.0,15,"[0.101, 0.1032, 0.1035, 0.1013, 0.1006, 0.1013, 0.1009, 0.1024, 0.1016, 0.1001, 0.1016, 0.1002, 0.1005, 0.1005, 0.1059]",0.1023,0.1,0.001,17.5,1.0,32,42
global,0.0,15,"[0.1051, 0.1063, 0.1464, 0.165, 0.17, 0.1998, 0.2131, 0.2199, 0.2356, 0.23, 0.2282, 0.2463, 0.2456, 0.2382, 0.2495]",0.2444,0.5,0.001,4.38,1.0,32,42
personal,0.0,15,"[0.2528, 0.3093, 0.3308, 0.319, 0.3582, 0.3969, 0.3822, 0.3829, 0.4014, 0.4305, 0.4286, 0.437, 0.4698, 0.4657, 0.4615]",0.4657,0.5,0.001,4.38,1.0,32,42
pooled,0.0,15,"[0.1018, 0.1019, 0.0999, 0.1068, 0.1161, 0.124, 0.1165, 0.1411, 0.1524, 0.1565, 0.1603, 0.1597, 0.1651, 0.1649, 0.1791]",0.1697,0.5,0.001,4.38,1.0,32,42
global,0.001,15,"[0.1051, 0.1063, 0.1464, 0.165, 0.17, 0.1998, 0.2131, 0.2199, 0.2356, 0.23, 0.2282, 0.2463, 0.2456, 0.2382, 0.2495]",0.2444,0.5,0.001,4.38,1.0,32,42
personal,0.001,15,"[0.2674, 0.3123, 0.3294, 0.3304, 0.3689, 0.3891, 0.3938, 0.3557, 0.3483, 0.4102, 0.4248, 0.4305, 0.4443, 0.4519, 0.4415]",0.4459,0.5,0.001,4.38,1.0,32,42
pooled,0.001,15,"[0.102, 0.102, 0.1006, 0.1091, 0.1152, 0.1246, 0.1231, 0.1368, 0.1471, 0.1549, 0.1583, 0.1577, 0.1573, 0.1597, 0.1683]",0.1618,0.5,0.001,4.38,1.0,32,42
global,0.01,15,"[0.1051, 0.1063, 0.1464, 0.165, 0.17, 0.1998, 0.2131, 0.2199, 0.2356, 0.23, 0.2282, 0.2463, 0.2456, 0.2382, 0.2495]",0.2444,0.5,0.001,4.38,1.0,32,42
personal,0.01,15,"[0.2716, 0.3164, 0.3056, 0.3378, 0.3529, 0.3377, 0.3982, 0.348, 0.3249, 0.4248, 0.4012, 0.407, 0.4095, 0.4331, 0.4261]",0.4229,0.5,0.001,4.38,1.0,32,42
pooled,0.01,15,"[0.1001, 0.1001, 0.1, 0.1042, 0.1177, 0.1141, 0.1244, 0.1298, 0.1375, 0.1421, 0.1385, 0.146, 0.1389, 0.1532, 0.1588]",0.1503,0.5,0.001,4.38,1.0,32,42
global,0.1,15,"[0.1051, 0.1063, 0.1464, 0.165, 0.17, 0.1998, 0.2131, 0.2199, 0.2356, 0.23, 0.2282, 0.2463, 0.2456, 0.2382, 0.2495]",0.2444,0.5,0.001,4.38,1.0,32,42
personal,0.1,15,"[0.2069, 0.2823, 0.2649, 0.3173, 0.2813, 0.3151, 0.3107, 0.3159, 0.2993, 0.2716, 0.3354, 0.3249, 0.3262, 0.2876, 0.3521]",0.322,0.5,0.001,4.38,1.0,32,42
pooled,0.1,15,"[0.1007, 0.1008, 0.1004, 0.1009, 0.1005, 0.103, 0.1038, 0.1045, 0.1062, 0.1, 0.1023, 0.1097, 0.1065, 0.1013, 0.1184]",0.1087,0.5,0.001,4.38,1.0,32,42
global,1.0,15,"[0.1051, 0.1063, 0.1464, 0.165, 0.17, 0.1998, 0.2131, 0.2199, 0.2356, 0.23, 0.2282, 0.2463, 0.2456, 0.2382, 0.2495]",0.2444,0.5,0.001,4.38,1.0,32,42
