type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.0991, 0.1009, 0.101, 0.0982, 0.0984, 0.0964, 0.098, 0.0988, 0.0988, 0.0987, 0.0979, 0.0982, 0.0986, 0.0968, 0.0974]",0.0976,0.0,0.001,640,1.0,128,42
personal,0.0,15,"[0.101, 0.1035, 0.11, 0.109, 0.1097, 0.1133, 0.1154, 0.1183, 0.1184, 0.115, 0.11, 0.1105, 0.1079, 0.1078, 0.1084]",0.108,0.0,0.001,640,1.0,128,42
pooled,0.0,15,"[0.1014, 0.1035, 0.109, 0.1082, 0.1107, 0.114, 0.1146, 0.1182, 0.1194, 0.1163, 0.1118, 0.1123, 0.1102, 0.1089, 0.1094]",0.1095,0.0,0.001,640,1.0,128,42
global,0.0,15,"[0.1, 0.1089, 0.1298, 0.1248, 0.1553, 0.1614, 0.1895, 0.2091, 0.2302, 0.2401, 0.249, 0.2592, 0.277, 0.2941, 0.3185]",0.2965,0.1,0.001,13.75,1.0,128,42
personal,0.0,15,"[0.0993, 0.1041, 0.1059, 0.1101, 0.1122, 0.1129, 0.1175, 0.1286, 0.1321, 0.1412, 0.1481, 0.1453, 0.1455, 0.1411, 0.1424]",0.143,0.1,0.001,13.75,1.0,128,42
pooled,0.0,15,"[0.1001, 0.1036, 0.1053, 0.1095, 0.1121, 0.113, 0.1172, 0.1277, 0.1316, 0.1411, 0.148, 0.1452, 0.1454, 0.1398, 0.1413]",0.1422,0.1,0.001,13.75,1.0,128,42
global,0.0,15,"[0.1297, 0.1968, 0.2716, 0.3505, 0.4665, 0.5467, 0.5497, 0.5598, 0.5677, 0.5939, 0.5971, 0.6087, 0.6086, 0.6062, 0.6243]",0.613,0.5,0.001,3.67,1.0,128,42
personal,0.0,15,"[0.1, 0.1056, 0.1117, 0.1331, 0.1458, 0.1704, 0.1831, 0.2112, 0.2293, 0.2443, 0.2515, 0.2661, 0.2802, 0.2945, 0.3404]",0.305,0.5,0.001,3.67,1.0,128,42
pooled,0.0,15,"[0.1009, 0.1058, 0.1117, 0.132, 0.1443, 0.1702, 0.1839, 0.2117, 0.2307, 0.245, 0.2517, 0.265, 0.2797, 0.2951, 0.337]",0.3039,0.5,0.001,3.67,1.0,128,42
global,0.0,15,"[0.19, 0.321, 0.4833, 0.5641, 0.5533, 0.5838, 0.6075, 0.6228, 0.6256, 0.6358, 0.6492, 0.6481, 0.6487, 0.6463, 0.6522]",0.6491,1.0,0.001,2.13,1.0,128,42
personal,0.0,15,"[0.1016, 0.1055, 0.125, 0.1658, 0.187, 0.2282, 0.2425, 0.275, 0.293, 0.318, 0.3519, 0.3879, 0.4233, 0.4524, 0.4692]",0.4483,1.0,0.001,2.13,1.0,128,42
pooled,0.0,15,"[0.1032, 0.1073, 0.1261, 0.1658, 0.1881, 0.2267, 0.2415, 0.2738, 0.2916, 0.316, 0.3522, 0.3856, 0.4233, 0.4506, 0.4657]",0.4465,1.0,0.001,2.13,1.0,128,42
global,0.0,15,"[0.2667, 0.5308, 0.58, 0.6276, 0.6421, 0.6504, 0.6598, 0.6678, 0.662, 0.6782, 0.695, 0.6948, 0.6937, 0.6964, 0.7003]",0.6968,4.0,0.001,0.94,1.0,128,42
personal,0.0,15,"[0.1103, 0.131, 0.1644, 0.2204, 0.264, 0.3253, 0.374, 0.4309, 0.4758, 0.5004, 0.5151, 0.5226, 0.5418, 0.5536, 0.548]",0.5478,4.0,0.001,0.94,1.0,128,42
pooled,0.0,15,"[0.1117, 0.1322, 0.1655, 0.222, 0.2646, 0.3244, 0.3749, 0.4321, 0.4747, 0.4988, 0.5136, 0.5208, 0.5437, 0.5533, 0.5474]",0.5481,4.0,0.001,0.94,1.0,128,42
global,0.0,15,"[0.3325, 0.5674, 0.6163, 0.6414, 0.6543, 0.6657, 0.6697, 0.6808, 0.6866, 0.6936, 0.7032, 0.7053, 0.7059, 0.7069, 0.7111]",0.708,8.0,0.001,0.72,1.0,128,42
