type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1193, 0.2097, 0.3186, 0.4815, 0.5684, 0.58, 0.5723, 0.6048, 0.6054, 0.6057, 0.6126, 0.6345, 0.6345, 0.6346, 0.6504]",0.6398,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.0,15,"[0.248, 0.3574, 0.4543, 0.5535, 0.6197, 0.6375, 0.6525, 0.6839, 0.6892, 0.7134, 0.7242, 0.7313, 0.7357, 0.7393, 0.7447]",0.7399,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.0,15,"[0.25, 0.3557, 0.4547, 0.5553, 0.6226, 0.6381, 0.654, 0.6842, 0.6904, 0.7165, 0.7276, 0.7331, 0.7367, 0.7382, 0.7453]",0.7401,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.0,15,"[0.0996, 0.12, 0.2428, 0.2978, 0.3843, 0.5036, 0.5541, 0.566, 0.5629, 0.5749, 0.5796, 0.6055, 0.6062, 0.6127, 0.6256]",0.6148,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.0,15,"[0.2485, 0.3729, 0.4654, 0.5713, 0.6324, 0.6524, 0.6649, 0.6801, 0.6919, 0.7172, 0.7294, 0.7323, 0.7394, 0.7487, 0.7485]",0.7455,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.0,15,"[0.2482, 0.3714, 0.4652, 0.5731, 0.6335, 0.6548, 0.6667, 0.6834, 0.6936, 0.7167, 0.729, 0.7324, 0.7377, 0.7463, 0.7492]",0.7444,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.0,15,"[0.1003, 0.2184, 0.3422, 0.5116, 0.513, 0.5592, 0.5419, 0.5891, 0.5916, 0.595, 0.6061, 0.6235, 0.6255, 0.6167, 0.6431]",0.6284,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.0,15,"[0.2298, 0.366, 0.4662, 0.5905, 0.6397, 0.6601, 0.6694, 0.6923, 0.7038, 0.7256, 0.7338, 0.7386, 0.7459, 0.752, 0.7532]",0.7504,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.0,15,"[0.231, 0.3651, 0.4652, 0.5904, 0.6397, 0.6619, 0.6702, 0.6937, 0.704, 0.7265, 0.7323, 0.7366, 0.7438, 0.7483, 0.7512]",0.7478,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.0,30,"[0.1193, 0.2097, 0.3186, 0.4815, 0.5684, 0.58, 0.5723, 0.6048, 0.6054, 0.6057, 0.6126, 0.6345, 0.6345, 0.6346, 0.6504]",0.6398,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.0,30,"[0.2985, 0.4593, 0.5537, 0.6768, 0.7029, 0.7134, 0.7215, 0.7377, 0.7413, 0.7633, 0.7676, 0.7713, 0.7709, 0.7766, 0.7807]",0.7761,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.0,30,"[0.301, 0.4614, 0.5555, 0.6792, 0.7036, 0.7151, 0.7215, 0.7378, 0.7406, 0.7633, 0.7667, 0.7682, 0.7703, 0.7769, 0.7797]",0.7756,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.0,30,"[0.0996, 0.12, 0.2428, 0.2978, 0.3843, 0.5036, 0.5541, 0.566, 0.5629, 0.5749, 0.5796, 0.6055, 0.6062, 0.6127, 0.6256]",0.6148,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.0,30,"[0.3073, 0.4733, 0.5626, 0.6895, 0.7216, 0.7285, 0.7369, 0.746, 0.7503, 0.7662, 0.769, 0.7687, 0.7725, 0.7741, 0.7809]",0.7758,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.0,30,"[0.308, 0.4722, 0.5637, 0.6896, 0.7218, 0.729, 0.736, 0.7458, 0.7522, 0.7673, 0.7697, 0.7699, 0.7731, 0.7749, 0.7796]",0.7759,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.0,30,"[0.1003, 0.2184, 0.3422, 0.5116, 0.513, 0.5592, 0.5419, 0.5891, 0.5916, 0.595, 0.6061, 0.6235, 0.6255, 0.6167, 0.6431]",0.6284,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.0,30,"[0.3006, 0.47, 0.5613, 0.6745, 0.712, 0.722, 0.7288, 0.7379, 0.7424, 0.7618, 0.7641, 0.7648, 0.7717, 0.7805, 0.7855]",0.7792,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.0,30,"[0.3019, 0.4716, 0.5616, 0.6775, 0.7141, 0.7236, 0.7303, 0.7395, 0.744, 0.7597, 0.7628, 0.7656, 0.774, 0.7807, 0.7848]",0.7798,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.001,15,"[0.1193, 0.2097, 0.3186, 0.4815, 0.5684, 0.58, 0.5723, 0.6048, 0.6054, 0.6057, 0.6126, 0.6345, 0.6345, 0.6346, 0.6504]",0.6398,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.001,15,"[0.2477, 0.3585, 0.4538, 0.5595, 0.6247, 0.6432, 0.6568, 0.6883, 0.6948, 0.722, 0.7297, 0.7312, 0.7368, 0.7424, 0.7464]",0.7419,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.001,15,"[0.2498, 0.3568, 0.454, 0.5622, 0.6283, 0.6442, 0.6595, 0.6904, 0.6971, 0.7245, 0.732, 0.7343, 0.7377, 0.7408, 0.747]",0.7418,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.001,15,"[0.0996, 0.12, 0.2428, 0.2978, 0.3843, 0.5036, 0.5541, 0.566, 0.5629, 0.5749, 0.5796, 0.6055, 0.6062, 0.6127, 0.6256]",0.6148,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.001,15,"[0.2483, 0.3705, 0.4673, 0.5708, 0.6317, 0.6512, 0.6638, 0.6786, 0.6919, 0.7199, 0.7292, 0.732, 0.7392, 0.7484, 0.7478]",0.7451,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.001,15,"[0.2482, 0.3715, 0.4661, 0.5725, 0.633, 0.6545, 0.6672, 0.6824, 0.6932, 0.7183, 0.7297, 0.7327, 0.7364, 0.7465, 0.7487]",0.7439,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.001,15,"[0.1003, 0.2184, 0.3422, 0.5116, 0.513, 0.5592, 0.5419, 0.5891, 0.5916, 0.595, 0.6061, 0.6235, 0.6255, 0.6167, 0.6431]",0.6284,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.001,15,"[0.2296, 0.367, 0.4657, 0.5989, 0.6433, 0.6652, 0.6743, 0.6925, 0.7041, 0.7265, 0.7343, 0.7351, 0.7443, 0.7507, 0.7546]",0.7499,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.001,15,"[0.2306, 0.3658, 0.4645, 0.5992, 0.6421, 0.6657, 0.6739, 0.6935, 0.7042, 0.7262, 0.7323, 0.7343, 0.7429, 0.7478, 0.7522]",0.7476,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.001,30,"[0.1193, 0.2097, 0.3186, 0.4815, 0.5684, 0.58, 0.5723, 0.6048, 0.6054, 0.6057, 0.6126, 0.6345, 0.6345, 0.6346, 0.6504]",0.6398,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.001,30,"[0.2981, 0.4595, 0.5573, 0.6829, 0.7085, 0.7208, 0.7278, 0.7438, 0.7464, 0.7632, 0.7679, 0.7698, 0.7694, 0.774, 0.7802]",0.7745,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.001,30,"[0.3008, 0.4611, 0.5593, 0.6864, 0.7104, 0.7239, 0.7303, 0.7456, 0.7474, 0.7641, 0.7674, 0.7677, 0.7704, 0.7756, 0.7793]",0.7751,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.001,30,"[0.0996, 0.12, 0.2428, 0.2978, 0.3843, 0.5036, 0.5541, 0.566, 0.5629, 0.5749, 0.5796, 0.6055, 0.6062, 0.6127, 0.6256]",0.6148,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.001,30,"[0.3073, 0.4764, 0.5639, 0.6893, 0.7224, 0.7296, 0.7375, 0.7476, 0.7535, 0.7675, 0.7703, 0.7717, 0.7751, 0.7752, 0.7802]",0.7768,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.001,30,"[0.3079, 0.4746, 0.5644, 0.6888, 0.7216, 0.7289, 0.7363, 0.7473, 0.7544, 0.7672, 0.7714, 0.7726, 0.775, 0.7746, 0.7787]",0.7761,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.001,30,"[0.1003, 0.2184, 0.3422, 0.5116, 0.513, 0.5592, 0.5419, 0.5891, 0.5916, 0.595, 0.6061, 0.6235, 0.6255, 0.6167, 0.6431]",0.6284,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.001,30,"[0.3006, 0.4701, 0.5604, 0.6759, 0.7107, 0.7237, 0.7314, 0.7401, 0.7445, 0.7622, 0.765, 0.7667, 0.771, 0.7812, 0.7847]",0.779,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.001,30,"[0.3018, 0.4716, 0.5617, 0.6786, 0.7131, 0.7245, 0.7317, 0.7413, 0.7454, 0.7596, 0.7632, 0.7672, 0.7735, 0.7814, 0.7846]",0.7798,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.01,15,"[0.1193, 0.2097, 0.3186, 0.4815, 0.5684, 0.58, 0.5723, 0.6048, 0.6054, 0.6057, 0.6126, 0.6345, 0.6345, 0.6346, 0.6504]",0.6398,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.01,15,"[0.249, 0.3563, 0.4537, 0.5644, 0.6274, 0.6494, 0.6602, 0.6893, 0.6956, 0.7212, 0.7284, 0.7311, 0.741, 0.7441, 0.7486]",0.7446,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.01,15,"[0.2508, 0.3546, 0.4565, 0.5675, 0.6307, 0.65, 0.662, 0.6918, 0.6976, 0.7229, 0.7304, 0.7334, 0.7404, 0.743, 0.7481]",0.7438,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.01,15,"[0.0996, 0.12, 0.2428, 0.2978, 0.3843, 0.5036, 0.5541, 0.566, 0.5629, 0.5749, 0.5796, 0.6055, 0.6062, 0.6127, 0.6256]",0.6148,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.01,15,"[0.2482, 0.3743, 0.4699, 0.5734, 0.6317, 0.655, 0.6667, 0.6791, 0.6936, 0.7209, 0.7296, 0.7327, 0.7387, 0.7491, 0.7492]",0.7457,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.01,15,"[0.248, 0.3747, 0.4681, 0.5761, 0.634, 0.6577, 0.6698, 0.6832, 0.6952, 0.7188, 0.7295, 0.7329, 0.7361, 0.7471, 0.75]",0.7444,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.01,15,"[0.1003, 0.2184, 0.3422, 0.5116, 0.513, 0.5592, 0.5419, 0.5891, 0.5916, 0.595, 0.6061, 0.6235, 0.6255, 0.6167, 0.6431]",0.6284,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.01,15,"[0.2291, 0.3667, 0.4653, 0.5991, 0.6437, 0.67, 0.6779, 0.6946, 0.7045, 0.7259, 0.7339, 0.7368, 0.7413, 0.7482, 0.7536]",0.7477,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.01,15,"[0.2308, 0.3662, 0.4643, 0.5989, 0.643, 0.6697, 0.6773, 0.6941, 0.705, 0.7251, 0.7302, 0.7367, 0.7427, 0.7481, 0.7502]",0.747,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.01,30,"[0.1193, 0.2097, 0.3186, 0.4815, 0.5684, 0.58, 0.5723, 0.6048, 0.6054, 0.6057, 0.6126, 0.6345, 0.6345, 0.6346, 0.6504]",0.6398,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.01,30,"[0.2993, 0.4649, 0.5567, 0.6851, 0.7116, 0.7233, 0.7292, 0.7441, 0.7492, 0.7622, 0.7676, 0.7676, 0.767, 0.7721, 0.7746]",0.7712,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.01,30,"[0.3015, 0.4669, 0.558, 0.6872, 0.7114, 0.7251, 0.7302, 0.7456, 0.749, 0.7626, 0.7679, 0.7668, 0.7685, 0.7741, 0.7752]",0.7726,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.01,30,"[0.0996, 0.12, 0.2428, 0.2978, 0.3843, 0.5036, 0.5541, 0.566, 0.5629, 0.5749, 0.5796, 0.6055, 0.6062, 0.6127, 0.6256]",0.6148,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.01,30,"[0.3067, 0.4778, 0.5635, 0.689, 0.7208, 0.7245, 0.7333, 0.7451, 0.7506, 0.7668, 0.7659, 0.7675, 0.7693, 0.7678, 0.7767]",0.7713,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.01,30,"[0.3077, 0.4757, 0.5645, 0.6887, 0.7215, 0.7263, 0.734, 0.7441, 0.7515, 0.7665, 0.7669, 0.7683, 0.7699, 0.7703, 0.7757]",0.772,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.01,30,"[0.1003, 0.2184, 0.3422, 0.5116, 0.513, 0.5592, 0.5419, 0.5891, 0.5916, 0.595, 0.6061, 0.6235, 0.6255, 0.6167, 0.6431]",0.6284,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.01,30,"[0.3023, 0.4702, 0.5627, 0.6763, 0.7117, 0.7236, 0.7297, 0.7356, 0.741, 0.7617, 0.7627, 0.7667, 0.7721, 0.7781, 0.7824]",0.7775,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.01,30,"[0.3031, 0.4704, 0.563, 0.678, 0.7125, 0.7252, 0.7303, 0.7387, 0.7423, 0.7579, 0.7606, 0.7662, 0.7708, 0.7777, 0.7815]",0.7767,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.1,15,"[0.1193, 0.2097, 0.3186, 0.4815, 0.5684, 0.58, 0.5723, 0.6048, 0.6054, 0.6057, 0.6126, 0.6345, 0.6345, 0.6346, 0.6504]",0.6398,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.1,15,"[0.2462, 0.37, 0.4596, 0.5645, 0.6274, 0.649, 0.6584, 0.6897, 0.6969, 0.7134, 0.7201, 0.7284, 0.7257, 0.7249, 0.7268]",0.7258,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
