type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.0959, 0.0952, 0.0959, 0.0911, 0.0945, 0.097, 0.0964, 0.0947, 0.0913, 0.0915, 0.0921, 0.0911, 0.089, 0.0883, 0.0822]",0.0865,0.0,0.001,640,1.0,128,42
personal,0.0,15,"[0.248, 0.3574, 0.4543, 0.5535, 0.6197, 0.6375, 0.6525, 0.6839, 0.6892, 0.7134, 0.7242, 0.7313, 0.7357, 0.7393, 0.7447]",0.7399,0.0,0.001,640,1.0,128,42
pooled,0.0,15,"[0.25, 0.3557, 0.4547, 0.5553, 0.6226, 0.6381, 0.654, 0.6842, 0.6904, 0.7165, 0.7276, 0.7331, 0.7367, 0.7382, 0.7453]",0.7401,0.0,0.001,640,1.0,128,42
global,0.0,15,"[0.1014, 0.0988, 0.0992, 0.1089, 0.1236, 0.1289, 0.1704, 0.1963, 0.2164, 0.2432, 0.2553, 0.2561, 0.2592, 0.2662, 0.2696]",0.265,0.1,0.001,13.75,1.0,128,42
personal,0.0,15,"[0.248, 0.3574, 0.4543, 0.5535, 0.6197, 0.6375, 0.6525, 0.6839, 0.6892, 0.7134, 0.7242, 0.7313, 0.7357, 0.7393, 0.7447]",0.7399,0.1,0.001,13.75,1.0,128,42
pooled,0.0,15,"[0.25, 0.3557, 0.4547, 0.5553, 0.6226, 0.6381, 0.654, 0.6842, 0.6904, 0.7165, 0.7276, 0.7331, 0.7367, 0.7382, 0.7453]",0.7401,0.1,0.001,13.75,1.0,128,42
global,0.0,15,"[0.1131, 0.1558, 0.2741, 0.3371, 0.5079, 0.5548, 0.5464, 0.5734, 0.5768, 0.5712, 0.5872, 0.6052, 0.6161, 0.605, 0.6299]",0.617,0.5,0.001,3.67,1.0,128,42
personal,0.0,15,"[0.248, 0.3574, 0.4543, 0.5535, 0.6197, 0.6375, 0.6525, 0.6839, 0.6892, 0.7134, 0.7242, 0.7313, 0.7357, 0.7393, 0.7447]",0.7399,0.5,0.001,3.67,1.0,128,42
pooled,0.0,15,"[0.25, 0.3557, 0.4547, 0.5553, 0.6226, 0.6381, 0.654, 0.6842, 0.6904, 0.7165, 0.7276, 0.7331, 0.7367, 0.7382, 0.7453]",0.7401,0.5,0.001,3.67,1.0,128,42
global,0.0,15,"[0.1956, 0.3153, 0.5373, 0.5425, 0.5933, 0.6013, 0.5975, 0.6181, 0.6164, 0.623, 0.6384, 0.6459, 0.6528, 0.649, 0.6628]",0.6549,1.0,0.001,2.13,1.0,128,42
personal,0.0,15,"[0.248, 0.3574, 0.4543, 0.5535, 0.6197, 0.6375, 0.6525, 0.6839, 0.6892, 0.7134, 0.7242, 0.7313, 0.7357, 0.7393, 0.7447]",0.7399,1.0,0.001,2.13,1.0,128,42
pooled,0.0,15,"[0.25, 0.3557, 0.4547, 0.5553, 0.6226, 0.6381, 0.654, 0.6842, 0.6904, 0.7165, 0.7276, 0.7331, 0.7367, 0.7382, 0.7453]",0.7401,1.0,0.001,2.13,1.0,128,42
global,0.0,15,"[0.2711, 0.5181, 0.6096, 0.6262, 0.6523, 0.6616, 0.6599, 0.6659, 0.6681, 0.6824, 0.6906, 0.6936, 0.6911, 0.698, 0.7049]",0.698,4.0,0.001,0.94,1.0,128,42
