type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.5243, 0.7691, 0.7982, 0.8231, 0.8411, 0.8489, 0.8575, 0.8593, 0.8601, 0.8668, 0.868, 0.8713, 0.8705, 0.87, 0.8747]",0.8717,PrivacyFree,,,,128,42
personal,0.0,15,"[0.283, 0.436, 0.5286, 0.639, 0.6873, 0.7025, 0.7092, 0.7252, 0.7321, 0.7515, 0.7625, 0.7709, 0.7738, 0.78, 0.7824]",0.7787,PrivacyFree,,,,128,42
pooled,0.0,15,"[0.2831, 0.4355, 0.5313, 0.6421, 0.6875, 0.7034, 0.7103, 0.727, 0.7336, 0.7514, 0.7614, 0.7676, 0.7716, 0.7752, 0.7809]",0.7759,PrivacyFree,,,,128,42
global,0.0,15,"[0.5232, 0.7699, 0.8004, 0.8357, 0.8481, 0.8538, 0.8565, 0.8517, 0.8579, 0.8653, 0.8659, 0.8692, 0.8618, 0.8747, 0.8755]",0.8707,PrivacyFree,,,,128,43
personal,0.0,15,"[0.408, 0.5725, 0.649, 0.6828, 0.7144, 0.7274, 0.7394, 0.7406, 0.7464, 0.7603, 0.7641, 0.7651, 0.7658, 0.7741, 0.7811]",0.7737,PrivacyFree,,,,128,43
pooled,0.0,15,"[0.4081, 0.5731, 0.6487, 0.6794, 0.7085, 0.7257, 0.7354, 0.7362, 0.7406, 0.7567, 0.7618, 0.7645, 0.7656, 0.7731, 0.7782]",0.7723,PrivacyFree,,,,128,43
global,0.0,15,"[0.5401, 0.7746, 0.8073, 0.8298, 0.8325, 0.8436, 0.8434, 0.8496, 0.8558, 0.8544, 0.8625, 0.8654, 0.8661, 0.8679, 0.869]",0.8677,PrivacyFree,,,,128,44
personal,0.0,15,"[0.3846, 0.506, 0.55, 0.6271, 0.6294, 0.6934, 0.7155, 0.7362, 0.7343, 0.7401, 0.7503, 0.7499, 0.7571, 0.7675, 0.7691]",0.7646,PrivacyFree,,,,128,44
pooled,0.0,15,"[0.381, 0.5051, 0.5491, 0.6288, 0.6314, 0.6925, 0.716, 0.7345, 0.7333, 0.7374, 0.7479, 0.7505, 0.7572, 0.7655, 0.7702]",0.7643,PrivacyFree,,,,128,44
global,0.0,15,"[0.7248, 0.7425, 0.7828, 0.7936, 0.8124, 0.8289, 0.8346, 0.8416, 0.8469, 0.8524, 0.8555, 0.8603, 0.863, 0.8601, 0.8638]",0.8623,PrivacyFree,,,,128,45
personal,0.0,15,"[0.0986, 0.2158, 0.5232, 0.5457, 0.6755, 0.7075, 0.718, 0.7437, 0.7514, 0.758, 0.7632, 0.7742, 0.7775, 0.7775, 0.779]",0.778,PrivacyFree,,,,128,45
pooled,0.0,15,"[0.0981, 0.2146, 0.5227, 0.5473, 0.6754, 0.7077, 0.7175, 0.7424, 0.7502, 0.7576, 0.7637, 0.7738, 0.7769, 0.7768, 0.7808]",0.7782,PrivacyFree,,,,128,45
global,0.0,15,"[0.5779, 0.7599, 0.8012, 0.8274, 0.8425, 0.8504, 0.851, 0.8594, 0.8608, 0.8653, 0.8691, 0.8686, 0.8708, 0.8704, 0.8726]",0.8713,PrivacyFree,,,,128,46
personal,0.0,15,"[0.2133, 0.4489, 0.5774, 0.6313, 0.679, 0.6966, 0.7201, 0.7387, 0.7425, 0.7539, 0.7543, 0.7613, 0.7753, 0.7757, 0.775]",0.7753,PrivacyFree,,,,128,46
pooled,0.0,15,"[0.2139, 0.453, 0.5775, 0.6313, 0.6778, 0.6968, 0.722, 0.7372, 0.7436, 0.7548, 0.7539, 0.7631, 0.7738, 0.7759, 0.7769]",0.7755,PrivacyFree,,,,128,46
global,0.0,30,"[0.6693, 0.7385, 0.7665, 0.7856, 0.7968, 0.8078, 0.8132, 0.8231, 0.8315, 0.8356, 0.8372, 0.8445, 0.8501, 0.8494, 0.8562]",0.8519,PrivacyFree,,,,128,42
personal,0.0,30,"[0.3014, 0.471, 0.5621, 0.6818, 0.7142, 0.7207, 0.7241, 0.7366, 0.7392, 0.7598, 0.7655, 0.769, 0.7725, 0.7783, 0.7794]",0.7767,PrivacyFree,,,,128,42
pooled,0.0,30,"[0.3023, 0.47, 0.5628, 0.6833, 0.7132, 0.7216, 0.7236, 0.737, 0.7412, 0.7594, 0.7651, 0.7682, 0.7739, 0.7781, 0.7799]",0.7773,PrivacyFree,,,,128,42
global,0.001,30,"[0.6693, 0.7385, 0.7665, 0.7856, 0.7968, 0.8078, 0.8132, 0.8231, 0.8315, 0.8356, 0.8372, 0.8445, 0.8501, 0.8494, 0.8562]",0.8519,PrivacyFree,,,,128,42
personal,0.001,30,"[0.302, 0.4743, 0.5675, 0.6797, 0.7114, 0.7186, 0.7213, 0.7375, 0.7405, 0.7638, 0.768, 0.7703, 0.7793, 0.7831, 0.7869]",0.7831,PrivacyFree,,,,128,42
pooled,0.001,30,"[0.3023, 0.4727, 0.5679, 0.6829, 0.7117, 0.7214, 0.7237, 0.7369, 0.7418, 0.7645, 0.7685, 0.7713, 0.7794, 0.7807, 0.7829]",0.781,PrivacyFree,,,,128,42
global,0.01,30,"[0.6693, 0.7385, 0.7665, 0.7856, 0.7968, 0.8078, 0.8132, 0.8231, 0.8315, 0.8356, 0.8372, 0.8445, 0.8501, 0.8494, 0.8562]",0.8519,PrivacyFree,,,,128,42
personal,0.01,30,"[0.3018, 0.4778, 0.5703, 0.6939, 0.7213, 0.7315, 0.7359, 0.7467, 0.7526, 0.7703, 0.7755, 0.7803, 0.7874, 0.792, 0.7956]",0.7917,PrivacyFree,,,,128,42
pooled,0.01,30,"[0.3019, 0.4773, 0.5722, 0.6942, 0.7215, 0.732, 0.7355, 0.7447, 0.7531, 0.773, 0.7777, 0.7804, 0.7882, 0.7908, 0.7934]",0.7908,PrivacyFree,,,,128,42
global,0.1,30,"[0.6693, 0.7385, 0.7665, 0.7856, 0.7968, 0.8078, 0.8132, 0.8231, 0.8315, 0.8356, 0.8372, 0.8445, 0.8501, 0.8494, 0.8562]",0.8519,PrivacyFree,,,,128,42
personal,0.1,30,"[0.3, 0.4867, 0.5794, 0.7154, 0.7361, 0.7491, 0.7545, 0.7658, 0.7793, 0.7952, 0.7996, 0.8069, 0.8157, 0.8234, 0.8256]",0.8216,PrivacyFree,,,,128,42
pooled,0.1,30,"[0.2994, 0.4843, 0.579, 0.7138, 0.7358, 0.7501, 0.7543, 0.7657, 0.7776, 0.7972, 0.8022, 0.8081, 0.8171, 0.8228, 0.8242]",0.8214,PrivacyFree,,,,128,42
global,1.0,30,"[0.6693, 0.7385, 0.7665, 0.7856, 0.7968, 0.8078, 0.8132, 0.8231, 0.8315, 0.8356, 0.8372, 0.8445, 0.8501, 0.8494, 0.8562]",0.8519,PrivacyFree,,,,128,42
personal,1.0,30,"[0.2537, 0.4635, 0.5781, 0.7201, 0.759, 0.7714, 0.7757, 0.7909, 0.7995, 0.8166, 0.8177, 0.8244, 0.8308, 0.8389, 0.8419]",0.8372,PrivacyFree,,,,128,42
pooled,1.0,30,"[0.2573, 0.4642, 0.58, 0.7214, 0.7586, 0.7724, 0.7743, 0.7888, 0.7994, 0.8167, 0.8183, 0.824, 0.8314, 0.8393, 0.8412]",0.8373,PrivacyFree,,,,128,42
global,5.0,30,"[0.6693, 0.7385, 0.7665, 0.7856, 0.7968, 0.8078, 0.8132, 0.8231, 0.8315, 0.8356, 0.8372, 0.8445, 0.8501, 0.8494, 0.8562]",0.8519,PrivacyFree,,,,128,42
personal,5.0,30,"[0.11, 0.3466, 0.5393, 0.6872, 0.7663, 0.7777, 0.7832, 0.8001, 0.8048, 0.8212, 0.8226, 0.8274, 0.8333, 0.8416, 0.8449]",0.8399,PrivacyFree,,,,128,42
pooled,5.0,30,"[0.1107, 0.3459, 0.5411, 0.6886, 0.7656, 0.7788, 0.7825, 0.7998, 0.8063, 0.8214, 0.8227, 0.8271, 0.8341, 0.8412, 0.8449]",0.8401,PrivacyFree,,,,128,42
global,10.0,30,"[0.6693, 0.7385, 0.7665, 0.7856, 0.7968, 0.8078, 0.8132, 0.8231, 0.8315, 0.8356, 0.8372, 0.8445, 0.8501, 0.8494, 0.8562]",0.8519,PrivacyFree,,,,128,42
personal,10.0,30,"[0.1022, 0.3425, 0.5419, 0.6899, 0.7691, 0.7811, 0.7868, 0.8061, 0.8095, 0.8224, 0.824, 0.8297, 0.8347, 0.8425, 0.8466]",0.8413,PrivacyFree,,,,128,42
pooled,10.0,30,"[0.1038, 0.3422, 0.5433, 0.6901, 0.7688, 0.7817, 0.7873, 0.805, 0.8098, 0.8229, 0.8249, 0.8299, 0.8355, 0.8422, 0.847]",0.8416,PrivacyFree,,,,128,42
global,15.0,30,"[0.6693, 0.7385, 0.7665, 0.7856, 0.7968, 0.8078, 0.8132, 0.8231, 0.8315, 0.8356, 0.8372, 0.8445, 0.8501, 0.8494, 0.8562]",0.8519,PrivacyFree,,,,128,42
personal,15.0,30,"[0.1017, 0.3416, 0.542, 0.6899, 0.7696, 0.7823, 0.7878, 0.8072, 0.8115, 0.8237, 0.8259, 0.8313, 0.8368, 0.8438, 0.8477]",0.8428,PrivacyFree,,,,128,42
pooled,15.0,30,"[0.1036, 0.342, 0.5431, 0.6902, 0.7699, 0.7828, 0.7886, 0.8066, 0.8115, 0.824, 0.8265, 0.8313, 0.8369, 0.843, 0.8483]",0.8427,PrivacyFree,,,,128,42
global,20.0,30,"[0.6693, 0.7385, 0.7665, 0.7856, 0.7968, 0.8078, 0.8132, 0.8231, 0.8315, 0.8356, 0.8372, 0.8445, 0.8501, 0.8494, 0.8562]",0.8519,PrivacyFree,,,,128,42
personal,20.0,30,"[0.1014, 0.341, 0.5412, 0.69, 0.7703, 0.7834, 0.7886, 0.8078, 0.8119, 0.8237, 0.8257, 0.8308, 0.8374, 0.8443, 0.8486]",0.8434,PrivacyFree,,,,128,42
