type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1008, 0.1012, 0.102, 0.0995, 0.0998, 0.0967, 0.0989, 0.1001, 0.0999, 0.0999, 0.0986, 0.0993, 0.0999, 0.0965, 0.0975]",0.098,0.0,0.001,640,1.0,128,42
personal,0.0,15,"[0.1039, 0.1173, 0.1627, 0.1623, 0.1546, 0.1555, 0.1762, 0.2112, 0.2301, 0.2378, 0.2436, 0.2471, 0.2369, 0.2368, 0.2549]",0.2429,0.0,0.001,640,1.0,128,42
pooled,0.0,15,"[0.103, 0.1063, 0.1123, 0.114, 0.1173, 0.1204, 0.1217, 0.1263, 0.1243, 0.1239, 0.1244, 0.1258, 0.1221, 0.1213, 0.1206]",0.1213,0.0,0.001,640,1.0,128,42
global,0.0,15,"[0.1001, 0.1001, 0.1098, 0.1001, 0.101, 0.2584, 0.2583, 0.1194, 0.1339, 0.2036, 0.211, 0.2446, 0.4084, 0.2609, 0.3448]",0.338,0.1,0.001,13.75,1.0,128,42
personal,0.0,15,"[0.1915, 0.2887, 0.3798, 0.4664, 0.5183, 0.566, 0.5701, 0.57, 0.6207, 0.6779, 0.6938, 0.711, 0.7144, 0.7149, 0.7272]",0.7188,0.1,0.001,13.75,1.0,128,42
pooled,0.0,15,"[0.099, 0.0983, 0.1058, 0.1164, 0.1174, 0.1169, 0.1177, 0.1176, 0.1279, 0.1356, 0.1388, 0.1424, 0.1431, 0.1432, 0.1456]",0.144,0.1,0.001,13.75,1.0,128,42
global,0.0,15,"[0.132, 0.1001, 0.1926, 0.2996, 0.1779, 0.1975, 0.2551, 0.3233, 0.4042, 0.398, 0.3959, 0.3411, 0.4454, 0.2545, 0.4437]",0.3812,0.5,0.001,3.67,1.0,128,42
personal,0.0,15,"[0.2337, 0.3925, 0.4965, 0.5954, 0.6725, 0.6997, 0.7076, 0.7713, 0.7999, 0.801, 0.8141, 0.8459, 0.8582, 0.8598, 0.869]",0.8623,0.5,0.001,3.67,1.0,128,42
pooled,0.0,15,"[0.1027, 0.1051, 0.1156, 0.1247, 0.1348, 0.1401, 0.1417, 0.1543, 0.1601, 0.1603, 0.1628, 0.169, 0.1716, 0.172, 0.1738]",0.1725,0.5,0.001,3.67,1.0,128,42
global,0.0,15,"[0.1751, 0.1038, 0.2663, 0.2812, 0.2211, 0.2248, 0.3966, 0.2785, 0.4253, 0.3647, 0.4104, 0.3461, 0.4237, 0.2736, 0.4354]",0.3776,1.0,0.001,2.13,1.0,128,42
personal,0.0,15,"[0.287, 0.4643, 0.5539, 0.6989, 0.7396, 0.7385, 0.7552, 0.8233, 0.8308, 0.8411, 0.8527, 0.8614, 0.8638, 0.8635, 0.8712]",0.8662,1.0,0.001,2.13,1.0,128,42
pooled,0.0,15,"[0.108, 0.1142, 0.1216, 0.1398, 0.1479, 0.148, 0.1513, 0.165, 0.1665, 0.1686, 0.1709, 0.1725, 0.173, 0.1729, 0.1745]",0.1735,1.0,0.001,2.13,1.0,128,42
global,0.0,15,"[0.1026, 0.1576, 0.2181, 0.2692, 0.188, 0.3321, 0.4196, 0.2395, 0.4013, 0.3549, 0.4204, 0.3428, 0.3582, 0.2665, 0.4077]",0.3441,4.0,0.001,0.94,1.0,128,42
personal,0.0,15,"[0.2879, 0.4821, 0.6221, 0.7636, 0.7604, 0.7872, 0.8074, 0.8175, 0.8215, 0.848, 0.865, 0.8911, 0.8932, 0.8996, 0.9101]",0.901,4.0,0.001,0.94,1.0,128,42
pooled,0.0,15,"[0.108, 0.1177, 0.1353, 0.153, 0.1525, 0.1581, 0.162, 0.164, 0.1648, 0.1699, 0.1732, 0.1785, 0.1789, 0.1801, 0.1821]",0.1804,4.0,0.001,0.94,1.0,128,42
global,0.0,15,"[0.1478, 0.1595, 0.2213, 0.2626, 0.1879, 0.3287, 0.415, 0.2403, 0.3931, 0.3421, 0.3959, 0.3456, 0.3596, 0.2695, 0.4206]",0.3499,8.0,0.001,0.72,1.0,128,42
personal,0.0,15,"[0.2861, 0.4856, 0.6481, 0.7555, 0.7592, 0.8068, 0.8078, 0.8145, 0.819, 0.8735, 0.884, 0.9016, 0.9037, 0.9098, 0.9147]",0.9094,8.0,0.001,0.72,1.0,128,42
