type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1002, 0.1001, 0.1002, 0.18, 0.1038, 0.1002, 0.1002, 0.123, 0.1196, 0.2541, 0.2426, 0.182, 0.3027, 0.2381, 0.2004]",0.2471,ThreeLevels-0-SCF,0.001,9.74,1.0,99,42
personal,0.0,15,"[0.4003, 0.6695, 0.7685, 0.919, 0.9323, 0.9365, 0.9432, 0.9432, 0.9432, 0.9521, 0.9536, 0.9535, 0.9539, 0.9535, 0.9574]",0.9549,ThreeLevels-0-SCF,0.001,9.74,1.0,99,42
pooled,0.0,15,"[0.1306, 0.1552, 0.1646, 0.1837, 0.1862, 0.1872, 0.1885, 0.1885, 0.1885, 0.1903, 0.1907, 0.1907, 0.1908, 0.1908, 0.1913]",0.191,ThreeLevels-0-SCF,0.001,9.74,1.0,99,42
global,0.0,15,"[0.1001, 0.1001, 0.1002, 0.1914, 0.2204, 0.136, 0.1562, 0.2883, 0.2936, 0.3908, 0.3311, 0.278, 0.4583, 0.2124, 0.4012]",0.3573,BoundedPareto-0-SCF,0.001,9.74,1.0,122,42
personal,0.0,15,"[0.405, 0.6619, 0.7675, 0.9209, 0.9379, 0.9409, 0.9452, 0.9472, 0.9475, 0.948, 0.9517, 0.9517, 0.9526, 0.953, 0.9535]",0.953,BoundedPareto-0-SCF,0.001,9.74,1.0,122,42
pooled,0.0,15,"[0.1313, 0.1535, 0.164, 0.1841, 0.1872, 0.1883, 0.189, 0.1894, 0.1894, 0.1896, 0.1902, 0.1903, 0.1905, 0.1907, 0.1909]",0.1907,BoundedPareto-0-SCF,0.001,9.74,1.0,122,42
global,0.0,15,"[0.1002, 0.1001, 0.1002, 0.1855, 0.1056, 0.1002, 0.1025, 0.1459, 0.1449, 0.2745, 0.2189, 0.1878, 0.3449, 0.2337, 0.2325]",0.2704,BoundedMixGauss-0-SCF,0.001,9.74,1.0,99,42
personal,0.0,15,"[0.3926, 0.651, 0.7522, 0.9095, 0.9413, 0.9457, 0.9478, 0.9485, 0.9461, 0.9477, 0.9509, 0.9507, 0.9537, 0.9487, 0.9561]",0.9528,BoundedMixGauss-0-SCF,0.001,9.74,1.0,99,42
pooled,0.0,15,"[0.1293, 0.1517, 0.1615, 0.1822, 0.1878, 0.1889, 0.1894, 0.1897, 0.1892, 0.1895, 0.1901, 0.19, 0.1907, 0.1899, 0.1912]",0.1906,BoundedMixGauss-0-SCF,0.001,9.74,1.0,99,42
global,0.0,15,"[0.1002, 0.1024, 0.1002, 0.1005, 0.1002, 0.1001, 0.1059, 0.1002, 0.1717, 0.1146, 0.1811, 0.1737, 0.1785, 0.2928, 0.2728]",0.248,ThreeLevels-0-SCF,0.001,9.74,1.0,99,43
