type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1003, 0.1001, 0.118, 0.1, 0.1001, 0.1827, 0.2251, 0.1475, 0.1915, 0.2748, 0.2179, 0.2415, 0.4171, 0.2514, 0.416]",0.3615,0.1,0.001,13.75,1.0,128,42
personal,0.0,15,"[0.4003, 0.6695, 0.7685, 0.919, 0.9323, 0.9365, 0.9432, 0.9432, 0.9432, 0.9521, 0.9536, 0.9535, 0.9539, 0.9535, 0.9574]",0.9549,0.1,0.001,13.75,1.0,128,42
pooled,0.0,15,"[0.1306, 0.1552, 0.1646, 0.1837, 0.1862, 0.1872, 0.1885, 0.1885, 0.1885, 0.1903, 0.1907, 0.1907, 0.1908, 0.1908, 0.1913]",0.191,0.1,0.001,13.75,1.0,128,42
global,0.001,15,"[0.1003, 0.1001, 0.118, 0.1, 0.1001, 0.1827, 0.2251, 0.1475, 0.1915, 0.2748, 0.2179, 0.2415, 0.4171, 0.2514, 0.416]",0.3615,0.1,0.001,13.75,1.0,128,42
personal,0.001,15,"[0.4002, 0.6681, 0.7683, 0.9188, 0.9327, 0.9361, 0.9426, 0.9445, 0.9445, 0.9526, 0.9535, 0.9536, 0.9542, 0.9539, 0.9571]",0.9551,0.1,0.001,13.75,1.0,128,42
pooled,0.001,15,"[0.1306, 0.155, 0.1645, 0.1837, 0.1863, 0.1872, 0.1884, 0.1887, 0.1887, 0.1905, 0.1907, 0.1907, 0.1908, 0.1909, 0.1914]",0.191,0.1,0.001,13.75,1.0,128,42
global,0.01,15,"[0.1003, 0.1001, 0.118, 0.1, 0.1001, 0.1827, 0.2251, 0.1475, 0.1915, 0.2748, 0.2179, 0.2415, 0.4171, 0.2514, 0.416]",0.3615,0.1,0.001,13.75,1.0,128,42
personal,0.01,15,"[0.4003, 0.6686, 0.7671, 0.9183, 0.9333, 0.9366, 0.9431, 0.9439, 0.9438, 0.9504, 0.9539, 0.9538, 0.9539, 0.9536, 0.9566]",0.9547,0.1,0.001,13.75,1.0,128,42
pooled,0.01,15,"[0.1306, 0.155, 0.1643, 0.1836, 0.1863, 0.1872, 0.1884, 0.1885, 0.1885, 0.1899, 0.1907, 0.1907, 0.1907, 0.1908, 0.1913]",0.1909,0.1,0.001,13.75,1.0,128,42
global,0.1,15,"[0.1003, 0.1001, 0.118, 0.1, 0.1001, 0.1827, 0.2251, 0.1475, 0.1915, 0.2748, 0.2179, 0.2415, 0.4171, 0.2514, 0.416]",0.3615,0.1,0.001,13.75,1.0,128,42
personal,0.1,15,"[0.3987, 0.6717, 0.7715, 0.9208, 0.9336, 0.9401, 0.9426, 0.9418, 0.9416, 0.9502, 0.9524, 0.9519, 0.9527, 0.9525, 0.9532]",0.9528,0.1,0.001,13.75,1.0,128,42
pooled,0.1,15,"[0.1303, 0.1555, 0.165, 0.1839, 0.1863, 0.1877, 0.1883, 0.1882, 0.1882, 0.19, 0.1904, 0.1903, 0.1905, 0.1905, 0.1904]",0.1905,0.1,0.001,13.75,1.0,128,42
global,1.0,15,"[0.1003, 0.1001, 0.118, 0.1, 0.1001, 0.1827, 0.2251, 0.1475, 0.1915, 0.2748, 0.2179, 0.2415, 0.4171, 0.2514, 0.416]",0.3615,0.1,0.001,13.75,1.0,128,42
personal,1.0,15,"[0.392, 0.6684, 0.7675, 0.9217, 0.9313, 0.9346, 0.9347, 0.9377, 0.9344, 0.9382, 0.9401, 0.9361, 0.9389, 0.9358, 0.9423]",0.939,0.1,0.001,13.75,1.0,128,42
pooled,1.0,15,"[0.1293, 0.1552, 0.1644, 0.1845, 0.1859, 0.1864, 0.1867, 0.1874, 0.1867, 0.1873, 0.1879, 0.1872, 0.1877, 0.1869, 0.1882]",0.1876,0.1,0.001,13.75,1.0,128,42
global,10.0,15,"[0.1003, 0.1001, 0.118, 0.1, 0.1001, 0.1827, 0.2251, 0.1475, 0.1915, 0.2748, 0.2179, 0.2415, 0.4171, 0.2514, 0.416]",0.3615,0.1,0.001,13.75,1.0,128,42
personal,10.0,15,"[0.2033, 0.4201, 0.5645, 0.7183, 0.729, 0.797, 0.818, 0.8504, 0.8562, 0.8925, 0.8937, 0.8993, 0.9034, 0.9186, 0.9211]",0.9144,0.1,0.001,13.75,1.0,128,42
pooled,10.0,15,"[0.101, 0.1155, 0.134, 0.1543, 0.1462, 0.1597, 0.1638, 0.1702, 0.1714, 0.1783, 0.1786, 0.1796, 0.1806, 0.1835, 0.184]",0.1827,0.1,0.001,13.75,1.0,128,42
