type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.0982, 0.1051, 0.2043, 0.2777, 0.3375, 0.4589, 0.3381, 0.5016, 0.4771, 0.4856, 0.4679, 0.5282, 0.4968, 0.521, 0.5274]",0.5151,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.0,15,"[0.275, 0.4531, 0.5549, 0.6928, 0.7625, 0.7802, 0.7824, 0.7875, 0.8045, 0.8164, 0.8273, 0.8347, 0.8387, 0.8405, 0.8472]",0.8421,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.0,15,"[0.1674, 0.2455, 0.2976, 0.347, 0.3815, 0.3904, 0.3926, 0.3965, 0.4041, 0.4103, 0.4156, 0.4192, 0.422, 0.4222, 0.4262]",0.4235,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.0,15,"[0.0982, 0.0982, 0.1811, 0.2644, 0.3743, 0.4296, 0.2329, 0.4236, 0.4292, 0.451, 0.45, 0.5041, 0.4752, 0.4646, 0.4613]",0.467,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.0,15,"[0.2569, 0.4307, 0.5482, 0.6819, 0.7326, 0.7627, 0.7673, 0.784, 0.786, 0.8175, 0.8216, 0.8292, 0.8364, 0.8393, 0.8497]",0.8418,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.0,15,"[0.1581, 0.2352, 0.2948, 0.3422, 0.3669, 0.3818, 0.385, 0.3941, 0.3955, 0.4113, 0.4137, 0.418, 0.4203, 0.4218, 0.4271]",0.4231,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.0,15,"[0.0982, 0.0982, 0.2078, 0.278, 0.3449, 0.4573, 0.3183, 0.4659, 0.4908, 0.5189, 0.462, 0.5119, 0.5108, 0.5047, 0.5134]",0.5096,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.0,15,"[0.2724, 0.4352, 0.536, 0.6611, 0.7384, 0.7612, 0.7693, 0.7815, 0.7875, 0.8156, 0.8314, 0.8354, 0.8407, 0.8418, 0.8446]",0.8424,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.0,15,"[0.1662, 0.2372, 0.2878, 0.3309, 0.3696, 0.38, 0.3848, 0.3919, 0.3946, 0.4093, 0.4171, 0.4195, 0.4226, 0.4232, 0.4254]",0.4237,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.0,30,"[0.0982, 0.1051, 0.2043, 0.2777, 0.3375, 0.4589, 0.3381, 0.5016, 0.4771, 0.4856, 0.4679, 0.5282, 0.4968, 0.521, 0.5274]",0.5151,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.0,30,"[0.355, 0.5633, 0.6323, 0.8001, 0.8222, 0.8285, 0.8318, 0.8406, 0.8464, 0.8592, 0.8648, 0.8611, 0.8713, 0.8726, 0.8766]",0.8735,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.0,30,"[0.2087, 0.3013, 0.3378, 0.4004, 0.4125, 0.4159, 0.4179, 0.4222, 0.4253, 0.4325, 0.4348, 0.4325, 0.4372, 0.4383, 0.4404]",0.4386,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.0,30,"[0.0982, 0.0982, 0.1811, 0.2644, 0.3743, 0.4296, 0.2329, 0.4236, 0.4292, 0.451, 0.45, 0.5041, 0.4752, 0.4646, 0.4613]",0.467,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.0,30,"[0.3595, 0.5625, 0.634, 0.7936, 0.8148, 0.8225, 0.83, 0.8387, 0.8389, 0.8546, 0.8554, 0.86, 0.8674, 0.864, 0.8693]",0.8669,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.0,30,"[0.2103, 0.301, 0.337, 0.3979, 0.4102, 0.4133, 0.4169, 0.4211, 0.4219, 0.4298, 0.4305, 0.4332, 0.4367, 0.4341, 0.4371]",0.436,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
