type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.2119, 0.4106, 0.3897, 0.5195, 0.5251, 0.6638, 0.4635, 0.5986, 0.5825, 0.7179, 0.6094, 0.7138, 0.6344, 0.6178, 0.698]",0.6501,PrivacyFree,,,,128,42
personal,0.0,15,"[0.3296, 0.5059, 0.6056, 0.7732, 0.7993, 0.8099, 0.8183, 0.8337, 0.845, 0.8663, 0.8688, 0.8746, 0.8713, 0.8768, 0.8845]",0.8775,PrivacyFree,,,,128,42
pooled,0.0,15,"[0.1948, 0.2733, 0.3226, 0.3874, 0.4007, 0.4051, 0.4106, 0.4178, 0.4233, 0.4342, 0.4357, 0.4392, 0.4379, 0.4401, 0.4442]",0.4407,PrivacyFree,,,,128,42
global,0.0,15,"[0.1936, 0.5191, 0.361, 0.6484, 0.4803, 0.4893, 0.5817, 0.4953, 0.3982, 0.4538, 0.6005, 0.6823, 0.5525, 0.6821, 0.643]",0.6259,PrivacyFree,,,,128,43
personal,0.0,15,"[0.4795, 0.6376, 0.7543, 0.7742, 0.805, 0.826, 0.8313, 0.8319, 0.8356, 0.84, 0.848, 0.8543, 0.8568, 0.8613, 0.8705]",0.8629,PrivacyFree,,,,128,43
pooled,0.0,15,"[0.2518, 0.3301, 0.3766, 0.3883, 0.4041, 0.4146, 0.4173, 0.4174, 0.4197, 0.4219, 0.4253, 0.4291, 0.4301, 0.4323, 0.4365]",0.433,PrivacyFree,,,,128,43
global,0.0,15,"[0.2732, 0.2513, 0.3372, 0.4525, 0.4045, 0.3824, 0.6745, 0.5029, 0.4992, 0.4343, 0.7149, 0.6635, 0.6505, 0.6657, 0.5307]",0.6156,PrivacyFree,,,,128,44
personal,0.0,15,"[0.4404, 0.6008, 0.6581, 0.7283, 0.7382, 0.8015, 0.8094, 0.8326, 0.8352, 0.8363, 0.8504, 0.8518, 0.8691, 0.8773, 0.8772]",0.8745,PrivacyFree,,,,128,44
pooled,0.0,15,"[0.2426, 0.3024, 0.3328, 0.3665, 0.3705, 0.4025, 0.4067, 0.4179, 0.4192, 0.4199, 0.4264, 0.427, 0.4351, 0.4389, 0.4398]",0.4379,PrivacyFree,,,,128,44
global,0.0,15,"[0.4284, 0.0984, 0.1005, 0.0998, 0.0982, 0.0984, 0.0984, 0.1025, 0.1005, 0.0982, 0.0998, 0.1005, 0.0998, 0.0984, 0.1006]",0.0996,PrivacyFree,,,,128,45
personal,0.0,15,"[0.1087, 0.246, 0.6091, 0.6447, 0.7796, 0.809, 0.8069, 0.8273, 0.8418, 0.8532, 0.8583, 0.8647, 0.8688, 0.873, 0.8778]",0.8732,PrivacyFree,,,,128,45
pooled,0.0,15,"[0.074, 0.1373, 0.3091, 0.3258, 0.3905, 0.4062, 0.4059, 0.4159, 0.423, 0.4279, 0.4305, 0.4336, 0.4375, 0.439, 0.4411]",0.4392,PrivacyFree,,,,128,45
global,0.0,15,"[0.2993, 0.3192, 0.3604, 0.2876, 0.4893, 0.5444, 0.6367, 0.4059, 0.6488, 0.6257, 0.4749, 0.6448, 0.7375, 0.5686, 0.7287]",0.6783,PrivacyFree,,,,128,46
personal,0.0,15,"[0.2641, 0.5939, 0.6648, 0.7416, 0.8125, 0.8249, 0.8321, 0.8441, 0.8481, 0.8597, 0.8629, 0.8723, 0.8712, 0.8776, 0.8791]",0.876,PrivacyFree,,,,128,46
pooled,0.0,15,"[0.1753, 0.3014, 0.3347, 0.3711, 0.408, 0.4142, 0.4177, 0.4239, 0.4268, 0.4317, 0.4326, 0.4376, 0.4376, 0.4414, 0.4408]",0.4399,PrivacyFree,,,,128,46
global,0.0,15,"[0.2736, 0.4484, 0.3936, 0.4603, 0.5177, 0.6639, 0.4639, 0.5916, 0.6429, 0.7197, 0.6774, 0.6525, 0.5675, 0.6263, 0.7658]",0.6532,PrivacyFree,,,,128,42
personal,0.0,15,"[0.2951, 0.4472, 0.5508, 0.695, 0.742, 0.759, 0.7655, 0.7822, 0.7975, 0.8253, 0.8305, 0.8384, 0.8384, 0.8389, 0.8442]",0.8405,PrivacyFree,,,,128,42
pooled,0.0,15,"[0.178, 0.2441, 0.2963, 0.3485, 0.3713, 0.3807, 0.3833, 0.392, 0.3996, 0.4149, 0.4173, 0.421, 0.421, 0.4221, 0.4241]",0.4224,PrivacyFree,,,,128,42
global,0.0,15,"[0.1915, 0.3205, 0.4439, 0.5452, 0.4531, 0.532, 0.5968, 0.5122, 0.5438, 0.5355, 0.6765, 0.658, 0.6035, 0.7625, 0.6589]",0.675,PrivacyFree,,,,128,43
personal,0.0,15,"[0.3638, 0.5041, 0.6069, 0.69, 0.7257, 0.7507, 0.7716, 0.7765, 0.7782, 0.7991, 0.8003, 0.8108, 0.8118, 0.8272, 0.8329]",0.824,PrivacyFree,,,,128,43
