type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1014, 0.1011, 0.1013, 0.0998, 0.1708, 0.1032, 0.1966, 0.2098, 0.2342, 0.1762, 0.1303, 0.1925, 0.2582, 0.17, 0.2799]",0.236,ThreeLevels-0-SCF,0.001,9.74,1.0,197,42
personal,0.0,15,"[0.437, 0.6333, 0.7615, 0.8556, 0.8756, 0.8925, 0.8921, 0.9063, 0.9082, 0.9068, 0.9081, 0.9116, 0.9137, 0.9159, 0.9178]",0.9158,ThreeLevels-0-SCF,0.001,9.74,1.0,197,42
pooled,0.0,15,"[0.1182, 0.128, 0.186, 0.1983, 0.2277, 0.2388, 0.239, 0.2624, 0.2745, 0.2719, 0.2724, 0.2756, 0.2856, 0.2877, 0.2916]",0.2883,ThreeLevels-0-SCF,0.001,9.74,1.0,197,42
global,0.0,15,"[0.1014, 0.1025, 0.0998, 0.1043, 0.1014, 0.1014, 0.1458, 0.1259, 0.1014, 0.1062, 0.2094, 0.1086, 0.158, 0.1823, 0.2038]",0.1814,ThreeLevels-0-SCF,0.001,9.74,1.0,197,43
personal,0.0,15,"[0.5105, 0.5787, 0.6877, 0.6991, 0.8345, 0.8695, 0.888, 0.8892, 0.8925, 0.8963, 0.8978, 0.9017, 0.9029, 0.9084, 0.9142]",0.9085,ThreeLevels-0-SCF,0.001,9.74,1.0,197,43
pooled,0.0,15,"[0.0986, 0.1223, 0.153, 0.1673, 0.2051, 0.2199, 0.2288, 0.2282, 0.2341, 0.2469, 0.2517, 0.2516, 0.2551, 0.2696, 0.2854]",0.27,ThreeLevels-0-SCF,0.001,9.74,1.0,197,43
global,0.0,15,"[0.1014, 0.1014, 0.1458, 0.1014, 0.1012, 0.1501, 0.1438, 0.1971, 0.1929, 0.2377, 0.2025, 0.2297, 0.2683, 0.2751, 0.2572]",0.2669,ThreeLevels-0-SCF,0.001,9.74,1.0,197,44
personal,0.0,15,"[0.5766, 0.7071, 0.7356, 0.7852, 0.7873, 0.8883, 0.8905, 0.8994, 0.903, 0.907, 0.9086, 0.9111, 0.9113, 0.9158, 0.9192]",0.9154,ThreeLevels-0-SCF,0.001,9.74,1.0,197,44
pooled,0.0,15,"[0.1578, 0.1774, 0.193, 0.2171, 0.2186, 0.2225, 0.227, 0.2394, 0.2449, 0.2525, 0.2546, 0.2569, 0.2639, 0.273, 0.2748]",0.2706,ThreeLevels-0-SCF,0.001,9.74,1.0,197,44
global,0.0,15,"[0.0998, 0.0998, 0.1057, 0.1023, 0.1013, 0.1014, 0.1624, 0.1014, 0.0998, 0.1773, 0.2049, 0.1663, 0.1214, 0.2003, 0.2163]",0.1793,ThreeLevels-0-SCF,0.001,9.74,1.0,197,45
personal,0.0,15,"[0.1371, 0.2984, 0.6111, 0.6491, 0.8262, 0.8586, 0.866, 0.8786, 0.8804, 0.8912, 0.903, 0.9039, 0.9074, 0.9099, 0.9141]",0.9105,ThreeLevels-0-SCF,0.001,9.74,1.0,197,45
pooled,0.0,15,"[0.0465, 0.0584, 0.1358, 0.1558, 0.1843, 0.2043, 0.2089, 0.2253, 0.2326, 0.2397, 0.2614, 0.2628, 0.2629, 0.2632, 0.2728]",0.2663,ThreeLevels-0-SCF,0.001,9.74,1.0,197,45
global,0.0,15,"[0.1014, 0.1014, 0.1047, 0.0998, 0.1011, 0.1695, 0.1245, 0.1451, 0.1616, 0.1639, 0.2338, 0.2933, 0.1664, 0.2504, 0.2482]",0.2217,ThreeLevels-0-SCF,0.001,9.74,1.0,197,46
personal,0.0,15,"[0.4508, 0.6374, 0.7214, 0.8364, 0.8637, 0.8748, 0.8826, 0.8981, 0.9058, 0.9046, 0.9073, 0.9124, 0.9162, 0.9181, 0.9184]",0.9176,ThreeLevels-0-SCF,0.001,9.74,1.0,197,46
