type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1016, 0.1007, 0.1007, 0.1007, 0.1226, 0.2664, 0.1896, 0.1969, 0.2089, 0.3416, 0.1077, 0.31, 0.3708, 0.1048, 0.3623]",0.2793,0.1,0.001,60.0,1.0,128,42
personal,0.0,15,"[0.437, 0.6333, 0.7615, 0.8556, 0.8756, 0.8925, 0.8921, 0.9063, 0.9082, 0.9068, 0.9081, 0.9116, 0.9137, 0.9159, 0.9178]",0.9158,0.1,0.001,60.0,1.0,128,42
pooled,0.0,15,"[0.1182, 0.128, 0.186, 0.1983, 0.2277, 0.2388, 0.239, 0.2624, 0.2745, 0.2719, 0.2724, 0.2756, 0.2856, 0.2877, 0.2916]",0.2883,0.1,0.001,60.0,1.0,128,42
global,0.001,15,"[0.1016, 0.1007, 0.1007, 0.1007, 0.1226, 0.2664, 0.1896, 0.1969, 0.2089, 0.3416, 0.1077, 0.31, 0.3708, 0.1048, 0.3623]",0.2793,0.1,0.001,60.0,1.0,128,42
personal,0.001,15,"[0.437, 0.6334, 0.7623, 0.8557, 0.8758, 0.8927, 0.8921, 0.9067, 0.9076, 0.9057, 0.9071, 0.9113, 0.9143, 0.916, 0.9184]",0.9162,0.1,0.001,60.0,1.0,128,42
pooled,0.001,15,"[0.1182, 0.128, 0.1864, 0.1985, 0.228, 0.2388, 0.2389, 0.262, 0.2753, 0.2727, 0.2734, 0.2765, 0.2864, 0.2882, 0.2943]",0.2896,0.1,0.001,60.0,1.0,128,42
global,0.01,15,"[0.1016, 0.1007, 0.1007, 0.1007, 0.1226, 0.2664, 0.1896, 0.1969, 0.2089, 0.3416, 0.1077, 0.31, 0.3708, 0.1048, 0.3623]",0.2793,0.1,0.001,60.0,1.0,128,42
personal,0.01,15,"[0.4369, 0.6488, 0.7638, 0.8552, 0.876, 0.8919, 0.8917, 0.9077, 0.9078, 0.9079, 0.9087, 0.9122, 0.9136, 0.9153, 0.918]",0.9156,0.1,0.001,60.0,1.0,128,42
pooled,0.01,15,"[0.1182, 0.1398, 0.1864, 0.1981, 0.2317, 0.2414, 0.2413, 0.2627, 0.2744, 0.274, 0.2744, 0.2771, 0.2798, 0.284, 0.2883]",0.284,0.1,0.001,60.0,1.0,128,42
global,0.1,15,"[0.1016, 0.1007, 0.1007, 0.1007, 0.1226, 0.2664, 0.1896, 0.1969, 0.2089, 0.3416, 0.1077, 0.31, 0.3708, 0.1048, 0.3623]",0.2793,0.1,0.001,60.0,1.0,128,42
personal,0.1,15,"[0.4369, 0.6438, 0.7612, 0.8553, 0.8778, 0.8924, 0.8938, 0.9036, 0.9069, 0.9054, 0.9058, 0.9079, 0.9074, 0.9113, 0.908]",0.9089,0.1,0.001,60.0,1.0,128,42
pooled,0.1,15,"[0.1182, 0.138, 0.185, 0.2002, 0.2341, 0.2419, 0.2422, 0.2599, 0.2685, 0.2738, 0.277, 0.2814, 0.2808, 0.2841, 0.2871]",0.284,0.1,0.001,60.0,1.0,128,42
global,1.0,15,"[0.1016, 0.1007, 0.1007, 0.1007, 0.1226, 0.2664, 0.1896, 0.1969, 0.2089, 0.3416, 0.1077, 0.31, 0.3708, 0.1048, 0.3623]",0.2793,0.1,0.001,60.0,1.0,128,42
personal,1.0,15,"[0.4859, 0.6847, 0.7517, 0.8428, 0.8599, 0.8689, 0.8589, 0.8718, 0.8834, 0.8812, 0.8813, 0.8792, 0.8778, 0.8807, 0.8823]",0.8803,0.1,0.001,60.0,1.0,128,42
