type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1514, 0.2757, 0.169, 0.3052, 0.314, 0.4369, 0.4258, 0.54, 0.5405, 0.5332, 0.5185, 0.5144, 0.6163, 0.6077, 0.5445]",0.5895,ThreeLevels-0-SCF,0.001,9.74,1.0,858,42
personal,0.0,15,"[0.282, 0.4263, 0.4893, 0.6164, 0.6756, 0.7042, 0.7134, 0.7615, 0.7767, 0.7833, 0.7882, 0.8013, 0.8103, 0.8128, 0.8198]",0.8143,ThreeLevels-0-SCF,0.001,9.74,1.0,858,42
pooled,0.0,15,"[0.1284, 0.1745, 0.2287, 0.306, 0.361, 0.3915, 0.4235, 0.4667, 0.4998, 0.5111, 0.5221, 0.5384, 0.5545, 0.5602, 0.5774]",0.564,ThreeLevels-0-SCF,0.001,9.74,1.0,858,42
global,0.0,15,"[0.1149, 0.2406, 0.1613, 0.2392, 0.3744, 0.4296, 0.3233, 0.4974, 0.51, 0.5089, 0.4363, 0.5081, 0.6164, 0.5377, 0.5166]",0.5569,BoundedPareto-0-SCF,0.001,9.74,1.0,573,42
personal,0.0,15,"[0.2869, 0.4314, 0.4974, 0.6321, 0.6958, 0.7322, 0.7405, 0.7615, 0.7789, 0.7933, 0.7982, 0.8124, 0.8159, 0.8202, 0.8208]",0.819,BoundedPareto-0-SCF,0.001,9.74,1.0,573,42
pooled,0.0,15,"[0.1304, 0.1776, 0.244, 0.3154, 0.3747, 0.4109, 0.4297, 0.4605, 0.496, 0.5255, 0.5325, 0.5518, 0.568, 0.5713, 0.5845]",0.5746,BoundedPareto-0-SCF,0.001,9.74,1.0,573,42
global,0.0,15,"[0.122, 0.2718, 0.1678, 0.3305, 0.3411, 0.4382, 0.4293, 0.5544, 0.5792, 0.544, 0.4824, 0.5124, 0.6166, 0.5872, 0.5531]",0.5856,BoundedMixGauss-0-SCF,0.001,9.74,1.0,849,42
personal,0.0,15,"[0.2625, 0.4135, 0.4753, 0.6139, 0.6892, 0.7244, 0.7372, 0.7687, 0.7761, 0.7918, 0.7968, 0.8014, 0.8105, 0.8156, 0.8186]",0.8149,BoundedMixGauss-0-SCF,0.001,9.74,1.0,849,42
pooled,0.0,15,"[0.1194, 0.1698, 0.23, 0.3064, 0.3693, 0.3996, 0.4303, 0.4715, 0.4833, 0.5179, 0.5255, 0.5505, 0.5574, 0.5641, 0.581]",0.5675,BoundedMixGauss-0-SCF,0.001,9.74,1.0,849,42
global,0.0,30,"[0.1514, 0.2757, 0.1691, 0.3051, 0.314, 0.4368, 0.4257, 0.5394, 0.5405, 0.5332, 0.5217, 0.5142, 0.6165, 0.6074, 0.5451]",0.5897,ThreeLevels-0-SCF,0.001,9.74,1.0,858,42
personal,0.0,30,"[0.3229, 0.5271, 0.6014, 0.7341, 0.7908, 0.7999, 0.8047, 0.8139, 0.8216, 0.8353, 0.8351, 0.8368, 0.8418, 0.8456, 0.8504]",0.8459,ThreeLevels-0-SCF,0.001,9.74,1.0,858,42
