type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.3792, 0.5814, 0.7301, 0.747, 0.7324, 0.7269, 0.7378, 0.759, 0.789, 0.7704, 0.7898, 0.7943, 0.8032, 0.8029, 0.8331]",0.8131,PrivacyFree,,,,128,42
personal,0.0,15,"[0.2889, 0.4273, 0.4918, 0.6288, 0.7012, 0.7235, 0.7345, 0.7622, 0.7765, 0.7917, 0.7969, 0.8032, 0.812, 0.8169, 0.82]",0.8163,PrivacyFree,,,,128,42
pooled,0.0,15,"[0.1319, 0.1718, 0.2315, 0.313, 0.3773, 0.403, 0.4295, 0.4601, 0.4901, 0.5214, 0.5388, 0.5445, 0.5652, 0.5703, 0.5783]",0.5713,PrivacyFree,,,,128,42
global,0.0,15,"[0.2944, 0.5777, 0.679, 0.7089, 0.7454, 0.7398, 0.7828, 0.7394, 0.7402, 0.7659, 0.7759, 0.7622, 0.7825, 0.8226, 0.7766]",0.7939,PrivacyFree,,,,128,43
personal,0.0,15,"[0.3188, 0.4241, 0.5435, 0.628, 0.6802, 0.722, 0.7371, 0.7435, 0.7509, 0.7599, 0.7669, 0.7731, 0.774, 0.7865, 0.7922]",0.7842,PrivacyFree,,,,128,43
pooled,0.0,15,"[0.1342, 0.1586, 0.2182, 0.2984, 0.3415, 0.375, 0.4054, 0.4141, 0.4182, 0.4296, 0.4355, 0.4532, 0.4504, 0.4782, 0.4905]",0.473,PrivacyFree,,,,128,43
global,0.0,15,"[0.4973, 0.6195, 0.7312, 0.7314, 0.7342, 0.788, 0.7763, 0.798, 0.7912, 0.711, 0.7968, 0.7967, 0.7817, 0.8229, 0.8399]",0.8148,PrivacyFree,,,,128,44
personal,0.0,15,"[0.3673, 0.4428, 0.5138, 0.6624, 0.6755, 0.7182, 0.7415, 0.7569, 0.7611, 0.7634, 0.7694, 0.7803, 0.7937, 0.8035, 0.8048]",0.8007,PrivacyFree,,,,128,44
pooled,0.0,15,"[0.174, 0.1927, 0.2555, 0.3431, 0.3652, 0.3935, 0.4121, 0.4454, 0.4581, 0.4692, 0.4841, 0.4946, 0.5034, 0.5212, 0.5241]",0.5162,PrivacyFree,,,,128,44
global,0.0,15,"[0.2842, 0.4453, 0.6487, 0.6668, 0.7411, 0.7696, 0.7609, 0.7412, 0.6952, 0.787, 0.7857, 0.7893, 0.8011, 0.8113, 0.813]",0.8085,PrivacyFree,,,,128,45
personal,0.0,15,"[0.0741, 0.1775, 0.4113, 0.4417, 0.5887, 0.6879, 0.7101, 0.7389, 0.7464, 0.7667, 0.7877, 0.799, 0.7985, 0.8036, 0.803]",0.8017,PrivacyFree,,,,128,45
pooled,0.0,15,"[0.0481, 0.0681, 0.1672, 0.212, 0.2662, 0.3349, 0.3636, 0.4118, 0.4312, 0.463, 0.4908, 0.5042, 0.5182, 0.5364, 0.533]",0.5292,PrivacyFree,,,,128,45
global,0.0,15,"[0.2534, 0.6049, 0.6756, 0.7213, 0.7142, 0.7628, 0.7475, 0.7684, 0.7837, 0.8026, 0.8123, 0.805, 0.7861, 0.8018, 0.7694]",0.7858,PrivacyFree,,,,128,46
personal,0.0,15,"[0.1936, 0.3796, 0.4882, 0.578, 0.6836, 0.7094, 0.7294, 0.7643, 0.7773, 0.7908, 0.7989, 0.8057, 0.8116, 0.8135, 0.8149]",0.8133,PrivacyFree,,,,128,46
pooled,0.0,15,"[0.1309, 0.1708, 0.2156, 0.2596, 0.3608, 0.4017, 0.4473, 0.4793, 0.4963, 0.516, 0.5358, 0.5425, 0.5454, 0.5529, 0.5655]",0.5546,PrivacyFree,,,,128,46
global,0.0,30,"[0.3792, 0.5814, 0.7314, 0.7459, 0.735, 0.7276, 0.7422, 0.7608, 0.7893, 0.7712, 0.7889, 0.7951, 0.8044, 0.8036, 0.8323]",0.8134,PrivacyFree,,,,128,42
personal,0.0,30,"[0.3276, 0.5365, 0.6085, 0.7467, 0.7885, 0.8016, 0.8043, 0.8185, 0.8215, 0.8365, 0.8365, 0.8399, 0.8416, 0.8474, 0.8456]",0.8449,PrivacyFree,,,,128,42
pooled,0.0,30,"[0.1723, 0.2691, 0.37, 0.4639, 0.5154, 0.538, 0.5545, 0.567, 0.5802, 0.6043, 0.6018, 0.6149, 0.6202, 0.6252, 0.6284]",0.6246,PrivacyFree,,,,128,42
global,0.0,30,"[0.2944, 0.5814, 0.6671, 0.7113, 0.7424, 0.7332, 0.7755, 0.7389, 0.7373, 0.7641, 0.7688, 0.7611, 0.7772, 0.8253, 0.7788]",0.7938,PrivacyFree,,,,128,43
