type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,1.0,15,"[0.626, 0.6496, 0.6732, 0.7008, 0.7008, 0.689, 0.7008, 0.6969, 0.7087, 0.7244, 0.7205, 0.7244, 0.7205, 0.7165, 0.7165]",0.7178,PrivacyFree,,,,16,42
personal,1.0,15,"[0.6614, 0.689, 0.7165, 0.7205, 0.7283, 0.7283, 0.7283, 0.7283, 0.7323, 0.7402, 0.7402, 0.7402, 0.748, 0.7441, 0.7559]",0.7493,PrivacyFree,,,,16,42
pooled,1.0,15,"[0.624, 0.6535, 0.6654, 0.6742, 0.685, 0.6929, 0.6998, 0.7037, 0.7057, 0.7136, 0.7175, 0.7185, 0.7185, 0.7165, 0.7205]",0.7185,PrivacyFree,,,,16,42
global,1.0,15,"[0.6339, 0.6535, 0.689, 0.7087, 0.7205, 0.7244, 0.7244, 0.7323, 0.7441, 0.748, 0.752, 0.7559, 0.7559, 0.752, 0.7323]",0.7467,PrivacyFree,,,,16,43
personal,1.0,15,"[0.6457, 0.689, 0.7126, 0.7323, 0.7559, 0.7598, 0.7677, 0.7598, 0.7677, 0.7677, 0.7677, 0.7559, 0.752, 0.7559, 0.752]",0.7533,PrivacyFree,,,,16,43
pooled,1.0,15,"[0.6043, 0.6388, 0.6801, 0.7077, 0.7165, 0.7185, 0.7234, 0.7274, 0.7323, 0.7352, 0.7352, 0.7362, 0.7352, 0.7362, 0.7362]",0.7359,PrivacyFree,,,,16,43
global,1.0,15,"[0.4921, 0.5433, 0.6102, 0.6654, 0.6772, 0.7047, 0.7087, 0.7205, 0.7323, 0.7402, 0.7362, 0.7362, 0.7441, 0.7441, 0.748]",0.7454,PrivacyFree,,,,16,44
personal,1.0,15,"[0.5433, 0.622, 0.6732, 0.7126, 0.7362, 0.7402, 0.748, 0.748, 0.752, 0.7441, 0.748, 0.7598, 0.7598, 0.7559, 0.7559]",0.7572,PrivacyFree,,,,16,44
pooled,1.0,15,"[0.4852, 0.5531, 0.6102, 0.6545, 0.6752, 0.6929, 0.7028, 0.7047, 0.7096, 0.7175, 0.7185, 0.7254, 0.7293, 0.7293, 0.7244]",0.7277,PrivacyFree,,,,16,44
global,1.0,15,"[0.4724, 0.5079, 0.563, 0.6417, 0.6772, 0.689, 0.7047, 0.7165, 0.7205, 0.7402, 0.7362, 0.7362, 0.7362, 0.7402, 0.7441]",0.7402,PrivacyFree,,,,16,45
personal,1.0,15,"[0.4882, 0.5787, 0.6614, 0.6929, 0.7165, 0.7323, 0.7323, 0.7283, 0.7323, 0.748, 0.748, 0.748, 0.748, 0.748, 0.752]",0.7493,PrivacyFree,,,,16,45
pooled,1.0,15,"[0.4695, 0.5276, 0.5935, 0.627, 0.6516, 0.6693, 0.6791, 0.6841, 0.7028, 0.7136, 0.7215, 0.7234, 0.7274, 0.7313, 0.7343]",0.731,PrivacyFree,,,,16,45
global,1.0,15,"[0.5591, 0.622, 0.6496, 0.6654, 0.6693, 0.685, 0.6969, 0.7165, 0.7244, 0.7283, 0.7283, 0.7283, 0.7283, 0.7362, 0.7323]",0.7323,PrivacyFree,,,,16,46
personal,1.0,15,"[0.5906, 0.6693, 0.6929, 0.7126, 0.7323, 0.7323, 0.7362, 0.7441, 0.7441, 0.7441, 0.7441, 0.7402, 0.752, 0.7559, 0.7559]",0.7546,PrivacyFree,,,,16,46
pooled,1.0,15,"[0.5541, 0.6004, 0.6388, 0.6624, 0.688, 0.7047, 0.7067, 0.7106, 0.7254, 0.7313, 0.7313, 0.7264, 0.7283, 0.7283, 0.7283]",0.7283,PrivacyFree,,,,16,46
