type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.5945, 0.6024, 0.622, 0.622, 0.6339, 0.6378, 0.6378, 0.6417, 0.6417, 0.6496, 0.6575, 0.6457, 0.6496, 0.6535, 0.6535]",0.6522,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
personal,0.0,15,"[0.6535, 0.6969, 0.6969, 0.7283, 0.7402, 0.752, 0.7638, 0.7598, 0.7598, 0.7598, 0.748, 0.752, 0.7598, 0.7598, 0.7598]",0.7598,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
pooled,0.0,15,"[0.6211, 0.6476, 0.6476, 0.6467, 0.6506, 0.6467, 0.6457, 0.6417, 0.6388, 0.6358, 0.6329, 0.6329, 0.6319, 0.6309, 0.6309]",0.6312,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
global,0.5,15,"[0.5945, 0.6024, 0.622, 0.622, 0.6339, 0.6378, 0.6378, 0.6417, 0.6417, 0.6496, 0.6575, 0.6457, 0.6496, 0.6535, 0.6535]",0.6522,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
personal,0.5,15,"[0.6496, 0.6929, 0.7165, 0.7205, 0.7244, 0.7283, 0.7244, 0.7323, 0.7362, 0.7362, 0.7402, 0.7362, 0.7402, 0.7402, 0.7441]",0.7415,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
pooled,0.5,15,"[0.622, 0.6486, 0.6585, 0.6604, 0.6614, 0.6604, 0.6604, 0.6575, 0.6565, 0.6594, 0.6594, 0.6575, 0.6585, 0.6604, 0.6614]",0.6601,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
global,0.5,15,"[0.5945, 0.6024, 0.622, 0.622, 0.6339, 0.6378, 0.6378, 0.6417, 0.6417, 0.6496, 0.6575, 0.6457, 0.6496, 0.6535, 0.6535]",0.6522,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
personal,0.5,15,"[0.6496, 0.6929, 0.7165, 0.7205, 0.7244, 0.7283, 0.7244, 0.7323, 0.7362, 0.7362, 0.7402, 0.7362, 0.7402, 0.7402, 0.7441]",0.7415,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
pooled,0.5,15,"[0.622, 0.6486, 0.6585, 0.6604, 0.6614, 0.6604, 0.6604, 0.6575, 0.6565, 0.6594, 0.6594, 0.6575, 0.6585, 0.6604, 0.6614]",0.6601,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
global,0.0,15,"[0.5945, 0.6024, 0.622, 0.622, 0.6339, 0.6378, 0.6378, 0.6417, 0.6417, 0.6496, 0.6575, 0.6457, 0.6496, 0.6535, 0.6535]",0.6522,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
personal,0.0,15,"[0.6535, 0.6969, 0.6969, 0.7283, 0.7402, 0.752, 0.7638, 0.7598, 0.7598, 0.7598, 0.748, 0.752, 0.7598, 0.7598, 0.7598]",0.7598,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
pooled,0.0,15,"[0.6211, 0.6476, 0.6476, 0.6467, 0.6506, 0.6467, 0.6457, 0.6417, 0.6388, 0.6358, 0.6329, 0.6329, 0.6319, 0.6309, 0.6309]",0.6312,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
global,0.0,15,"[0.5866, 0.6102, 0.6181, 0.626, 0.6339, 0.6496, 0.6614, 0.6693, 0.6732, 0.6772, 0.685, 0.6811, 0.6811, 0.6811, 0.689]",0.6837,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
personal,0.0,15,"[0.6496, 0.7047, 0.7205, 0.7402, 0.7559, 0.7598, 0.7598, 0.7559, 0.7598, 0.7598, 0.7598, 0.752, 0.7441, 0.748, 0.7559]",0.7493,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
pooled,0.0,15,"[0.6102, 0.6437, 0.6447, 0.6407, 0.6437, 0.6437, 0.6437, 0.6437, 0.6417, 0.6427, 0.6358, 0.6309, 0.627, 0.627, 0.627]",0.627,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
global,0.0,15,"[0.4173, 0.4173, 0.4291, 0.4409, 0.4488, 0.4606, 0.4921, 0.5079, 0.5276, 0.5236, 0.5472, 0.5669, 0.5787, 0.5945, 0.6024]",0.5919,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
personal,0.0,15,"[0.5591, 0.626, 0.6693, 0.7165, 0.7283, 0.7323, 0.7362, 0.748, 0.752, 0.7559, 0.748, 0.752, 0.7441, 0.7362, 0.7441]",0.7415,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
pooled,0.0,15,"[0.4902, 0.5591, 0.5906, 0.623, 0.6358, 0.6348, 0.6378, 0.6427, 0.6437, 0.6417, 0.6398, 0.6427, 0.6417, 0.6388, 0.6398]",0.6401,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
global,0.0,15,"[0.4331, 0.4409, 0.4606, 0.4606, 0.4685, 0.4685, 0.4803, 0.4882, 0.5039, 0.5118, 0.5197, 0.5354, 0.5591, 0.5748, 0.5827]",0.5722,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
personal,0.0,15,"[0.4803, 0.5748, 0.6732, 0.7047, 0.7205, 0.7362, 0.7402, 0.7402, 0.748, 0.748, 0.7559, 0.752, 0.7559, 0.752, 0.7441]",0.7507,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
pooled,0.0,15,"[0.4685, 0.5384, 0.5896, 0.6043, 0.6152, 0.6201, 0.627, 0.6309, 0.6368, 0.6319, 0.6358, 0.6289, 0.6319, 0.6299, 0.625]",0.6289,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
global,0.0,15,"[0.5276, 0.5354, 0.5551, 0.5591, 0.5748, 0.5866, 0.5984, 0.626, 0.6378, 0.6417, 0.6535, 0.6654, 0.6654, 0.6811, 0.6772]",0.6746,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
personal,0.0,15,"[0.5906, 0.6575, 0.685, 0.7047, 0.7244, 0.748, 0.7441, 0.7559, 0.752, 0.7598, 0.7756, 0.7756, 0.7717, 0.7638, 0.7638]",0.7664,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
pooled,0.0,15,"[0.5551, 0.5837, 0.5994, 0.6152, 0.627, 0.627, 0.6299, 0.6348, 0.6368, 0.6427, 0.6427, 0.6378, 0.6358, 0.6329, 0.6319]",0.6335,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
global,0.1,15,"[0.5945, 0.6024, 0.622, 0.622, 0.6339, 0.6378, 0.6378, 0.6417, 0.6417, 0.6496, 0.6575, 0.6457, 0.6496, 0.6535, 0.6535]",0.6522,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
personal,0.1,15,"[0.6496, 0.7008, 0.6969, 0.7323, 0.7323, 0.748, 0.7559, 0.7677, 0.7677, 0.7756, 0.7717, 0.7677, 0.7638, 0.7677, 0.7598]",0.7638,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
pooled,0.1,15,"[0.6201, 0.6467, 0.6506, 0.6545, 0.6545, 0.6506, 0.6476, 0.6486, 0.6447, 0.6457, 0.6437, 0.6388, 0.6388, 0.6398, 0.6378]",0.6388,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
global,0.1,15,"[0.5866, 0.6102, 0.6181, 0.626, 0.6339, 0.6496, 0.6614, 0.6693, 0.6732, 0.6772, 0.685, 0.6811, 0.6811, 0.6811, 0.689]",0.6837,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
personal,0.1,15,"[0.6496, 0.7008, 0.7165, 0.7441, 0.752, 0.7598, 0.7598, 0.7598, 0.7598, 0.7598, 0.7598, 0.7638, 0.7638, 0.7717, 0.7756]",0.7704,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
pooled,0.1,15,"[0.6083, 0.6437, 0.6486, 0.6486, 0.6476, 0.6437, 0.6437, 0.6417, 0.6427, 0.6447, 0.6378, 0.6358, 0.6339, 0.6329, 0.6339]",0.6336,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
global,0.1,15,"[0.4173, 0.4173, 0.4291, 0.4409, 0.4488, 0.4606, 0.4921, 0.5079, 0.5276, 0.5236, 0.5472, 0.5669, 0.5787, 0.5945, 0.6024]",0.5919,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
personal,0.1,15,"[0.5591, 0.626, 0.6654, 0.7126, 0.7244, 0.7402, 0.748, 0.752, 0.752, 0.7559, 0.7559, 0.7559, 0.7559, 0.752, 0.748]",0.752,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
pooled,0.1,15,"[0.4911, 0.5531, 0.5915, 0.6191, 0.6289, 0.6339, 0.6378, 0.6398, 0.6407, 0.6398, 0.6378, 0.6348, 0.6378, 0.6368, 0.6358]",0.6368,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
global,0.1,15,"[0.4331, 0.4409, 0.4606, 0.4606, 0.4685, 0.4685, 0.4803, 0.4882, 0.5039, 0.5118, 0.5197, 0.5354, 0.5591, 0.5748, 0.5827]",0.5722,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
personal,0.1,15,"[0.4764, 0.5709, 0.6732, 0.6929, 0.7205, 0.7362, 0.7402, 0.7362, 0.7402, 0.7441, 0.7441, 0.7441, 0.7402, 0.7402, 0.748]",0.7428,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
pooled,0.1,15,"[0.4675, 0.5354, 0.5915, 0.6033, 0.6181, 0.6191, 0.622, 0.627, 0.6289, 0.6329, 0.6309, 0.6309, 0.6299, 0.627, 0.6309]",0.6293,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
global,0.1,15,"[0.5276, 0.5354, 0.5551, 0.5591, 0.5748, 0.5866, 0.5984, 0.626, 0.6378, 0.6417, 0.6535, 0.6654, 0.6654, 0.6811, 0.6772]",0.6746,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
personal,0.1,15,"[0.5906, 0.6575, 0.689, 0.7047, 0.7165, 0.7441, 0.752, 0.752, 0.748, 0.748, 0.7559, 0.7559, 0.7677, 0.7677, 0.7756]",0.7703,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
pooled,0.1,15,"[0.5561, 0.5827, 0.6014, 0.6152, 0.624, 0.6309, 0.6388, 0.6388, 0.6407, 0.6398, 0.6388, 0.6407, 0.6447, 0.6398, 0.6358]",0.6401,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
global,1.0,15,"[0.5945, 0.6024, 0.622, 0.622, 0.6339, 0.6378, 0.6378, 0.6417, 0.6417, 0.6496, 0.6575, 0.6457, 0.6496, 0.6535, 0.6535]",0.6522,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
personal,1.0,15,"[0.6535, 0.689, 0.7047, 0.7087, 0.7087, 0.7126, 0.7087, 0.7087, 0.7087, 0.7087, 0.7047, 0.7047, 0.7126, 0.7205, 0.7323]",0.7218,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
pooled,1.0,15,"[0.622, 0.6496, 0.6555, 0.6585, 0.6594, 0.6555, 0.6565, 0.6594, 0.6624, 0.6634, 0.6654, 0.6654, 0.6683, 0.6703, 0.6713]",0.67,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
global,1.0,15,"[0.5866, 0.6102, 0.6181, 0.626, 0.6339, 0.6496, 0.6614, 0.6693, 0.6732, 0.6772, 0.685, 0.6811, 0.6811, 0.6811, 0.689]",0.6837,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
personal,1.0,15,"[0.6457, 0.6811, 0.7126, 0.7165, 0.7165, 0.7205, 0.7283, 0.7323, 0.7283, 0.7244, 0.7205, 0.7244, 0.7244, 0.7283, 0.7323]",0.7283,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
pooled,1.0,15,"[0.6063, 0.6299, 0.6526, 0.6614, 0.6644, 0.6614, 0.6683, 0.6663, 0.6673, 0.6703, 0.6752, 0.6781, 0.6791, 0.6831, 0.6821]",0.6814,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
global,1.0,15,"[0.4173, 0.4173, 0.4291, 0.4409, 0.4488, 0.4606, 0.4921, 0.5079, 0.5276, 0.5236, 0.5472, 0.5669, 0.5787, 0.5945, 0.6024]",0.5919,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
personal,1.0,15,"[0.5551, 0.6181, 0.6496, 0.6614, 0.6693, 0.6732, 0.6772, 0.6929, 0.689, 0.6929, 0.7008, 0.7008, 0.7244, 0.7283, 0.7362]",0.7296,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
pooled,1.0,15,"[0.4872, 0.5374, 0.564, 0.5758, 0.5827, 0.5925, 0.6014, 0.6132, 0.6122, 0.6171, 0.6211, 0.6299, 0.6378, 0.6447, 0.6526]",0.645,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
global,1.0,15,"[0.4331, 0.4409, 0.4606, 0.4606, 0.4685, 0.4685, 0.4803, 0.4882, 0.5039, 0.5118, 0.5197, 0.5354, 0.5591, 0.5748, 0.5827]",0.5722,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
personal,1.0,15,"[0.4803, 0.5669, 0.622, 0.6496, 0.6693, 0.6654, 0.6693, 0.685, 0.6929, 0.689, 0.6969, 0.6969, 0.7008, 0.7008, 0.7087]",0.7034,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
pooled,1.0,15,"[0.4646, 0.5217, 0.5522, 0.5758, 0.5886, 0.5896, 0.5984, 0.6083, 0.622, 0.622, 0.6299, 0.6378, 0.6447, 0.6467, 0.6476]",0.6463,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
global,1.0,15,"[0.5276, 0.5354, 0.5551, 0.5591, 0.5748, 0.5866, 0.5984, 0.626, 0.6378, 0.6417, 0.6535, 0.6654, 0.6654, 0.6811, 0.6772]",0.6746,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
personal,1.0,15,"[0.5906, 0.6575, 0.6929, 0.7008, 0.7165, 0.7244, 0.7244, 0.7165, 0.7165, 0.7244, 0.7244, 0.7244, 0.7244, 0.7323, 0.7362]",0.731,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
pooled,1.0,15,"[0.5561, 0.5896, 0.6073, 0.6191, 0.6329, 0.6309, 0.6309, 0.6339, 0.6447, 0.6535, 0.6545, 0.6565, 0.6585, 0.6634, 0.6673]",0.6631,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
global,10.0,15,"[0.5945, 0.6024, 0.622, 0.622, 0.6339, 0.6378, 0.6378, 0.6417, 0.6417, 0.6496, 0.6575, 0.6457, 0.6496, 0.6535, 0.6535]",0.6522,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
personal,10.0,15,"[0.6102, 0.6181, 0.626, 0.6299, 0.6339, 0.6496, 0.6496, 0.6457, 0.6496, 0.6496, 0.6575, 0.6575, 0.6575, 0.6732, 0.6614]",0.664,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
pooled,10.0,15,"[0.6053, 0.6102, 0.6191, 0.628, 0.6299, 0.6388, 0.6368, 0.6407, 0.6417, 0.6437, 0.6516, 0.6496, 0.6545, 0.6594, 0.6575]",0.6571,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,42
global,10.0,15,"[0.5866, 0.6102, 0.6181, 0.626, 0.6339, 0.6496, 0.6614, 0.6693, 0.6732, 0.6772, 0.685, 0.6811, 0.6811, 0.6811, 0.689]",0.6837,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
personal,10.0,15,"[0.6063, 0.6378, 0.6417, 0.6535, 0.6693, 0.6732, 0.6772, 0.689, 0.6929, 0.7047, 0.7008, 0.6929, 0.6929, 0.7008, 0.7047]",0.6995,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
pooled,10.0,15,"[0.5758, 0.6171, 0.6211, 0.6388, 0.6447, 0.6565, 0.6644, 0.6752, 0.6831, 0.687, 0.689, 0.685, 0.689, 0.6929, 0.6959]",0.6926,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,43
global,10.0,15,"[0.4173, 0.4173, 0.4291, 0.4409, 0.4488, 0.4606, 0.4921, 0.5079, 0.5276, 0.5236, 0.5472, 0.5669, 0.5787, 0.5945, 0.6024]",0.5919,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
personal,10.0,15,"[0.4685, 0.4646, 0.4606, 0.4764, 0.4921, 0.5039, 0.5354, 0.5551, 0.5669, 0.5669, 0.5669, 0.5866, 0.5945, 0.5945, 0.6102]",0.5997,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
pooled,10.0,15,"[0.44, 0.437, 0.4409, 0.4596, 0.4626, 0.4715, 0.4961, 0.5266, 0.5413, 0.5394, 0.5522, 0.5719, 0.5846, 0.5935, 0.6063]",0.5948,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,44
global,10.0,15,"[0.4331, 0.4409, 0.4606, 0.4606, 0.4685, 0.4685, 0.4803, 0.4882, 0.5039, 0.5118, 0.5197, 0.5354, 0.5591, 0.5748, 0.5827]",0.5722,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
personal,10.0,15,"[0.4606, 0.4606, 0.4724, 0.4803, 0.4803, 0.4843, 0.4882, 0.5039, 0.5197, 0.5315, 0.5236, 0.5591, 0.5709, 0.5787, 0.6024]",0.584,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
pooled,10.0,15,"[0.4498, 0.4547, 0.4646, 0.4636, 0.4695, 0.4724, 0.4921, 0.5039, 0.5167, 0.5217, 0.5295, 0.5561, 0.5719, 0.5797, 0.5886]",0.5801,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,45
global,10.0,15,"[0.5276, 0.5354, 0.5551, 0.5591, 0.5748, 0.5866, 0.5984, 0.626, 0.6378, 0.6417, 0.6535, 0.6654, 0.6654, 0.6811, 0.6772]",0.6746,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
personal,10.0,15,"[0.5551, 0.5551, 0.5709, 0.5866, 0.6024, 0.6102, 0.6181, 0.6417, 0.6496, 0.6654, 0.6654, 0.685, 0.685, 0.6811, 0.689]",0.685,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
pooled,10.0,15,"[0.5285, 0.5413, 0.5561, 0.5699, 0.5866, 0.5886, 0.6033, 0.624, 0.6407, 0.6535, 0.6535, 0.6703, 0.6722, 0.6732, 0.6762]",0.6739,ThreeLevels-0-SCF,0.0001,5.96,1.0,4,46
