type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.5906, 0.5945, 0.6102, 0.6181, 0.6142, 0.622, 0.622, 0.6181, 0.6142, 0.6181, 0.622, 0.6339, 0.6417, 0.6457, 0.6496]",0.6457,0.1,0.0001,190.0,1.0,16,42
personal,0.0,15,"[0.6024, 0.5906, 0.6063, 0.6142, 0.6102, 0.6063, 0.6142, 0.6024, 0.6142, 0.626, 0.6378, 0.6378, 0.6496, 0.6575, 0.6575]",0.6549,0.1,0.0001,190.0,1.0,16,42
pooled,0.0,15,"[0.5984, 0.5906, 0.5906, 0.5915, 0.5876, 0.5866, 0.5925, 0.5906, 0.6014, 0.6102, 0.6102, 0.6073, 0.6161, 0.6171, 0.6191]",0.6174,0.1,0.0001,190.0,1.0,16,42
global,0.0,15,"[0.5906, 0.6142, 0.622, 0.6299, 0.6378, 0.6457, 0.6614, 0.6654, 0.6772, 0.6811, 0.689, 0.6929, 0.6929, 0.7008, 0.6969]",0.6969,0.5,0.0001,43.12,1.0,16,42
personal,0.0,15,"[0.6063, 0.6181, 0.6417, 0.6693, 0.6732, 0.6811, 0.6811, 0.6929, 0.6969, 0.7047, 0.7008, 0.7047, 0.7087, 0.7244, 0.7244]",0.7192,0.5,0.0001,43.12,1.0,16,42
pooled,0.0,15,"[0.6063, 0.6033, 0.6132, 0.6309, 0.6299, 0.6358, 0.6457, 0.6506, 0.6545, 0.6594, 0.6575, 0.6644, 0.6693, 0.6722, 0.6693]",0.6703,0.5,0.0001,43.12,1.0,16,42
global,0.0,15,"[0.6024, 0.622, 0.6378, 0.6457, 0.6654, 0.6654, 0.6772, 0.689, 0.6969, 0.7047, 0.7165, 0.7126, 0.7126, 0.7087, 0.7165]",0.7126,1.0,0.0001,23.12,1.0,16,42
personal,0.0,15,"[0.6181, 0.6339, 0.6654, 0.6929, 0.6929, 0.6969, 0.7047, 0.7205, 0.7283, 0.7283, 0.7283, 0.7441, 0.752, 0.7402, 0.7362]",0.7428,1.0,0.0001,23.12,1.0,16,42
pooled,0.0,15,"[0.6093, 0.6132, 0.626, 0.6526, 0.6594, 0.6585, 0.6624, 0.6614, 0.6663, 0.6693, 0.6703, 0.6732, 0.6772, 0.6713, 0.6722]",0.6736,1.0,0.0001,23.12,1.0,16,42
global,0.0,15,"[0.626, 0.6417, 0.6772, 0.685, 0.7047, 0.7047, 0.7126, 0.7087, 0.7165, 0.7126, 0.7087, 0.7165, 0.7244, 0.7283, 0.7323]",0.7283,4.0,0.0001,6.87,1.0,16,42
personal,0.0,15,"[0.6457, 0.6732, 0.7087, 0.7323, 0.7205, 0.7283, 0.7362, 0.7441, 0.752, 0.752, 0.7598, 0.752, 0.748, 0.7441, 0.7362]",0.7428,4.0,0.0001,6.87,1.0,16,42
pooled,0.0,15,"[0.6181, 0.6486, 0.6663, 0.6703, 0.6742, 0.6762, 0.6781, 0.6801, 0.6841, 0.6831, 0.6791, 0.6821, 0.6791, 0.6742, 0.6742]",0.6758,4.0,0.0001,6.87,1.0,16,42
global,0.0,15,"[0.6299, 0.6575, 0.689, 0.7126, 0.7087, 0.7047, 0.7008, 0.6969, 0.7047, 0.7087, 0.7165, 0.7244, 0.7244, 0.7244, 0.7205]",0.7231,8.0,0.0001,3.92,1.0,16,42
personal,0.0,15,"[0.6575, 0.6811, 0.7283, 0.7283, 0.7362, 0.7402, 0.7402, 0.748, 0.752, 0.748, 0.748, 0.748, 0.752, 0.748, 0.748]",0.7493,8.0,0.0001,3.92,1.0,16,42
pooled,0.0,15,"[0.6289, 0.6575, 0.6703, 0.6703, 0.6762, 0.6801, 0.6831, 0.6811, 0.6791, 0.6801, 0.6791, 0.6791, 0.6801, 0.6762, 0.6762]",0.6775,8.0,0.0001,3.92,1.0,16,42
global,0.0,15,"[0.6339, 0.6654, 0.6969, 0.7165, 0.7047, 0.7008, 0.7008, 0.6969, 0.7047, 0.7165, 0.7165, 0.7244, 0.7244, 0.7205, 0.7205]",0.7218,16.0,0.0001,2.36,1.0,16,42
personal,0.0,15,"[0.6535, 0.689, 0.7244, 0.7323, 0.7362, 0.7283, 0.7323, 0.7441, 0.748, 0.7441, 0.752, 0.748, 0.7402, 0.7323, 0.7323]",0.7349,16.0,0.0001,2.36,1.0,16,42
pooled,0.0,15,"[0.6339, 0.6614, 0.6683, 0.6791, 0.685, 0.6801, 0.6791, 0.685, 0.685, 0.6811, 0.6831, 0.6791, 0.6703, 0.6703, 0.6693]",0.67,16.0,0.0001,2.36,1.0,16,42
global,0.0,30,"[0.5906, 0.5866, 0.5827, 0.5827, 0.5866, 0.5906, 0.5787, 0.5906, 0.5945, 0.5984, 0.5945, 0.5984, 0.6063, 0.6063, 0.6024]",0.605,0.1,0.0001,190.0,1.0,16,42
personal,0.0,30,"[0.5906, 0.5984, 0.6181, 0.6024, 0.5984, 0.622, 0.626, 0.626, 0.6417, 0.6339, 0.6496, 0.6535, 0.6535, 0.6496, 0.6417]",0.6483,0.1,0.0001,190.0,1.0,16,42
pooled,0.0,30,"[0.5955, 0.6024, 0.6033, 0.6014, 0.5984, 0.6033, 0.6093, 0.6211, 0.6299, 0.624, 0.6191, 0.6112, 0.6132, 0.6073, 0.6014]",0.6073,0.1,0.0001,190.0,1.0,16,42
global,0.0,30,"[0.5906, 0.5984, 0.6102, 0.6299, 0.6339, 0.6339, 0.6457, 0.6496, 0.6535, 0.6654, 0.6693, 0.6732, 0.685, 0.685, 0.6929]",0.6876,0.5,0.0001,43.12,1.0,16,42
personal,0.0,30,"[0.6181, 0.626, 0.6654, 0.6693, 0.6772, 0.6929, 0.7165, 0.7244, 0.7047, 0.7244, 0.7165, 0.7205, 0.7244, 0.7323, 0.7283]",0.7283,0.5,0.0001,43.12,1.0,16,42
pooled,0.0,30,"[0.6112, 0.6181, 0.6319, 0.6427, 0.6447, 0.6575, 0.6644, 0.6693, 0.6634, 0.6654, 0.6526, 0.6535, 0.6565, 0.6614, 0.6555]",0.6578,0.5,0.0001,43.12,1.0,16,42
global,0.0,30,"[0.6024, 0.622, 0.6339, 0.6378, 0.6614, 0.6654, 0.6693, 0.6772, 0.689, 0.6929, 0.7047, 0.7047, 0.7126, 0.7165, 0.7205]",0.7165,1.0,0.0001,23.12,1.0,16,42
personal,0.0,30,"[0.6299, 0.6693, 0.6811, 0.7087, 0.7165, 0.7283, 0.7323, 0.7283, 0.7244, 0.7323, 0.7323, 0.7362, 0.7362, 0.7362, 0.7441]",0.7388,1.0,0.0001,23.12,1.0,16,42
pooled,0.0,30,"[0.6171, 0.6388, 0.6486, 0.6624, 0.6663, 0.6673, 0.6732, 0.6742, 0.6742, 0.6713, 0.6673, 0.6634, 0.6644, 0.6604, 0.6673]",0.664,1.0,0.0001,23.12,1.0,16,42
global,0.0,30,"[0.626, 0.6339, 0.6654, 0.689, 0.6969, 0.6969, 0.7165, 0.7087, 0.7047, 0.7126, 0.7205, 0.7283, 0.7244, 0.7244, 0.7205]",0.7231,4.0,0.0001,6.87,1.0,16,42
personal,0.0,30,"[0.6772, 0.7205, 0.7283, 0.748, 0.7441, 0.7598, 0.7598, 0.7677, 0.7441, 0.7362, 0.7362, 0.7323, 0.7205, 0.7283, 0.7283]",0.7257,4.0,0.0001,6.87,1.0,16,42
pooled,0.0,30,"[0.6496, 0.6732, 0.6821, 0.6841, 0.6772, 0.6841, 0.6841, 0.6841, 0.6722, 0.6663, 0.6634, 0.6575, 0.6594, 0.6565, 0.6594]",0.6584,4.0,0.0001,6.87,1.0,16,42
