type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.5945, 0.622, 0.6339, 0.6457, 0.6457, 0.6496, 0.6614, 0.6614, 0.685, 0.6811, 0.685, 0.689, 0.689, 0.6929, 0.6929]",0.6916,ThreeLevels-0-SCF,0.0001,5.96,1.0,19,42
personal,0.0,15,"[0.6535, 0.6969, 0.6969, 0.7283, 0.7402, 0.752, 0.7638, 0.7598, 0.7598, 0.7598, 0.748, 0.752, 0.7598, 0.7598, 0.7598]",0.7598,ThreeLevels-0-SCF,0.0001,5.96,1.0,19,42
pooled,0.0,15,"[0.6211, 0.6476, 0.6476, 0.6467, 0.6506, 0.6467, 0.6457, 0.6417, 0.6388, 0.6358, 0.6329, 0.6329, 0.6319, 0.6309, 0.6309]",0.6312,ThreeLevels-0-SCF,0.0001,5.96,1.0,19,42
global,0.0,15,"[0.5945, 0.6024, 0.6181, 0.622, 0.622, 0.6181, 0.622, 0.6299, 0.6417, 0.6535, 0.6496, 0.6614, 0.6693, 0.6772, 0.6772]",0.6746,BoundedPareto-0-SCF,0.0001,5.96,1.0,11,42
personal,0.0,15,"[0.6535, 0.689, 0.7126, 0.7244, 0.748, 0.748, 0.752, 0.752, 0.748, 0.7598, 0.7559, 0.752, 0.752, 0.7559, 0.7559]",0.7546,BoundedPareto-0-SCF,0.0001,5.96,1.0,11,42
pooled,0.0,15,"[0.622, 0.6427, 0.6476, 0.6486, 0.6467, 0.6427, 0.6378, 0.6378, 0.6339, 0.6378, 0.6368, 0.6348, 0.6289, 0.6299, 0.628]",0.6289,BoundedPareto-0-SCF,0.0001,5.96,1.0,11,42
global,0.0,15,"[0.5984, 0.6142, 0.6339, 0.6417, 0.6457, 0.6496, 0.6654, 0.6693, 0.6811, 0.689, 0.689, 0.6969, 0.6969, 0.7047, 0.7087]",0.7034,BoundedMixGauss-0-SCF,0.0001,5.96,1.0,19,42
personal,0.0,15,"[0.6496, 0.6969, 0.7165, 0.7244, 0.7402, 0.748, 0.7559, 0.7559, 0.748, 0.7441, 0.7402, 0.7559, 0.7441, 0.752, 0.7559]",0.7507,BoundedMixGauss-0-SCF,0.0001,5.96,1.0,19,42
pooled,0.0,15,"[0.622, 0.6496, 0.6555, 0.6467, 0.6486, 0.6437, 0.6368, 0.6378, 0.6348, 0.6329, 0.6329, 0.6368, 0.6289, 0.6299, 0.6299]",0.6296,BoundedMixGauss-0-SCF,0.0001,5.96,1.0,19,42
global,0.0,30,"[0.5945, 0.622, 0.6339, 0.6457, 0.6457, 0.6496, 0.6654, 0.6654, 0.6732, 0.685, 0.685, 0.689, 0.689, 0.6969, 0.6929]",0.6929,ThreeLevels-0-SCF,0.0001,5.96,1.0,19,42
personal,0.0,30,"[0.6969, 0.7362, 0.7441, 0.7598, 0.7559, 0.7598, 0.7598, 0.7598, 0.752, 0.748, 0.7441, 0.748, 0.748, 0.752, 0.752]",0.7507,ThreeLevels-0-SCF,0.0001,5.96,1.0,19,42
