type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.5866, 0.5945, 0.5906, 0.5866, 0.5945, 0.5945, 0.5984, 0.6063, 0.5984, 0.6063, 0.6063, 0.6063, 0.6142, 0.622, 0.6181]",0.6181,0.1,0.0001,190.0,1.0,16,42
personal,0.0,15,"[0.6535, 0.6969, 0.6969, 0.7283, 0.7402, 0.752, 0.7638, 0.7598, 0.7598, 0.7598, 0.748, 0.752, 0.7598, 0.7598, 0.7598]",0.7598,0.1,0.0001,190.0,1.0,16,42
pooled,0.0,15,"[0.6211, 0.6476, 0.6476, 0.6467, 0.6506, 0.6467, 0.6457, 0.6417, 0.6388, 0.6358, 0.6329, 0.6329, 0.6319, 0.6309, 0.6309]",0.6312,0.1,0.0001,190.0,1.0,16,42
global,0.0,15,"[0.5984, 0.6063, 0.622, 0.626, 0.622, 0.6299, 0.6417, 0.6457, 0.6575, 0.6614, 0.6654, 0.6772, 0.689, 0.689, 0.689]",0.689,0.5,0.0001,43.12,1.0,16,42
personal,0.0,15,"[0.6535, 0.6969, 0.6969, 0.7283, 0.7402, 0.752, 0.7638, 0.7598, 0.7598, 0.7598, 0.748, 0.752, 0.7598, 0.7598, 0.7598]",0.7598,0.5,0.0001,43.12,1.0,16,42
pooled,0.0,15,"[0.6211, 0.6476, 0.6476, 0.6467, 0.6506, 0.6467, 0.6457, 0.6417, 0.6388, 0.6358, 0.6329, 0.6329, 0.6319, 0.6309, 0.6309]",0.6312,0.5,0.0001,43.12,1.0,16,42
global,0.0,15,"[0.6063, 0.622, 0.6181, 0.6417, 0.6496, 0.6654, 0.6732, 0.689, 0.685, 0.6929, 0.6969, 0.7087, 0.7087, 0.7126, 0.7244]",0.7152,1.0,0.0001,23.12,1.0,16,42
personal,0.0,15,"[0.6535, 0.6969, 0.6969, 0.7283, 0.7402, 0.752, 0.7638, 0.7598, 0.7598, 0.7598, 0.748, 0.752, 0.7598, 0.7598, 0.7598]",0.7598,1.0,0.0001,23.12,1.0,16,42
pooled,0.0,15,"[0.6211, 0.6476, 0.6476, 0.6467, 0.6506, 0.6467, 0.6457, 0.6417, 0.6388, 0.6358, 0.6329, 0.6329, 0.6319, 0.6309, 0.6309]",0.6312,1.0,0.0001,23.12,1.0,16,42
global,0.0,15,"[0.626, 0.6457, 0.6654, 0.6811, 0.7008, 0.7047, 0.7047, 0.7008, 0.7047, 0.7126, 0.7165, 0.7165, 0.7244, 0.7283, 0.7283]",0.727,4.0,0.0001,6.87,1.0,16,42
personal,0.0,15,"[0.6535, 0.6969, 0.6969, 0.7283, 0.7402, 0.752, 0.7638, 0.7598, 0.7598, 0.7598, 0.748, 0.752, 0.7598, 0.7598, 0.7598]",0.7598,4.0,0.0001,6.87,1.0,16,42
pooled,0.0,15,"[0.6211, 0.6476, 0.6476, 0.6467, 0.6506, 0.6467, 0.6457, 0.6417, 0.6388, 0.6358, 0.6329, 0.6329, 0.6319, 0.6309, 0.6309]",0.6312,4.0,0.0001,6.87,1.0,16,42
