type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.626, 0.6496, 0.6732, 0.7008, 0.7008, 0.689, 0.7008, 0.6969, 0.7087, 0.7244, 0.7205, 0.7244, 0.7205, 0.7165, 0.7165]",0.7178,PrivacyFree,,,,16,42
personal,0.0,15,"[0.6575, 0.685, 0.7165, 0.7283, 0.7559, 0.7559, 0.7559, 0.7559, 0.7598, 0.752, 0.7559, 0.7598, 0.7559, 0.7598, 0.7559]",0.7572,PrivacyFree,,,,16,42
pooled,0.0,15,"[0.6211, 0.6447, 0.6526, 0.6457, 0.6506, 0.6457, 0.6407, 0.6358, 0.6378, 0.6368, 0.6378, 0.6378, 0.6329, 0.6329, 0.6299]",0.6319,PrivacyFree,,,,16,42
global,0.0,15,"[0.6339, 0.6535, 0.689, 0.7087, 0.7205, 0.7244, 0.7244, 0.7323, 0.7441, 0.748, 0.752, 0.7559, 0.7559, 0.752, 0.7323]",0.7467,PrivacyFree,,,,16,43
personal,0.0,15,"[0.6535, 0.6969, 0.7087, 0.7283, 0.748, 0.7559, 0.752, 0.7598, 0.7638, 0.7598, 0.7559, 0.748, 0.752, 0.748, 0.748]",0.7493,PrivacyFree,,,,16,43
pooled,0.0,15,"[0.6073, 0.6358, 0.6368, 0.6358, 0.6368, 0.6437, 0.6437, 0.6407, 0.6417, 0.6358, 0.6358, 0.6339, 0.6299, 0.628, 0.628]",0.6286,PrivacyFree,,,,16,43
global,0.0,15,"[0.4921, 0.5433, 0.6102, 0.6654, 0.6772, 0.7047, 0.7087, 0.7205, 0.7323, 0.7402, 0.7362, 0.7362, 0.7441, 0.7441, 0.748]",0.7454,PrivacyFree,,,,16,44
personal,0.0,15,"[0.5472, 0.626, 0.6772, 0.7165, 0.7362, 0.7441, 0.7402, 0.7441, 0.7323, 0.7441, 0.7441, 0.7402, 0.7323, 0.7323, 0.7362]",0.7336,PrivacyFree,,,,16,44
pooled,0.0,15,"[0.4902, 0.5561, 0.5935, 0.6161, 0.6348, 0.6447, 0.6398, 0.6437, 0.6417, 0.6427, 0.6417, 0.6388, 0.6388, 0.6417, 0.6388]",0.6398,PrivacyFree,,,,16,44
global,0.0,15,"[0.4724, 0.5079, 0.563, 0.6417, 0.6772, 0.689, 0.7047, 0.7165, 0.7205, 0.7402, 0.7362, 0.7362, 0.7362, 0.7402, 0.7441]",0.7402,PrivacyFree,,,,16,45
personal,0.0,15,"[0.4803, 0.5866, 0.6732, 0.6969, 0.7323, 0.748, 0.748, 0.7402, 0.752, 0.752, 0.752, 0.748, 0.7441, 0.748, 0.748]",0.7467,PrivacyFree,,,,16,45
pooled,0.0,15,"[0.4724, 0.5374, 0.5807, 0.6014, 0.6191, 0.6289, 0.6309, 0.6309, 0.6388, 0.6339, 0.6368, 0.6348, 0.6309, 0.627, 0.6299]",0.6293,PrivacyFree,,,,16,45
global,0.0,15,"[0.5591, 0.622, 0.6496, 0.6654, 0.6693, 0.685, 0.6969, 0.7165, 0.7244, 0.7283, 0.7283, 0.7283, 0.7283, 0.7362, 0.7323]",0.7323,PrivacyFree,,,,16,46
