timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-17 14:17,0.8922,"[0.3329, 0.5786, 0.7381, 0.7976, 0.8512, 0.8573, 0.8816, 0.8837, 0.8763, 0.8853, 0.8884, 0.8904, 0.8905, 0.8899, 0.8962]",ThreeLevels-0-Ours,0.001,9.74,1.0,"[435, 435, 435, 435, 435, 435, 435, 435, 435, 435]",0.01,10,0.5
2026-02-17 14:18,0.6893,"[0.1771, 0.215, 0.2274, 0.3475, 0.3716, 0.4378, 0.5298, 0.527, 0.5363, 0.5615, 0.6189, 0.6367, 0.641, 0.7032, 0.7237]",ThreeLevels-0-StrongForAll(0.1),0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
2026-02-17 14:20,0.8205,"[0.1986, 0.2493, 0.4113, 0.5182, 0.6024, 0.6025, 0.7242, 0.7167, 0.7497, 0.7799, 0.8113, 0.8039, 0.8161, 0.8178, 0.8275]",ThreeLevels-0-Dropout(0.7699999999999998),0.001,9.74,1.0,"[175, 175, 175, 175, 175, 175, 175, 175, 175, 175]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-17 14:22,0.8731,"[0.2674, 0.4453, 0.6208, 0.6891, 0.7885, 0.7957, 0.8458, 0.8505, 0.8397, 0.8602, 0.8607, 0.8667, 0.8703, 0.8729, 0.876]",BoundedPareto-0-Ours,0.001,9.74,1.0,"[293, 288, 291, 294, 304, 303, 289, 291, 289, 294]",0.01,10,0.5
2026-02-17 14:23,0.6893,"[0.1771, 0.215, 0.2274, 0.3475, 0.3716, 0.4378, 0.5298, 0.527, 0.5363, 0.5615, 0.6189, 0.6367, 0.641, 0.7032, 0.7237]",BoundedPareto-0-StrongForAll(0.10000138417372431),0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
2026-02-17 14:24,0.7487,"[0.1849, 0.23, 0.3584, 0.3832, 0.4804, 0.45, 0.58, 0.5768, 0.6285, 0.6826, 0.7177, 0.7185, 0.727, 0.744, 0.7752]",BoundedPareto-0-Dropout(0.4316516173121997),0.001,9.74,1.0,"[120, 116, 120, 120, 125, 126, 117, 117, 119, 120]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-17 14:27,0.8948,"[0.3699, 0.5445, 0.75, 0.8084, 0.8628, 0.8608, 0.8878, 0.8888, 0.8756, 0.8907, 0.8914, 0.8949, 0.8942, 0.8948, 0.8954]",BoundedMixGauss-0-Ours,0.001,9.74,1.0,"[411, 451, 447, 428, 439, 450, 444, 448, 445, 427]",0.01,10,0.5
2026-02-17 14:28,0.6893,"[0.1771, 0.215, 0.2274, 0.3475, 0.3716, 0.4378, 0.5298, 0.527, 0.5363, 0.5615, 0.6189, 0.6367, 0.641, 0.7032, 0.7237]",BoundedMixGauss-0-StrongForAll(0.1),0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
2026-02-17 14:30,0.8214,"[0.1843, 0.2419, 0.4184, 0.5078, 0.6033, 0.6152, 0.7269, 0.7242, 0.755, 0.7788, 0.8058, 0.81, 0.8174, 0.8177, 0.829]",BoundedMixGauss-0-Dropout(0.7745513565287265),0.001,9.74,1.0,"[166, 177, 177, 174, 173, 177, 177, 179, 172, 170]",0.01,10,0.5
timestamp,mean_perf_global,perf,mean_perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 17:24,0.8238,"[0.1028, 0.1494, 0.1908, 0.1969, 0.2248, 0.2553, 0.2925, 0.307, 0.3236, 0.3404, 0.3412, 0.3561, 0.3691, 0.3867, 0.3673]",0.3744,ThreeLevels-0-Ours,0.001,9.74,1.0,"[435, 435, 435, 435, 435, 435, 435, 435, 435, 435]",0.01,10,0.5
timestamp,mean_perf_global,perf,mean_perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 17:29,0.8238,"[0.1028, 0.1494, 0.1908, 0.1969, 0.2248, 0.2553, 0.2925, 0.307, 0.3236, 0.3404, 0.3412, 0.3561, 0.3691, 0.3867, 0.3673]",0.3744,ThreeLevels-0-Ours,0.001,9.74,1.0,"[435, 435, 435, 435, 435, 435, 435, 435, 435, 435]",0.01,10,0.5
timestamp,mean_perf_global,perf,mean_perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 17:31,0.6331,"[0.1062, 0.1133, 0.1403, 0.1537, 0.1535, 0.1681, 0.1958, 0.1931, 0.1972, 0.2115, 0.2116, 0.2296, 0.2403, 0.2455, 0.2425]",0.2428,ThreeLevels-0-Ours,0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
timestamp,mean_perf_global,perf,mean_perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 17:32,0.7749,"[0.1027, 0.13, 0.1534, 0.1735, 0.197, 0.2129, 0.2467, 0.2357, 0.2478, 0.2595, 0.289, 0.2782, 0.2858, 0.2857, 0.2866]",0.286,ThreeLevels-0-Ours,0.001,9.74,1.0,"[175, 175, 175, 175, 175, 175, 175, 175, 175, 175]",0.01,10,0.5
timestamp,mean_perf_global,perf,mean_perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 17:34,0.8185,"[0.1081, 0.1385, 0.1567, 0.1821, 0.2001, 0.2112, 0.2482, 0.269, 0.2893, 0.316, 0.3283, 0.3395, 0.335, 0.3477, 0.3525]",0.3451,BoundedPareto-0-Ours,0.001,9.74,1.0,"[293, 288, 291, 294, 304, 303, 289, 291, 289, 294]",0.01,10,0.5
timestamp,mean_perf_global,perf,mean_perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 17:36,0.6331,"[0.1062, 0.1133, 0.1403, 0.1537, 0.1535, 0.1681, 0.1958, 0.1931, 0.1972, 0.2115, 0.2116, 0.2296, 0.2403, 0.2455, 0.2425]",0.2428,BoundedPareto-0-Ours,0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
timestamp,mean_perf_global,perf,mean_perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 17:37,0.7071,"[0.1072, 0.1432, 0.1507, 0.175, 0.1993, 0.2259, 0.2379, 0.2523, 0.2697, 0.2779, 0.274, 0.2721, 0.2802, 0.295, 0.2852]",0.2868,BoundedPareto-0-Ours,0.001,9.74,1.0,"[120, 116, 120, 120, 125, 126, 117, 117, 119, 120]",0.01,10,0.5
timestamp,mean_perf_global,perf,mean_perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 17:39,0.8275,"[0.1032, 0.1379, 0.1827, 0.1967, 0.2213, 0.2508, 0.2833, 0.3012, 0.3177, 0.3388, 0.3323, 0.3425, 0.3597, 0.3781, 0.3648]",0.3675,BoundedMixGauss-0-Ours,0.001,9.74,1.0,"[411, 451, 447, 428, 439, 450, 444, 448, 445, 427]",0.01,10,0.5
timestamp,mean_perf_global,perf,mean_perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 17:41,0.6331,"[0.1062, 0.1133, 0.1403, 0.1537, 0.1535, 0.1681, 0.1958, 0.1931, 0.1972, 0.2115, 0.2116, 0.2296, 0.2403, 0.2455, 0.2425]",0.2428,BoundedMixGauss-0-Ours,0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
timestamp,mean_perf_global,perf,mean_perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 17:43,0.7635,"[0.1032, 0.1258, 0.1503, 0.1706, 0.1892, 0.2002, 0.2313, 0.2225, 0.2413, 0.2485, 0.2752, 0.2765, 0.2836, 0.2795, 0.2818]",0.2816,BoundedMixGauss-0-Ours,0.001,9.74,1.0,"[166, 177, 177, 174, 173, 177, 177, 179, 172, 170]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 19:18,0.8238,"[0.1785, 0.2486, 0.4221, 0.4425, 0.5535, 0.6107, 0.709, 0.7182, 0.7579, 0.7793, 0.7924, 0.8038, 0.813, 0.8221, 0.8363]",0.3744,"[0.1028, 0.1494, 0.1908, 0.1969, 0.2248, 0.2553, 0.2925, 0.307, 0.3236, 0.3404, 0.3412, 0.3561, 0.3691, 0.3867, 0.3673]",ThreeLevels-0-Ours,0.001,9.74,1.0,"[435, 435, 435, 435, 435, 435, 435, 435, 435, 435]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 19:19,0.6331,"[0.1372, 0.1011, 0.1624, 0.2322, 0.2641, 0.2496, 0.3378, 0.4852, 0.5331, 0.5575, 0.5677, 0.5545, 0.6047, 0.6223, 0.6723]",0.2428,"[0.1062, 0.1133, 0.1403, 0.1537, 0.1535, 0.1681, 0.1958, 0.1931, 0.1972, 0.2115, 0.2116, 0.2296, 0.2403, 0.2455, 0.2425]",ThreeLevels-0-Ours,0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 19:21,0.7749,"[0.1113, 0.1364, 0.1062, 0.3083, 0.4796, 0.5192, 0.5565, 0.615, 0.667, 0.6908, 0.7226, 0.7193, 0.7581, 0.7716, 0.795]",0.286,"[0.1027, 0.13, 0.1534, 0.1735, 0.197, 0.2129, 0.2467, 0.2357, 0.2478, 0.2595, 0.289, 0.2782, 0.2858, 0.2857, 0.2866]",ThreeLevels-0-Ours,0.001,9.74,1.0,"[175, 175, 175, 175, 175, 175, 175, 175, 175, 175]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 19:23,0.8185,"[0.1548, 0.2318, 0.2896, 0.4567, 0.4794, 0.595, 0.6435, 0.6935, 0.73, 0.7551, 0.7769, 0.7983, 0.8136, 0.8122, 0.8298]",0.3451,"[0.1081, 0.1385, 0.1567, 0.1821, 0.2001, 0.2112, 0.2482, 0.269, 0.2893, 0.316, 0.3283, 0.3395, 0.335, 0.3477, 0.3525]",BoundedPareto-0-Ours,0.001,9.74,1.0,"[293, 288, 291, 294, 304, 303, 289, 291, 289, 294]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 19:24,0.6331,"[0.1372, 0.1011, 0.1624, 0.2322, 0.2641, 0.2496, 0.3378, 0.4852, 0.5331, 0.5575, 0.5677, 0.5545, 0.6047, 0.6223, 0.6723]",0.2428,"[0.1062, 0.1133, 0.1403, 0.1537, 0.1535, 0.1681, 0.1958, 0.1931, 0.1972, 0.2115, 0.2116, 0.2296, 0.2403, 0.2455, 0.2425]",BoundedPareto-0-Ours,0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 19:26,0.7071,"[0.1629, 0.2039, 0.2896, 0.4077, 0.4717, 0.499, 0.5526, 0.6245, 0.6249, 0.6402, 0.677, 0.6797, 0.6946, 0.7005, 0.7261]",0.2868,"[0.1072, 0.1432, 0.1507, 0.175, 0.1993, 0.2259, 0.2379, 0.2523, 0.2697, 0.2779, 0.274, 0.2721, 0.2802, 0.295, 0.2852]",BoundedPareto-0-Ours,0.001,9.74,1.0,"[120, 116, 120, 120, 125, 126, 117, 117, 119, 120]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 19:28,0.8275,"[0.1115, 0.1745, 0.4079, 0.4567, 0.5539, 0.6265, 0.7047, 0.7294, 0.7577, 0.7743, 0.7965, 0.8041, 0.8147, 0.8265, 0.8412]",0.3675,"[0.1032, 0.1379, 0.1827, 0.1967, 0.2213, 0.2508, 0.2833, 0.3012, 0.3177, 0.3388, 0.3323, 0.3425, 0.3597, 0.3781, 0.3648]",BoundedMixGauss-0-Ours,0.001,9.74,1.0,"[411, 451, 447, 428, 439, 450, 444, 448, 445, 427]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 19:29,0.6331,"[0.1372, 0.1011, 0.1624, 0.2322, 0.2641, 0.2496, 0.3378, 0.4852, 0.5331, 0.5575, 0.5677, 0.5545, 0.6047, 0.6223, 0.6723]",0.2428,"[0.1062, 0.1133, 0.1403, 0.1537, 0.1535, 0.1681, 0.1958, 0.1931, 0.1972, 0.2115, 0.2116, 0.2296, 0.2403, 0.2455, 0.2425]",BoundedMixGauss-0-Ours,0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-27 19:31,0.7635,"[0.1148, 0.1412, 0.1437, 0.2836, 0.4901, 0.4962, 0.5443, 0.6017, 0.6587, 0.6946, 0.7115, 0.7019, 0.7472, 0.7628, 0.7805]",0.2816,"[0.1032, 0.1258, 0.1503, 0.1706, 0.1892, 0.2002, 0.2313, 0.2225, 0.2413, 0.2485, 0.2752, 0.2765, 0.2836, 0.2795, 0.2818]",BoundedMixGauss-0-Ours,0.001,9.74,1.0,"[166, 177, 177, 174, 173, 177, 177, 179, 172, 170]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-02 05:02,0.8238,"[0.1785, 0.2486, 0.4221, 0.4425, 0.5535, 0.6107, 0.709, 0.7182, 0.7579, 0.7793, 0.7924, 0.8038, 0.813, 0.8221, 0.8363]",0.3744,"[0.1028, 0.1494, 0.1908, 0.1969, 0.2248, 0.2553, 0.2925, 0.307, 0.3236, 0.3404, 0.3412, 0.3561, 0.3691, 0.3867, 0.3673]",ThreeLevels-0-Ours,0.001,9.74,1.0,"[435, 435, 435, 435, 435, 435, 435, 435, 435, 435]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-02 05:03,0.6331,"[0.1372, 0.1011, 0.1624, 0.2322, 0.2641, 0.2496, 0.3378, 0.4852, 0.5331, 0.5575, 0.5677, 0.5545, 0.6047, 0.6223, 0.6723]",0.2428,"[0.1062, 0.1133, 0.1403, 0.1537, 0.1535, 0.1681, 0.1958, 0.1931, 0.1972, 0.2115, 0.2116, 0.2296, 0.2403, 0.2455, 0.2425]",ThreeLevels-0-Ours,0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-02 05:05,0.7749,"[0.1113, 0.1364, 0.1062, 0.3083, 0.4796, 0.5192, 0.5565, 0.615, 0.667, 0.6908, 0.7226, 0.7193, 0.7581, 0.7716, 0.795]",0.286,"[0.1027, 0.13, 0.1534, 0.1735, 0.197, 0.2129, 0.2467, 0.2357, 0.2478, 0.2595, 0.289, 0.2782, 0.2858, 0.2857, 0.2866]",ThreeLevels-0-Ours,0.001,9.74,1.0,"[175, 175, 175, 175, 175, 175, 175, 175, 175, 175]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
