timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-04 12:31,0.5577,"[0.1085, 0.1632, 0.1986, 0.0846, 0.1086, 0.1725, 0.2651, 0.3352, 0.3846, 0.4886, 0.6426, 0.3568, 0.4455, 0.5842, 0.6435]",ThreeLevels-0-Ours,0.001,9.74,1.0,"[435, 435, 435, 435, 435, 425, 435, 435, 390, 409]",0.01,10,0.5
2026-03-04 12:32,0.2769,"[0.1032, 0.1454, 0.2085, 0.1676, 0.1139, 0.1013, 0.1954, 0.1855, 0.1889, 0.2479, 0.2546, 0.1583, 0.1118, 0.303, 0.4159]",ThreeLevels-0-StrongForAll(0.1),0.001,16.25,1.0,"[142, 142, 142, 142, 142, 139, 142, 142, 128, 134]",0.01,10,0.5
2026-03-04 12:33,0.4811,"[0.1064, 0.2211, 0.1648, 0.103, 0.1682, 0.1753, 0.3152, 0.2189, 0.2516, 0.2138, 0.5089, 0.285, 0.3983, 0.5266, 0.5185]",ThreeLevels-0-Dropout(0.7702712466441278),0.001,9.74,1.0,"[175, 175, 175, 175, 175, 171, 175, 175, 157, 164]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-04 12:34,0.5289,"[0.1031, 0.193, 0.1196, 0.1492, 0.1126, 0.167, 0.2752, 0.2134, 0.2656, 0.2465, 0.5759, 0.3571, 0.3985, 0.5703, 0.6178]",BoundedPareto-0-Ours,0.001,9.74,1.0,"[293, 288, 291, 294, 304, 296, 290, 291, 261, 275]",0.01,10,0.5
2026-03-04 12:35,0.2769,"[0.1032, 0.1454, 0.2085, 0.1676, 0.1139, 0.1013, 0.1954, 0.1855, 0.1889, 0.2479, 0.2546, 0.1583, 0.1118, 0.303, 0.4159]",BoundedPareto-0-StrongForAll(0.10000138417372431),0.001,16.25,1.0,"[142, 142, 142, 142, 142, 139, 142, 142, 128, 134]",0.01,10,0.5
2026-03-04 12:36,0.4915,"[0.1169, 0.1795, 0.1222, 0.1428, 0.2419, 0.1129, 0.2646, 0.2414, 0.3145, 0.3257, 0.4607, 0.4498, 0.3956, 0.4927, 0.5863]",BoundedPareto-0-Dropout(0.43183763881529635),0.001,9.74,1.0,"[120, 116, 120, 120, 125, 123, 117, 118, 107, 113]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-04 12:37,0.5414,"[0.1396, 0.2404, 0.1412, 0.1121, 0.108, 0.1687, 0.2773, 0.2789, 0.3804, 0.4627, 0.6416, 0.3791, 0.4247, 0.584, 0.6155]",BoundedMixGauss-0-Ours,0.001,9.74,1.0,"[411, 451, 447, 428, 439, 437, 448, 445, 402, 398]",0.01,10,0.5
2026-03-04 12:38,0.2769,"[0.1032, 0.1454, 0.2085, 0.1676, 0.1139, 0.1013, 0.1954, 0.1855, 0.1889, 0.2479, 0.2546, 0.1583, 0.1118, 0.303, 0.4159]",BoundedMixGauss-0-StrongForAll(0.1),0.001,16.25,1.0,"[142, 142, 142, 142, 142, 139, 142, 142, 128, 134]",0.01,10,0.5
2026-03-04 12:39,0.4853,"[0.1103, 0.2079, 0.1695, 0.1023, 0.1707, 0.1766, 0.3238, 0.2122, 0.2616, 0.2075, 0.5027, 0.3094, 0.4187, 0.5066, 0.5305]",BoundedMixGauss-0-Dropout(0.774458249469527),0.001,9.74,1.0,"[166, 177, 177, 174, 173, 172, 178, 179, 154, 160]",0.01,10,0.5
