type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.0982, 0.1422, 0.1811, 0.2356, 0.2957, 0.3098, 0.4183, 0.4264, 0.4904, 0.5552, 0.5393, 0.578, 0.6363, 0.6782, 0.6986]",0.671,0.1,0.001,13.75,1.0,128,42
personal,0.0,15,"[0.1093, 0.1283, 0.1414, 0.1534, 0.1788, 0.2005, 0.2188, 0.247, 0.2786, 0.2877, 0.3065, 0.3259, 0.3284, 0.3336, 0.3358]",0.3326,0.1,0.001,13.75,1.0,128,42
pooled,0.0,15,"[0.1089, 0.1262, 0.1409, 0.154, 0.1798, 0.201, 0.2174, 0.244, 0.2742, 0.2854, 0.3042, 0.3262, 0.3314, 0.3396, 0.3404]",0.3371,0.1,0.001,13.75,1.0,128,42
global,0.0,15,"[0.2365, 0.493, 0.6043, 0.6853, 0.7636, 0.8133, 0.8231, 0.8468, 0.8596, 0.877, 0.8688, 0.8731, 0.8855, 0.8699, 0.8782]",0.8779,0.5,0.001,3.67,1.0,128,42
personal,0.0,15,"[0.168, 0.208, 0.2822, 0.3956, 0.4762, 0.5161, 0.5447, 0.5997, 0.6419, 0.6863, 0.7055, 0.7244, 0.738, 0.7561, 0.7625]",0.7522,0.5,0.001,3.67,1.0,128,42
pooled,0.0,15,"[0.1669, 0.2041, 0.2804, 0.3948, 0.4775, 0.5188, 0.5469, 0.5968, 0.6372, 0.6816, 0.7011, 0.719, 0.7372, 0.7577, 0.7648]",0.7532,0.5,0.001,3.67,1.0,128,42
global,0.0,15,"[0.1877, 0.7204, 0.7915, 0.8379, 0.8635, 0.8765, 0.8956, 0.8926, 0.9006, 0.9086, 0.9004, 0.9088, 0.916, 0.9095, 0.9103]",0.9119,1.0,0.001,2.13,1.0,128,42
personal,0.0,15,"[0.1694, 0.2337, 0.3339, 0.4828, 0.5859, 0.6608, 0.685, 0.7276, 0.7501, 0.7799, 0.7992, 0.8162, 0.8184, 0.8293, 0.832]",0.8266,1.0,0.001,2.13,1.0,128,42
pooled,0.0,15,"[0.1677, 0.2316, 0.3372, 0.486, 0.5882, 0.6583, 0.6818, 0.7269, 0.7471, 0.7775, 0.7979, 0.8119, 0.8186, 0.8285, 0.8311]",0.8261,1.0,0.001,2.13,1.0,128,42
global,0.0,15,"[0.4435, 0.8098, 0.89, 0.9169, 0.9235, 0.9304, 0.9333, 0.9331, 0.9379, 0.9415, 0.9315, 0.9389, 0.9449, 0.9428, 0.9428]",0.9435,4.0,0.001,0.94,1.0,128,42
