type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.3145, 0.5569, 0.7064, 0.8202, 0.8272, 0.8582, 0.8638, 0.8828, 0.8865, 0.8872, 0.8854, 0.89, 0.9008, 0.8969, 0.8997]",0.8991,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.0,15,"[0.3161, 0.5061, 0.6285, 0.7442, 0.8224, 0.8551, 0.8664, 0.881, 0.887, 0.9311, 0.9355, 0.9419, 0.9426, 0.9463, 0.9476]",0.9455,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.0,15,"[0.3124, 0.504, 0.6277, 0.7429, 0.8245, 0.855, 0.8675, 0.8799, 0.886, 0.9315, 0.9359, 0.9418, 0.9422, 0.9459, 0.9484]",0.9455,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.0,15,"[0.3044, 0.4577, 0.5775, 0.7073, 0.7486, 0.8275, 0.8319, 0.8476, 0.8627, 0.8653, 0.8673, 0.875, 0.8841, 0.878, 0.8796]",0.8806,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.0,15,"[0.2863, 0.4531, 0.6274, 0.7327, 0.8296, 0.8612, 0.8647, 0.8823, 0.8944, 0.9295, 0.9336, 0.9331, 0.9421, 0.941, 0.9429]",0.942,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.0,15,"[0.2834, 0.4492, 0.6252, 0.7323, 0.8294, 0.8598, 0.8646, 0.8818, 0.8928, 0.9303, 0.9329, 0.9356, 0.9429, 0.9408, 0.9456]",0.9431,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.0,15,"[0.196, 0.5993, 0.7485, 0.826, 0.8476, 0.8685, 0.8634, 0.8867, 0.8881, 0.886, 0.8811, 0.891, 0.9031, 0.891, 0.8987]",0.8976,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.0,15,"[0.3421, 0.508, 0.6307, 0.7575, 0.867, 0.8865, 0.8863, 0.8953, 0.9052, 0.9292, 0.9357, 0.9357, 0.9406, 0.9437, 0.9496]",0.9446,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.0,15,"[0.3367, 0.5025, 0.6274, 0.7538, 0.8674, 0.8857, 0.8866, 0.8957, 0.9047, 0.9292, 0.9359, 0.9359, 0.9408, 0.9424, 0.9497]",0.9443,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.0,30,"[0.3145, 0.5569, 0.7064, 0.8202, 0.8272, 0.8582, 0.8638, 0.8828, 0.8865, 0.8872, 0.8854, 0.89, 0.9008, 0.8969, 0.8997]",0.8991,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.0,30,"[0.3962, 0.6307, 0.7416, 0.899, 0.9242, 0.9358, 0.9385, 0.9375, 0.9424, 0.9491, 0.95, 0.9467, 0.9479, 0.953, 0.9554]",0.9521,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.0,30,"[0.3955, 0.628, 0.7423, 0.9022, 0.9276, 0.9376, 0.9395, 0.9386, 0.9419, 0.9498, 0.9512, 0.9491, 0.9485, 0.954, 0.9555]",0.9527,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.0,30,"[0.3044, 0.4577, 0.5775, 0.7073, 0.7486, 0.8275, 0.8319, 0.8476, 0.8627, 0.8653, 0.8673, 0.875, 0.8841, 0.878, 0.8796]",0.8806,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.0,30,"[0.3952, 0.6234, 0.7338, 0.8968, 0.9302, 0.9355, 0.9356, 0.9361, 0.94, 0.9507, 0.9563, 0.9565, 0.9575, 0.9602, 0.9603]",0.9593,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.0,30,"[0.3931, 0.6193, 0.7331, 0.8977, 0.9305, 0.9358, 0.9375, 0.9389, 0.9403, 0.9513, 0.9552, 0.9552, 0.9554, 0.9575, 0.9578]",0.9569,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.0,30,"[0.196, 0.5993, 0.7485, 0.826, 0.8476, 0.8685, 0.8634, 0.8867, 0.8881, 0.886, 0.8811, 0.891, 0.9031, 0.891, 0.8987]",0.8976,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.0,30,"[0.4135, 0.6425, 0.7402, 0.8986, 0.9265, 0.932, 0.9357, 0.943, 0.94, 0.9466, 0.9473, 0.9512, 0.9538, 0.9528, 0.9548]",0.9538,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.0,30,"[0.4113, 0.6399, 0.739, 0.8989, 0.9264, 0.9327, 0.9371, 0.9434, 0.9403, 0.9489, 0.9497, 0.9535, 0.9546, 0.9535, 0.9557]",0.9546,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.001,15,"[0.3145, 0.5569, 0.7064, 0.8202, 0.8272, 0.8582, 0.8638, 0.8828, 0.8865, 0.8872, 0.8854, 0.89, 0.9008, 0.8969, 0.8997]",0.8991,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
