type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1882, 0.2676, 0.2276, 0.3525, 0.39, 0.4886, 0.4611, 0.5844, 0.595, 0.5864, 0.6442, 0.6523, 0.6926, 0.7258, 0.7645]",0.7276,0.1,0.001,13.75,1.0,128,42
personal,0.0,15,"[0.3161, 0.5061, 0.6285, 0.7442, 0.8224, 0.8551, 0.8664, 0.881, 0.887, 0.9311, 0.9355, 0.9419, 0.9426, 0.9463, 0.9476]",0.9455,0.1,0.001,13.75,1.0,128,42
pooled,0.0,15,"[0.3124, 0.504, 0.6277, 0.7429, 0.8245, 0.855, 0.8675, 0.8799, 0.886, 0.9315, 0.9359, 0.9418, 0.9422, 0.9459, 0.9484]",0.9455,0.1,0.001,13.75,1.0,128,42
global,0.0,15,"[0.2657, 0.4958, 0.6168, 0.751, 0.7685, 0.8278, 0.838, 0.8611, 0.8694, 0.8714, 0.8611, 0.8721, 0.8885, 0.8836, 0.8885]",0.8869,0.5,0.001,3.67,1.0,128,42
personal,0.0,15,"[0.3161, 0.5061, 0.6285, 0.7442, 0.8224, 0.8551, 0.8664, 0.881, 0.887, 0.9311, 0.9355, 0.9419, 0.9426, 0.9463, 0.9476]",0.9455,0.5,0.001,3.67,1.0,128,42
pooled,0.0,15,"[0.3124, 0.504, 0.6277, 0.7429, 0.8245, 0.855, 0.8675, 0.8799, 0.886, 0.9315, 0.9359, 0.9418, 0.9422, 0.9459, 0.9484]",0.9455,0.5,0.001,3.67,1.0,128,42
global,0.0,15,"[0.3002, 0.6907, 0.8172, 0.8629, 0.8577, 0.8811, 0.8821, 0.8995, 0.9045, 0.9028, 0.9024, 0.9047, 0.9127, 0.9142, 0.9189]",0.9153,1.0,0.001,2.13,1.0,128,42
personal,0.0,15,"[0.3161, 0.5061, 0.6285, 0.7442, 0.8224, 0.8551, 0.8664, 0.881, 0.887, 0.9311, 0.9355, 0.9419, 0.9426, 0.9463, 0.9476]",0.9455,1.0,0.001,2.13,1.0,128,42
pooled,0.0,15,"[0.3124, 0.504, 0.6277, 0.7429, 0.8245, 0.855, 0.8675, 0.8799, 0.886, 0.9315, 0.9359, 0.9418, 0.9422, 0.9459, 0.9484]",0.9455,1.0,0.001,2.13,1.0,128,42
global,0.0,15,"[0.1882, 0.2676, 0.2276, 0.3525, 0.39, 0.4886, 0.4611, 0.5844, 0.595, 0.5864, 0.6442, 0.6523, 0.6926, 0.7258, 0.7645]",0.7276,0.1,0.001,13.75,1.0,128,42
personal,0.0,15,"[0.3161, 0.5061, 0.6285, 0.7442, 0.8224, 0.8551, 0.8664, 0.881, 0.887, 0.9311, 0.9355, 0.9419, 0.9426, 0.9463, 0.9476]",0.9455,0.1,0.001,13.75,1.0,128,42
pooled,0.0,15,"[0.3124, 0.504, 0.6277, 0.7429, 0.8245, 0.855, 0.8675, 0.8799, 0.886, 0.9315, 0.9359, 0.9418, 0.9422, 0.9459, 0.9484]",0.9455,0.1,0.001,13.75,1.0,128,42
global,0.0,15,"[0.5592, 0.8646, 0.893, 0.9115, 0.9144, 0.9232, 0.926, 0.9328, 0.9359, 0.9364, 0.9372, 0.9375, 0.9396, 0.9434, 0.9473]",0.9434,4.0,0.001,0.94,1.0,128,42
personal,0.0,15,"[0.3161, 0.5061, 0.6285, 0.7442, 0.8224, 0.8551, 0.8664, 0.881, 0.887, 0.9311, 0.9355, 0.9419, 0.9426, 0.9463, 0.9476]",0.9455,4.0,0.001,0.94,1.0,128,42
pooled,0.0,15,"[0.3124, 0.504, 0.6277, 0.7429, 0.8245, 0.855, 0.8675, 0.8799, 0.886, 0.9315, 0.9359, 0.9418, 0.9422, 0.9459, 0.9484]",0.9455,4.0,0.001,0.94,1.0,128,42
global,0.001,15,"[0.1882, 0.2676, 0.2276, 0.3525, 0.39, 0.4886, 0.4611, 0.5844, 0.595, 0.5864, 0.6442, 0.6523, 0.6926, 0.7258, 0.7645]",0.7276,0.1,0.001,13.75,1.0,128,42
personal,0.001,15,"[0.3044, 0.4899, 0.6007, 0.7447, 0.8408, 0.8621, 0.8764, 0.8824, 0.8872, 0.932, 0.9391, 0.9456, 0.9469, 0.9457, 0.9445]",0.9457,0.1,0.001,13.75,1.0,128,42
pooled,0.001,15,"[0.3025, 0.4895, 0.6027, 0.7436, 0.8415, 0.8628, 0.8762, 0.8829, 0.888, 0.9338, 0.9408, 0.9457, 0.9463, 0.9461, 0.9455]",0.946,0.1,0.001,13.75,1.0,128,42
global,0.01,15,"[0.1882, 0.2676, 0.2276, 0.3525, 0.39, 0.4886, 0.4611, 0.5844, 0.595, 0.5864, 0.6442, 0.6523, 0.6926, 0.7258, 0.7645]",0.7276,0.1,0.001,13.75,1.0,128,42
personal,0.01,15,"[0.3195, 0.5143, 0.6466, 0.7879, 0.8575, 0.8878, 0.8955, 0.8975, 0.896, 0.9282, 0.9379, 0.9396, 0.942, 0.9422, 0.9441]",0.9428,0.1,0.001,13.75,1.0,128,42
pooled,0.01,15,"[0.3156, 0.5135, 0.6465, 0.7886, 0.858, 0.8877, 0.8955, 0.8974, 0.8948, 0.9297, 0.9387, 0.94, 0.9405, 0.9414, 0.9437]",0.9419,0.1,0.001,13.75,1.0,128,42
global,0.0,15,"[0.589, 0.8847, 0.9055, 0.9212, 0.9276, 0.9308, 0.9354, 0.9391, 0.9433, 0.9457, 0.9456, 0.9468, 0.9494, 0.9502, 0.9524]",0.9507,8.0,0.001,0.72,1.0,128,42
personal,0.0,15,"[0.3161, 0.5061, 0.6285, 0.7442, 0.8224, 0.8551, 0.8664, 0.881, 0.887, 0.9311, 0.9355, 0.9419, 0.9426, 0.9463, 0.9476]",0.9455,8.0,0.001,0.72,1.0,128,42
pooled,0.0,15,"[0.3124, 0.504, 0.6277, 0.7429, 0.8245, 0.855, 0.8675, 0.8799, 0.886, 0.9315, 0.9359, 0.9418, 0.9422, 0.9459, 0.9484]",0.9455,8.0,0.001,0.72,1.0,128,42
global,0.1,15,"[0.1882, 0.2676, 0.2276, 0.3525, 0.39, 0.4886, 0.4611, 0.5844, 0.595, 0.5864, 0.6442, 0.6523, 0.6926, 0.7258, 0.7645]",0.7276,0.1,0.001,13.75,1.0,128,42
personal,0.1,15,"[0.2942, 0.4894, 0.64, 0.8005, 0.8706, 0.8712, 0.8887, 0.8946, 0.882, 0.8784, 0.8857, 0.9029, 0.8862, 0.8953, 0.8945]",0.892,0.1,0.001,13.75,1.0,128,42
pooled,0.1,15,"[0.2934, 0.4877, 0.6388, 0.7994, 0.8695, 0.8724, 0.8889, 0.8948, 0.8816, 0.8797, 0.8854, 0.9004, 0.8835, 0.8918, 0.8958]",0.8904,0.1,0.001,13.75,1.0,128,42
global,0.0,15,"[0.6572, 0.888, 0.9195, 0.9314, 0.94, 0.9414, 0.9435, 0.9458, 0.951, 0.9511, 0.9503, 0.9541, 0.9543, 0.9556, 0.9581]",0.956,16.0,0.001,0.57,1.0,128,42
personal,0.0,15,"[0.3161, 0.5061, 0.6285, 0.7442, 0.8224, 0.8551, 0.8664, 0.881, 0.887, 0.9311, 0.9355, 0.9419, 0.9426, 0.9463, 0.9476]",0.9455,16.0,0.001,0.57,1.0,128,42
pooled,0.0,15,"[0.3124, 0.504, 0.6277, 0.7429, 0.8245, 0.855, 0.8675, 0.8799, 0.886, 0.9315, 0.9359, 0.9418, 0.9422, 0.9459, 0.9484]",0.9455,16.0,0.001,0.57,1.0,128,42
global,1.0,15,"[0.1882, 0.2676, 0.2276, 0.3525, 0.39, 0.4886, 0.4611, 0.5844, 0.595, 0.5864, 0.6442, 0.6523, 0.6926, 0.7258, 0.7645]",0.7276,0.1,0.001,13.75,1.0,128,42
personal,1.0,15,"[0.1058, 0.2408, 0.3841, 0.5349, 0.5851, 0.6559, 0.6462, 0.6842, 0.6836, 0.7059, 0.7265, 0.7416, 0.7672, 0.7704, 0.7893]",0.7756,0.1,0.001,13.75,1.0,128,42
pooled,1.0,15,"[0.1058, 0.242, 0.3898, 0.5386, 0.5872, 0.6555, 0.6503, 0.6875, 0.6861, 0.7075, 0.7294, 0.7402, 0.7665, 0.7702, 0.7931]",0.7766,0.1,0.001,13.75,1.0,128,42
global,0.0,30,"[0.1882, 0.2676, 0.2276, 0.3525, 0.39, 0.4886, 0.4611, 0.5844, 0.595, 0.5864, 0.6442, 0.6523, 0.6926, 0.7258, 0.7645]",0.7276,0.1,0.001,13.75,1.0,128,42
personal,0.0,30,"[0.3962, 0.6307, 0.7416, 0.899, 0.9242, 0.9358, 0.9385, 0.9375, 0.9424, 0.9491, 0.95, 0.9467, 0.9479, 0.953, 0.9554]",0.9521,0.1,0.001,13.75,1.0,128,42
pooled,0.0,30,"[0.3955, 0.628, 0.7423, 0.9022, 0.9276, 0.9376, 0.9395, 0.9386, 0.9419, 0.9498, 0.9512, 0.9491, 0.9485, 0.954, 0.9555]",0.9527,0.1,0.001,13.75,1.0,128,42
