type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.5126, 0.9607, 0.9729, 0.9774, 0.9778, 0.9806, 0.9821, 0.9816, 0.9833, 0.9836, 0.9822, 0.983, 0.9847, 0.984, 0.9859]",0.9849,PrivacyFree,,,,128,42
personal,0.0,15,"[0.3115, 0.4619, 0.5871, 0.7368, 0.8268, 0.8564, 0.8659, 0.8732, 0.8802, 0.917, 0.9294, 0.9327, 0.9395, 0.9426, 0.9421]",0.9414,PrivacyFree,,,,128,42
pooled,0.0,15,"[0.3117, 0.4635, 0.5884, 0.7352, 0.8248, 0.8553, 0.8646, 0.8746, 0.8813, 0.9149, 0.9291, 0.9336, 0.9397, 0.9437, 0.9442]",0.9425,PrivacyFree,,,,128,42
global,0.0,15,"[0.6652, 0.9579, 0.9713, 0.9763, 0.9769, 0.9804, 0.982, 0.9787, 0.9796, 0.98, 0.982, 0.9827, 0.9825, 0.9824, 0.9839]",0.9829,PrivacyFree,,,,128,43
personal,0.0,15,"[0.4138, 0.6059, 0.7675, 0.8472, 0.8757, 0.8962, 0.9005, 0.9049, 0.907, 0.9273, 0.9302, 0.9322, 0.9357, 0.938, 0.9448]",0.9395,PrivacyFree,,,,128,43
pooled,0.0,15,"[0.4152, 0.6045, 0.7667, 0.8438, 0.8743, 0.8973, 0.9014, 0.9061, 0.9075, 0.9267, 0.9294, 0.9315, 0.9357, 0.9379, 0.9443]",0.9393,PrivacyFree,,,,128,43
global,0.0,15,"[0.4404, 0.95, 0.9649, 0.9721, 0.9773, 0.9799, 0.9808, 0.9834, 0.9827, 0.9821, 0.9845, 0.9825, 0.9838, 0.9841, 0.9854]",0.9844,PrivacyFree,,,,128,44
personal,0.0,15,"[0.4437, 0.5467, 0.6695, 0.7238, 0.7242, 0.8064, 0.8308, 0.8721, 0.8807, 0.8829, 0.8882, 0.8879, 0.9207, 0.9346, 0.939]",0.9314,PrivacyFree,,,,128,44
pooled,0.0,15,"[0.4458, 0.5491, 0.6676, 0.7236, 0.7235, 0.8056, 0.8284, 0.8699, 0.8796, 0.8823, 0.8876, 0.8884, 0.9217, 0.9378, 0.9413]",0.9336,PrivacyFree,,,,128,44
global,0.0,15,"[0.9214, 0.9611, 0.9703, 0.9741, 0.9743, 0.978, 0.978, 0.9814, 0.9814, 0.9821, 0.9843, 0.9833, 0.9846, 0.9848, 0.9845]",0.9846,PrivacyFree,,,,128,45
personal,0.0,15,"[0.1873, 0.2817, 0.6123, 0.6842, 0.8001, 0.8567, 0.8681, 0.9039, 0.9059, 0.9127, 0.932, 0.945, 0.943, 0.9433, 0.9458]",0.944,PrivacyFree,,,,128,45
pooled,0.0,15,"[0.1845, 0.2789, 0.6128, 0.6833, 0.8013, 0.8559, 0.868, 0.9033, 0.9055, 0.9134, 0.9326, 0.9443, 0.9425, 0.944, 0.9453]",0.9439,PrivacyFree,,,,128,45
global,0.0,15,"[0.5314, 0.9557, 0.9707, 0.972, 0.9784, 0.98, 0.9798, 0.9816, 0.9812, 0.9823, 0.9845, 0.9858, 0.9851, 0.9847, 0.9854]",0.9851,PrivacyFree,,,,128,46
personal,0.0,15,"[0.1689, 0.3691, 0.5687, 0.68, 0.8248, 0.8555, 0.8912, 0.9136, 0.9214, 0.9268, 0.9292, 0.9343, 0.9396, 0.9397, 0.9414]",0.9402,PrivacyFree,,,,128,46
pooled,0.0,15,"[0.17, 0.3713, 0.5747, 0.6816, 0.8249, 0.8563, 0.893, 0.9144, 0.9209, 0.927, 0.9301, 0.9347, 0.9395, 0.9392, 0.9409]",0.9399,PrivacyFree,,,,128,46
global,0.0,15,"[0.5126, 0.9607, 0.9729, 0.9774, 0.9778, 0.9806, 0.9821, 0.9816, 0.9833, 0.9836, 0.9822, 0.983, 0.9847, 0.984, 0.9859]",0.9849,PrivacyFree,,,,128,42
personal,0.0,15,"[0.3115, 0.4619, 0.5871, 0.7368, 0.8268, 0.8564, 0.8659, 0.8732, 0.8802, 0.917, 0.9294, 0.9327, 0.9395, 0.9426, 0.9421]",0.9414,PrivacyFree,,,,128,42
pooled,0.0,15,"[0.3117, 0.4635, 0.5884, 0.7352, 0.8248, 0.8553, 0.8646, 0.8746, 0.8813, 0.9149, 0.9291, 0.9336, 0.9397, 0.9437, 0.9442]",0.9425,PrivacyFree,,,,128,42
global,0.001,15,"[0.5126, 0.9607, 0.9729, 0.9774, 0.9778, 0.9806, 0.9821, 0.9816, 0.9833, 0.9836, 0.9822, 0.983, 0.9847, 0.984, 0.9859]",0.9849,PrivacyFree,,,,128,42
personal,0.001,15,"[0.3013, 0.5012, 0.6383, 0.8161, 0.8844, 0.9087, 0.9157, 0.9256, 0.9321, 0.9438, 0.9456, 0.945, 0.9451, 0.9451, 0.9492]",0.9465,PrivacyFree,,,,128,42
pooled,0.001,15,"[0.3005, 0.4996, 0.633, 0.8149, 0.8821, 0.91, 0.9181, 0.9255, 0.933, 0.943, 0.9461, 0.9466, 0.9469, 0.9472, 0.9513]",0.9485,PrivacyFree,,,,128,42
global,0.01,15,"[0.5126, 0.9607, 0.9729, 0.9774, 0.9778, 0.9806, 0.9821, 0.9816, 0.9833, 0.9836, 0.9822, 0.983, 0.9847, 0.984, 0.9859]",0.9849,PrivacyFree,,,,128,42
personal,0.01,15,"[0.3099, 0.5434, 0.6873, 0.8635, 0.9189, 0.9391, 0.9402, 0.9479, 0.9527, 0.9602, 0.9624, 0.9643, 0.9663, 0.9666, 0.9706]",0.9678,PrivacyFree,,,,128,42
pooled,0.01,15,"[0.3097, 0.5419, 0.6858, 0.8622, 0.9195, 0.9393, 0.9405, 0.9477, 0.9523, 0.9595, 0.9621, 0.9623, 0.9648, 0.9665, 0.9706]",0.9673,PrivacyFree,,,,128,42
global,0.1,15,"[0.5126, 0.9607, 0.9729, 0.9774, 0.9778, 0.9806, 0.9821, 0.9816, 0.9833, 0.9836, 0.9822, 0.983, 0.9847, 0.984, 0.9859]",0.9849,PrivacyFree,,,,128,42
personal,0.1,15,"[0.3138, 0.5646, 0.7156, 0.9, 0.952, 0.9588, 0.9632, 0.9696, 0.9731, 0.9781, 0.9785, 0.9793, 0.9787, 0.9795, 0.9819]",0.98,PrivacyFree,,,,128,42
pooled,0.1,15,"[0.3121, 0.5619, 0.716, 0.9013, 0.9533, 0.9602, 0.9642, 0.97, 0.9729, 0.978, 0.9786, 0.9791, 0.9789, 0.9802, 0.9816]",0.9802,PrivacyFree,,,,128,42
global,1.0,15,"[0.5126, 0.9607, 0.9729, 0.9774, 0.9778, 0.9806, 0.9821, 0.9816, 0.9833, 0.9836, 0.9822, 0.983, 0.9847, 0.984, 0.9859]",0.9849,PrivacyFree,,,,128,42
personal,1.0,15,"[0.1108, 0.4102, 0.6744, 0.866, 0.9688, 0.9726, 0.9736, 0.9779, 0.9798, 0.9825, 0.9821, 0.9821, 0.9817, 0.9833, 0.9842]",0.9831,PrivacyFree,,,,128,42
pooled,1.0,15,"[0.1113, 0.4089, 0.6734, 0.8666, 0.9693, 0.9734, 0.9747, 0.9786, 0.9797, 0.9815, 0.9816, 0.9821, 0.9814, 0.9827, 0.9835]",0.9825,PrivacyFree,,,,128,42
global,5.0,15,"[0.5126, 0.9607, 0.9729, 0.9774, 0.9778, 0.9806, 0.9821, 0.9816, 0.9833, 0.9836, 0.9822, 0.983, 0.9847, 0.984, 0.9859]",0.9849,PrivacyFree,,,,128,42
personal,5.0,15,"[0.1003, 0.3431, 0.6556, 0.8585, 0.9735, 0.9767, 0.9764, 0.9795, 0.9799, 0.9834, 0.9826, 0.9827, 0.9826, 0.9845, 0.9847]",0.9839,PrivacyFree,,,,128,42
pooled,5.0,15,"[0.0998, 0.3428, 0.6542, 0.8584, 0.9729, 0.9766, 0.9769, 0.98, 0.9802, 0.9825, 0.9827, 0.9824, 0.9821, 0.9835, 0.9839]",0.9832,PrivacyFree,,,,128,42
global,10.0,15,"[0.5126, 0.9607, 0.9729, 0.9774, 0.9778, 0.9806, 0.9821, 0.9816, 0.9833, 0.9836, 0.9822, 0.983, 0.9847, 0.984, 0.9859]",0.9849,PrivacyFree,,,,128,42
personal,10.0,15,"[0.1, 0.3093, 0.6352, 0.8483, 0.9733, 0.9763, 0.976, 0.9793, 0.9802, 0.9834, 0.9823, 0.9822, 0.9825, 0.9842, 0.9847]",0.9838,PrivacyFree,,,,128,42
pooled,10.0,15,"[0.0996, 0.3091, 0.635, 0.8487, 0.9725, 0.9762, 0.9766, 0.9797, 0.98, 0.9824, 0.9825, 0.9821, 0.9822, 0.9837, 0.9839]",0.9833,PrivacyFree,,,,128,42
global,15.0,15,"[0.5126, 0.9607, 0.9729, 0.9774, 0.9778, 0.9806, 0.9821, 0.9816, 0.9833, 0.9836, 0.9822, 0.983, 0.9847, 0.984, 0.9859]",0.9849,PrivacyFree,,,,128,42
personal,15.0,15,"[0.103, 0.299, 0.6301, 0.8459, 0.9737, 0.9763, 0.9763, 0.9793, 0.9801, 0.9835, 0.9825, 0.9823, 0.9823, 0.9839, 0.9843]",0.9835,PrivacyFree,,,,128,42
pooled,15.0,15,"[0.1013, 0.2982, 0.6288, 0.8455, 0.9723, 0.9758, 0.9764, 0.9795, 0.9799, 0.9824, 0.9825, 0.9818, 0.982, 0.9836, 0.9838]",0.9831,PrivacyFree,,,,128,42
global,20.0,15,"[0.5126, 0.9607, 0.9729, 0.9774, 0.9778, 0.9806, 0.9821, 0.9816, 0.9833, 0.9836, 0.9822, 0.983, 0.9847, 0.984, 0.9859]",0.9849,PrivacyFree,,,,128,42
