type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.3258, 0.6569, 0.7689, 0.7954, 0.812, 0.8148, 0.822, 0.8161, 0.8332, 0.8317, 0.8349, 0.8411, 0.8576, 0.8669, 0.8582]",0.8609,ThreeLevels-0-SCF,0.001,9.74,1.0,893,42
personal,0.0,15,"[0.2807, 0.4946, 0.6891, 0.7357, 0.8046, 0.8531, 0.8914, 0.9114, 0.9231, 0.9286, 0.9316, 0.935, 0.9378, 0.9375, 0.9416]",0.939,ThreeLevels-0-SCF,0.001,9.74,1.0,893,42
pooled,0.0,15,"[0.2824, 0.4935, 0.6935, 0.7353, 0.8054, 0.8539, 0.8925, 0.9123, 0.9227, 0.9282, 0.932, 0.9353, 0.9388, 0.9385, 0.9425]",0.9399,ThreeLevels-0-SCF,0.001,9.74,1.0,893,42
global,0.0,15,"[0.3055, 0.6713, 0.7557, 0.7892, 0.7976, 0.8196, 0.8249, 0.8235, 0.8573, 0.8562, 0.8819, 0.881, 0.8666, 0.9019, 0.8895]",0.886,ThreeLevels-0-SCF,0.001,9.74,1.0,893,43
personal,0.0,15,"[0.4339, 0.6575, 0.755, 0.8043, 0.8482, 0.877, 0.8881, 0.8981, 0.9262, 0.9364, 0.9381, 0.9425, 0.9441, 0.9412, 0.9429]",0.9427,ThreeLevels-0-SCF,0.001,9.74,1.0,893,43
pooled,0.0,15,"[0.4309, 0.6569, 0.7586, 0.8042, 0.849, 0.8764, 0.8874, 0.897, 0.9256, 0.9345, 0.9347, 0.9399, 0.9429, 0.9412, 0.944]",0.9427,ThreeLevels-0-SCF,0.001,9.74,1.0,893,43
global,0.0,15,"[0.3469, 0.6956, 0.7858, 0.8087, 0.8242, 0.828, 0.8304, 0.8504, 0.8411, 0.8627, 0.8727, 0.8861, 0.8881, 0.8944, 0.9109]",0.8978,ThreeLevels-0-SCF,0.001,9.74,1.0,893,44
personal,0.0,15,"[0.3179, 0.4975, 0.6485, 0.769, 0.8133, 0.8352, 0.8985, 0.9086, 0.9196, 0.9213, 0.9303, 0.9382, 0.9436, 0.9424, 0.9403]",0.9421,ThreeLevels-0-SCF,0.001,9.74,1.0,893,44
pooled,0.0,15,"[0.3209, 0.4997, 0.6535, 0.7718, 0.8162, 0.8379, 0.8985, 0.9074, 0.9187, 0.9208, 0.9308, 0.9367, 0.9415, 0.9427, 0.9418]",0.942,ThreeLevels-0-SCF,0.001,9.74,1.0,893,44
global,0.0,15,"[0.3748, 0.6951, 0.7834, 0.7996, 0.8145, 0.8258, 0.8225, 0.836, 0.8363, 0.8477, 0.844, 0.8502, 0.8773, 0.8837, 0.8745]",0.8785,ThreeLevels-0-SCF,0.001,9.74,1.0,893,45
personal,0.0,15,"[0.2129, 0.519, 0.6873, 0.7669, 0.8099, 0.8894, 0.9096, 0.9124, 0.9174, 0.9229, 0.9258, 0.9346, 0.9388, 0.9416, 0.94]",0.9401,ThreeLevels-0-SCF,0.001,9.74,1.0,893,45
pooled,0.0,15,"[0.212, 0.5199, 0.6886, 0.7666, 0.8104, 0.8893, 0.9111, 0.912, 0.9172, 0.9224, 0.9252, 0.9342, 0.9392, 0.9417, 0.9419]",0.9409,ThreeLevels-0-SCF,0.001,9.74,1.0,893,45
global,0.0,15,"[0.2074, 0.6368, 0.7658, 0.7905, 0.7947, 0.81, 0.8245, 0.8497, 0.8554, 0.8566, 0.8593, 0.8659, 0.8873, 0.8758, 0.876]",0.8797,ThreeLevels-0-SCF,0.001,9.74,1.0,893,46
personal,0.0,15,"[0.2492, 0.398, 0.6288, 0.7398, 0.8041, 0.8604, 0.8805, 0.9009, 0.9135, 0.9243, 0.9299, 0.9344, 0.9375, 0.9408, 0.9404]",0.9396,ThreeLevels-0-SCF,0.001,9.74,1.0,893,46
pooled,0.0,15,"[0.2508, 0.3998, 0.624, 0.7362, 0.8029, 0.8595, 0.8833, 0.9015, 0.9151, 0.9255, 0.9305, 0.9353, 0.9385, 0.9407, 0.9412]",0.9401,ThreeLevels-0-SCF,0.001,9.74,1.0,893,46
global,1.0,15,"[0.3258, 0.6569, 0.7689, 0.7954, 0.812, 0.8148, 0.822, 0.8161, 0.8332, 0.8317, 0.8349, 0.8411, 0.8576, 0.8669, 0.8582]",0.8609,ThreeLevels-0-SCF,0.001,9.74,1.0,893,42
personal,1.0,15,"[0.1136, 0.4486, 0.6704, 0.7046, 0.7682, 0.8075, 0.8135, 0.83, 0.8378, 0.8441, 0.8516, 0.8478, 0.8509, 0.8568, 0.8689]",0.8589,ThreeLevels-0-SCF,0.001,9.74,1.0,893,42
pooled,1.0,15,"[0.1136, 0.4512, 0.6709, 0.7002, 0.7671, 0.8091, 0.8131, 0.8321, 0.8376, 0.8443, 0.8521, 0.8473, 0.851, 0.8541, 0.8701]",0.8584,ThreeLevels-0-SCF,0.001,9.74,1.0,893,42
global,1.0,15,"[0.3055, 0.6713, 0.7557, 0.7892, 0.7976, 0.8196, 0.8249, 0.8235, 0.8573, 0.8562, 0.8819, 0.881, 0.8666, 0.9019, 0.8895]",0.886,ThreeLevels-0-SCF,0.001,9.74,1.0,893,43
personal,1.0,15,"[0.1046, 0.466, 0.6236, 0.7126, 0.7619, 0.7918, 0.7954, 0.8227, 0.8348, 0.8258, 0.8582, 0.8628, 0.865, 0.8791, 0.8568]",0.867,ThreeLevels-0-SCF,0.001,9.74,1.0,893,43
pooled,1.0,15,"[0.1024, 0.4682, 0.6299, 0.7149, 0.7628, 0.7896, 0.7957, 0.8192, 0.8366, 0.8258, 0.8587, 0.8632, 0.8644, 0.8784, 0.8559]",0.8662,ThreeLevels-0-SCF,0.001,9.74,1.0,893,43
global,1.0,15,"[0.3469, 0.6956, 0.7858, 0.8087, 0.8242, 0.828, 0.8304, 0.8504, 0.8411, 0.8627, 0.8727, 0.8861, 0.8881, 0.8944, 0.9109]",0.8978,ThreeLevels-0-SCF,0.001,9.74,1.0,893,44
personal,1.0,15,"[0.118, 0.4314, 0.6291, 0.7567, 0.7896, 0.8095, 0.8545, 0.8655, 0.8517, 0.8653, 0.8537, 0.8631, 0.865, 0.8513, 0.8675]",0.8613,ThreeLevels-0-SCF,0.001,9.74,1.0,893,44
pooled,1.0,15,"[0.1206, 0.4335, 0.6329, 0.7594, 0.7909, 0.8107, 0.8574, 0.8631, 0.8513, 0.8668, 0.8549, 0.8632, 0.8655, 0.853, 0.8645]",0.861,ThreeLevels-0-SCF,0.001,9.74,1.0,893,44
global,1.0,15,"[0.3748, 0.6951, 0.7834, 0.7996, 0.8145, 0.8258, 0.8225, 0.836, 0.8363, 0.8477, 0.844, 0.8502, 0.8773, 0.8837, 0.8745]",0.8785,ThreeLevels-0-SCF,0.001,9.74,1.0,893,45
personal,1.0,15,"[0.1319, 0.4964, 0.7174, 0.7503, 0.783, 0.8274, 0.8466, 0.8348, 0.8475, 0.8616, 0.8524, 0.8435, 0.8348, 0.8595, 0.8605]",0.8516,ThreeLevels-0-SCF,0.001,9.74,1.0,893,45
pooled,1.0,15,"[0.1314, 0.4925, 0.7171, 0.7498, 0.7807, 0.8252, 0.8484, 0.8374, 0.8472, 0.8608, 0.8517, 0.847, 0.8398, 0.8608, 0.8634]",0.8547,ThreeLevels-0-SCF,0.001,9.74,1.0,893,45
global,1.0,15,"[0.2074, 0.6368, 0.7658, 0.7905, 0.7947, 0.81, 0.8245, 0.8497, 0.8554, 0.8566, 0.8593, 0.8659, 0.8873, 0.8758, 0.876]",0.8797,ThreeLevels-0-SCF,0.001,9.74,1.0,893,46
personal,1.0,15,"[0.111, 0.3492, 0.6882, 0.7953, 0.8114, 0.81, 0.8219, 0.8242, 0.8241, 0.8388, 0.8157, 0.8328, 0.8285, 0.832, 0.8336]",0.8314,ThreeLevels-0-SCF,0.001,9.74,1.0,893,46
pooled,1.0,15,"[0.1077, 0.3449, 0.6834, 0.7916, 0.8052, 0.807, 0.824, 0.8234, 0.8234, 0.8392, 0.8163, 0.8359, 0.8315, 0.8359, 0.8372]",0.8349,ThreeLevels-0-SCF,0.001,9.74,1.0,893,46
global,10.0,15,"[0.3258, 0.6569, 0.7689, 0.7954, 0.812, 0.8148, 0.822, 0.8161, 0.8332, 0.8317, 0.8349, 0.8411, 0.8576, 0.8669, 0.8582]",0.8609,ThreeLevels-0-SCF,0.001,9.74,1.0,893,42
personal,10.0,15,"[0.1016, 0.3285, 0.5927, 0.67, 0.7627, 0.8107, 0.8269, 0.8371, 0.8468, 0.841, 0.8412, 0.8515, 0.8537, 0.857, 0.8657]",0.8588,ThreeLevels-0-SCF,0.001,9.74,1.0,893,42
pooled,10.0,15,"[0.1025, 0.3342, 0.5976, 0.6693, 0.7606, 0.8124, 0.8252, 0.8363, 0.845, 0.8386, 0.8378, 0.8502, 0.8537, 0.8559, 0.8667]",0.8588,ThreeLevels-0-SCF,0.001,9.74,1.0,893,42
