perf,mean_perf,e,d,nm,norm,bs,seed
"[0.5218, 0.8341, 0.8894, 0.9023, 0.9142, 0.9177, 0.9242, 0.9299, 0.9281, 0.9339, 0.9398, 0.9387, 0.9441, 0.9392, 0.9418]",0.9417,5.0,0.001,0.84,1.0,128,42
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.4215, 0.8297, 0.8914, 0.912, 0.9212, 0.9211, 0.9291, 0.9316, 0.936, 0.9348, 0.9364, 0.9341, 0.9404, 0.9395, 0.945]",0.9416,5.0,0.001,0.84,1.0,128,43
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.5067, 0.8545, 0.8927, 0.9143, 0.9199, 0.9294, 0.9314, 0.9264, 0.936, 0.9344, 0.9411, 0.9401, 0.9437, 0.9375, 0.9453]",0.9422,5.0,0.001,0.84,1.0,128,44
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.4942, 0.8177, 0.8699, 0.8936, 0.9023, 0.9098, 0.9212, 0.9267, 0.9243, 0.926, 0.9334, 0.938, 0.9391, 0.9379, 0.9418]",0.9396,5.0,0.001,0.84,1.0,128,45
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.2519, 0.8357, 0.8865, 0.9091, 0.917, 0.9239, 0.9302, 0.933, 0.9318, 0.9376, 0.9431, 0.9416, 0.9462, 0.9475, 0.9489]",0.9475,5.0,0.001,0.84,1.0,128,46
