perf,mean_perf,e,d,nm,norm,bs,seed
"[0.3871, 0.9401, 0.957, 0.9707, 0.977, 0.9758, 0.9799, 0.9818, 0.9801, 0.9813, 0.9832, 0.9815, 0.9839, 0.984, 0.9839]",0.9839,PrivacyFree,,,,128,42
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.6997, 0.9655, 0.9722, 0.9767, 0.9775, 0.9788, 0.9815, 0.9802, 0.9812, 0.9842, 0.9848, 0.9842, 0.9842, 0.9847, 0.9862]",0.985,PrivacyFree,,,,128,43
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.5202, 0.9566, 0.9697, 0.9743, 0.9743, 0.9798, 0.9817, 0.9765, 0.9829, 0.9815, 0.9829, 0.9851, 0.9847, 0.9841, 0.9852]",0.9847,PrivacyFree,,,,128,44
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.6038, 0.9578, 0.9721, 0.9761, 0.9782, 0.9805, 0.9831, 0.9797, 0.9813, 0.9822, 0.983, 0.9859, 0.9854, 0.9852, 0.9851]",0.9852,PrivacyFree,,,,128,45
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.3903, 0.9481, 0.9681, 0.9755, 0.9773, 0.98, 0.9807, 0.9807, 0.9835, 0.9821, 0.9828, 0.9839, 0.983, 0.9846, 0.9843]",0.984,PrivacyFree,,,,128,46
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.3871, 0.9401, 0.957, 0.9707, 0.977, 0.9758, 0.9799, 0.9818, 0.9801, 0.9813, 0.9832, 0.9815, 0.9839, 0.984, 0.9839]",0.9839,PrivacyFree,,,,128,42
