perf,mean_perf,e,d,nm,norm,bs,seed
"[0.3778, 0.6472, 0.828, 0.9198, 0.9235, 0.9382, 0.9336, 0.9348, 0.9379, 0.943, 0.9027, 0.9101, 0.928, 0.9287, 0.935]",0.9306,5.0,0.001,0.84,1.0,128,42
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.4609, 0.7389, 0.8311, 0.8436, 0.925, 0.9171, 0.9368, 0.9207, 0.9183, 0.9225, 0.9175, 0.9332, 0.8984, 0.8794, 0.9137]",0.8972,5.0,0.001,0.84,1.0,128,43
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.4609, 0.6445, 0.6589, 0.7189, 0.7142, 0.9141, 0.9218, 0.9238, 0.8855, 0.8657, 0.8997, 0.9164, 0.9188, 0.9297, 0.9118]",0.9201,5.0,0.001,0.84,1.0,128,44
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.6057, 0.7043, 0.8217, 0.8494, 0.8352, 0.9298, 0.9306, 0.8791, 0.8939, 0.9211, 0.8554, 0.8925, 0.8854, 0.9188, 0.8759]",0.8934,5.0,0.001,0.84,1.0,128,45
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.411, 0.6802, 0.905, 0.9213, 0.9014, 0.9164, 0.9216, 0.9204, 0.9337, 0.9425, 0.9354, 0.9148, 0.8635, 0.8911, 0.9317]",0.8954,5.0,0.001,0.84,1.0,128,46
