perf,mean_perf,e,d,nm,norm,bs,seed
"[0.1899, 0.2321, 0.2999, 0.5376, 0.6058, 0.6396, 0.6924, 0.7456, 0.7489, 0.7647, 0.7776, 0.7894, 0.8108, 0.8205, 0.8302]",0.8205,ThreeLevels-0-Ours,0.001,9.74,1.0,435,42
"[0.1411, 0.1634, 0.1975, 0.1876, 0.2507, 0.3773, 0.3794, 0.4615, 0.4543, 0.4971, 0.5537, 0.525, 0.5604, 0.5938, 0.6471]",0.6004,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1066, 0.1819, 0.1758, 0.3534, 0.4424, 0.514, 0.5939, 0.5969, 0.6454, 0.7086, 0.7191, 0.717, 0.7429, 0.7556, 0.7746]",0.7577,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,42
"[0.2014, 0.1258, 0.2657, 0.3682, 0.4709, 0.5065, 0.5961, 0.6656, 0.7014, 0.7442, 0.7685, 0.785, 0.7994, 0.8085, 0.834]",0.814,BoundedPareto-0-Ours,0.001,9.74,1.0,293,42
"[0.1411, 0.1634, 0.1975, 0.1876, 0.2507, 0.3773, 0.3794, 0.4615, 0.4543, 0.4971, 0.5537, 0.525, 0.5604, 0.5938, 0.6471]",0.6004,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1629, 0.2355, 0.2135, 0.3152, 0.3317, 0.4344, 0.4912, 0.5116, 0.6003, 0.619, 0.6673, 0.639, 0.6778, 0.6905, 0.7344]",0.7009,BoundedPareto-0-Dropout,0.001,9.74,1.0,120,42
"[0.1423, 0.2047, 0.299, 0.59, 0.6161, 0.6412, 0.6945, 0.7457, 0.7461, 0.7668, 0.7777, 0.7925, 0.8104, 0.8202, 0.8307]",0.8204,BoundedMixGauss-0-Ours,0.001,9.74,1.0,411,42
"[0.1411, 0.1634, 0.1975, 0.1876, 0.2507, 0.3773, 0.3794, 0.4615, 0.4543, 0.4971, 0.5537, 0.525, 0.5604, 0.5938, 0.6471]",0.6004,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1356, 0.2254, 0.2069, 0.3175, 0.4567, 0.5208, 0.5965, 0.5928, 0.6402, 0.7074, 0.71, 0.7124, 0.741, 0.7504, 0.7659]",0.7524,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,166,42
"[0.1014, 0.1566, 0.3784, 0.6002, 0.6386, 0.6818, 0.7228, 0.7671, 0.7796, 0.8114, 0.8238, 0.8325, 0.8464, 0.85, 0.8568]",0.8511,ThreeLevels-0-Ours,0.001,9.74,1.0,435,43
"[0.0862, 0.125, 0.2147, 0.2985, 0.3095, 0.429, 0.4154, 0.4622, 0.4682, 0.5212, 0.531, 0.5827, 0.594, 0.5982, 0.5997]",0.5973,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.0997, 0.2156, 0.315, 0.4916, 0.5673, 0.5384, 0.5809, 0.639, 0.6337, 0.6717, 0.7145, 0.7263, 0.7448, 0.7494, 0.7745]",0.7562,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,43
"[0.1725, 0.2868, 0.4177, 0.5283, 0.6033, 0.6325, 0.6859, 0.7299, 0.7605, 0.7871, 0.809, 0.8208, 0.8285, 0.8232, 0.8465]",0.8327,BoundedPareto-0-Ours,0.001,9.74,1.0,299,43
"[0.0862, 0.125, 0.2147, 0.2985, 0.3095, 0.429, 0.4154, 0.4622, 0.4682, 0.5212, 0.531, 0.5827, 0.594, 0.5982, 0.5997]",0.5973,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.1013, 0.2435, 0.3703, 0.3804, 0.4677, 0.4991, 0.4823, 0.5962, 0.619, 0.6409, 0.6605, 0.6938, 0.7208, 0.7406, 0.7635]",0.7416,BoundedPareto-0-Dropout,0.001,9.74,1.0,123,43
"[0.1107, 0.1562, 0.3747, 0.5689, 0.6559, 0.6872, 0.7171, 0.7627, 0.7805, 0.8104, 0.8222, 0.8324, 0.8467, 0.8539, 0.8595]",0.8534,BoundedMixGauss-0-Ours,0.001,9.74,1.0,471,43
"[0.0862, 0.125, 0.2147, 0.2985, 0.3095, 0.429, 0.4154, 0.4622, 0.4682, 0.5212, 0.531, 0.5827, 0.594, 0.5982, 0.5997]",0.5973,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,43
