perf,mean_perf,e,d,nm,norm,bs,seed
"[0.3463, 0.9531, 0.9719, 0.9753, 0.9789, 0.9804, 0.9823, 0.9827, 0.9835, 0.9826, 0.9841, 0.9823, 0.9831, 0.9849, 0.9854]",0.9845,PrivacyFree,,,,128,42
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.4981, 0.9624, 0.9706, 0.9765, 0.9769, 0.9743, 0.9799, 0.9794, 0.9813, 0.9832, 0.9833, 0.9831, 0.9849, 0.9859, 0.9854]",0.9854,PrivacyFree,,,,128,43
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.4596, 0.9562, 0.9675, 0.9746, 0.9737, 0.9794, 0.9795, 0.9781, 0.9824, 0.9801, 0.983, 0.9842, 0.9843, 0.9847, 0.9852]",0.9847,PrivacyFree,,,,128,44
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.3867, 0.9582, 0.9702, 0.9764, 0.9775, 0.9765, 0.981, 0.9824, 0.9812, 0.9827, 0.9837, 0.9838, 0.9854, 0.9854, 0.9864]",0.9857,PrivacyFree,,,,128,45
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.2923, 0.9525, 0.9666, 0.9756, 0.979, 0.9809, 0.981, 0.9826, 0.9828, 0.9821, 0.9838, 0.9839, 0.9837, 0.984, 0.9847]",0.9841,PrivacyFree,,,,128,46
