type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1016, 0.1188, 0.1077, 0.165, 0.1287, 0.1209, 0.1931, 0.1787, 0.1522, 0.176, 0.3064, 0.2145, 0.3191, 0.339, 0.3753]",0.3445,ThreeLevels-0-SCF,0.001,9.74,1.0,99,42
personal,0.0,15,"[0.3262, 0.6083, 0.7025, 0.9131, 0.9708, 0.9758, 0.9771, 0.9812, 0.9823, 0.9839, 0.9836, 0.9852, 0.9863, 0.9883, 0.989]",0.9879,ThreeLevels-0-SCF,0.001,9.74,1.0,99,42
pooled,0.0,15,"[0.1269, 0.1518, 0.1611, 0.1826, 0.1942, 0.1953, 0.1955, 0.1964, 0.1967, 0.1971, 0.1971, 0.1973, 0.1975, 0.1979, 0.1981]",0.1978,ThreeLevels-0-SCF,0.001,9.74,1.0,99,42
global,0.0,15,"[0.1016, 0.1027, 0.1055, 0.1844, 0.1774, 0.1099, 0.2359, 0.2633, 0.36, 0.2599, 0.3661, 0.3202, 0.3871, 0.3307, 0.4334]",0.3837,BoundedPareto-0-SCF,0.001,9.74,1.0,246,42
personal,0.0,15,"[0.3173, 0.6138, 0.7136, 0.9476, 0.97, 0.9781, 0.9793, 0.9772, 0.9811, 0.9869, 0.9876, 0.9873, 0.9877, 0.9883, 0.9889]",0.9883,BoundedPareto-0-SCF,0.001,9.74,1.0,246,42
pooled,0.0,15,"[0.125, 0.1529, 0.1629, 0.1899, 0.1942, 0.196, 0.1962, 0.1957, 0.1965, 0.1976, 0.1976, 0.1976, 0.1977, 0.1978, 0.1979]",0.1978,BoundedPareto-0-SCF,0.001,9.74,1.0,246,42
global,0.0,15,"[0.1016, 0.1511, 0.1028, 0.1013, 0.1039, 0.108, 0.1981, 0.1316, 0.1534, 0.2585, 0.3023, 0.1913, 0.3311, 0.2798, 0.2733]",0.2947,BoundedMixGauss-0-SCF,0.001,9.74,1.0,129,42
personal,0.0,15,"[0.3135, 0.6251, 0.7271, 0.9375, 0.9716, 0.9747, 0.977, 0.9804, 0.9822, 0.9861, 0.989, 0.9882, 0.9879, 0.9889, 0.9887]",0.9885,BoundedMixGauss-0-SCF,0.001,9.74,1.0,129,42
pooled,0.0,15,"[0.1244, 0.1554, 0.1656, 0.188, 0.1947, 0.1954, 0.1958, 0.1966, 0.1969, 0.1975, 0.198, 0.1979, 0.1977, 0.1979, 0.198]",0.1979,BoundedMixGauss-0-SCF,0.001,9.74,1.0,129,42
global,0.0,15,"[0.1016, 0.1188, 0.1077, 0.165, 0.1287, 0.1209, 0.1931, 0.1787, 0.1522, 0.176, 0.3064, 0.2145, 0.3191, 0.339, 0.3753]",0.3445,ThreeLevels-0-SCF,0.001,9.74,1.0,99,42
personal,0.0,15,"[0.3262, 0.6083, 0.7025, 0.9131, 0.9708, 0.9758, 0.9771, 0.9812, 0.9823, 0.9839, 0.9836, 0.9852, 0.9863, 0.9883, 0.989]",0.9879,ThreeLevels-0-SCF,0.001,9.74,1.0,99,42
pooled,0.0,15,"[0.1269, 0.1518, 0.1611, 0.1826, 0.1942, 0.1953, 0.1955, 0.1964, 0.1967, 0.1971, 0.1971, 0.1973, 0.1975, 0.1979, 0.1981]",0.1978,ThreeLevels-0-SCF,0.001,9.74,1.0,99,42
global,0.0,15,"[0.1016, 0.1027, 0.1055, 0.1844, 0.1774, 0.1099, 0.2359, 0.2633, 0.36, 0.2599, 0.3661, 0.3202, 0.3871, 0.3307, 0.4334]",0.3837,BoundedPareto-0-SCF,0.001,9.74,1.0,246,42
personal,0.0,15,"[0.3173, 0.6138, 0.7136, 0.9476, 0.97, 0.9781, 0.9793, 0.9772, 0.9811, 0.9869, 0.9876, 0.9873, 0.9877, 0.9883, 0.9889]",0.9883,BoundedPareto-0-SCF,0.001,9.74,1.0,246,42
pooled,0.0,15,"[0.125, 0.1529, 0.1629, 0.1899, 0.1942, 0.196, 0.1962, 0.1957, 0.1965, 0.1976, 0.1976, 0.1976, 0.1977, 0.1978, 0.1979]",0.1978,BoundedPareto-0-SCF,0.001,9.74,1.0,246,42
global,0.0,15,"[0.1016, 0.1511, 0.1028, 0.1013, 0.1039, 0.108, 0.1981, 0.1316, 0.1534, 0.2585, 0.3023, 0.1913, 0.3311, 0.2798, 0.2733]",0.2947,BoundedMixGauss-0-SCF,0.001,9.74,1.0,129,42
personal,0.0,15,"[0.3135, 0.6251, 0.7271, 0.9375, 0.9716, 0.9747, 0.977, 0.9804, 0.9822, 0.9861, 0.989, 0.9882, 0.9879, 0.9889, 0.9887]",0.9885,BoundedMixGauss-0-SCF,0.001,9.74,1.0,129,42
pooled,0.0,15,"[0.1244, 0.1554, 0.1656, 0.188, 0.1947, 0.1954, 0.1958, 0.1966, 0.1969, 0.1975, 0.198, 0.1979, 0.1977, 0.1979, 0.198]",0.1979,BoundedMixGauss-0-SCF,0.001,9.74,1.0,129,42
global,0.0,15,"[0.1016, 0.1013, 0.1255, 0.1013, 0.1031, 0.1064, 0.1164, 0.186, 0.1661, 0.1419, 0.2752, 0.2348, 0.279, 0.2314, 0.3665]",0.2923,ThreeLevels-0-SCF,0.001,9.74,1.0,99,43
personal,0.0,15,"[0.5911, 0.8693, 0.9568, 0.9592, 0.9651, 0.9838, 0.9817, 0.9821, 0.9855, 0.9866, 0.9867, 0.9872, 0.9877, 0.9887, 0.9899]",0.9888,ThreeLevels-0-SCF,0.001,9.74,1.0,99,43
pooled,0.0,15,"[0.1454, 0.1737, 0.1915, 0.192, 0.1932, 0.1969, 0.1965, 0.1966, 0.1972, 0.1975, 0.1976, 0.1978, 0.1978, 0.198, 0.1981]",0.198,ThreeLevels-0-SCF,0.001,9.74,1.0,99,43
global,0.0,15,"[0.1016, 0.1016, 0.0924, 0.1067, 0.208, 0.1053, 0.3104, 0.2278, 0.1397, 0.2549, 0.3388, 0.3784, 0.3221, 0.2955, 0.3626]",0.3267,BoundedPareto-0-SCF,0.001,9.74,1.0,247,43
