type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1016, 0.1027, 0.2004, 0.289, 0.207, 0.3981, 0.3525, 0.3347, 0.3883, 0.3791, 0.4685, 0.3791, 0.4058, 0.4303, 0.4689]",0.435,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.0,15,"[0.3262, 0.6083, 0.7025, 0.9131, 0.9708, 0.9758, 0.9771, 0.9812, 0.9823, 0.9839, 0.9836, 0.9852, 0.9863, 0.9883, 0.989]",0.9879,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.0,15,"[0.1269, 0.1518, 0.1611, 0.1826, 0.1942, 0.1953, 0.1955, 0.1964, 0.1967, 0.1971, 0.1971, 0.1973, 0.1975, 0.1979, 0.1981]",0.1978,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.0,15,"[0.124, 0.1032, 0.1544, 0.1929, 0.1808, 0.2391, 0.2903, 0.2624, 0.339, 0.2468, 0.3792, 0.4084, 0.4484, 0.3832, 0.4294]",0.4203,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.0,15,"[0.3173, 0.6138, 0.7136, 0.9476, 0.97, 0.9781, 0.9793, 0.9772, 0.9811, 0.9869, 0.9876, 0.9873, 0.9877, 0.9883, 0.9889]",0.9883,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.0,15,"[0.125, 0.1529, 0.1629, 0.1899, 0.1942, 0.196, 0.1962, 0.1957, 0.1965, 0.1976, 0.1976, 0.1976, 0.1977, 0.1978, 0.1979]",0.1978,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.0,15,"[0.1264, 0.1027, 0.2129, 0.2526, 0.205, 0.3498, 0.3104, 0.277, 0.4007, 0.4025, 0.478, 0.451, 0.38, 0.4856, 0.5479]",0.4712,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.0,15,"[0.3135, 0.6251, 0.7271, 0.9375, 0.9716, 0.9747, 0.977, 0.9804, 0.9822, 0.9861, 0.989, 0.9882, 0.9879, 0.9889, 0.9887]",0.9885,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.0,15,"[0.1244, 0.1554, 0.1656, 0.188, 0.1947, 0.1954, 0.1958, 0.1966, 0.1969, 0.1975, 0.198, 0.1979, 0.1977, 0.1979, 0.198]",0.1979,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.0,30,"[0.1016, 0.1027, 0.2017, 0.2871, 0.2088, 0.3944, 0.3553, 0.3341, 0.4, 0.3682, 0.4545, 0.3908, 0.3994, 0.4177, 0.4671]",0.4281,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.0,30,"[0.383, 0.682, 0.7793, 0.9788, 0.9846, 0.9863, 0.9872, 0.9881, 0.9887, 0.9891, 0.988, 0.9894, 0.9896, 0.9901, 0.9898]",0.9898,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.0,30,"[0.1384, 0.1667, 0.1765, 0.1961, 0.1972, 0.1976, 0.1977, 0.1978, 0.198, 0.198, 0.1978, 0.1981, 0.1982, 0.1983, 0.1981]",0.1982,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.0,30,"[0.1254, 0.1035, 0.1593, 0.1903, 0.1777, 0.2752, 0.2921, 0.2663, 0.3397, 0.2508, 0.3996, 0.4061, 0.4406, 0.3811, 0.4271]",0.4163,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.0,30,"[0.3833, 0.6809, 0.7786, 0.9826, 0.9853, 0.9864, 0.9871, 0.9886, 0.9883, 0.9898, 0.9893, 0.9899, 0.9909, 0.9903, 0.9891]",0.9901,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.0,30,"[0.1383, 0.1662, 0.1763, 0.1967, 0.1972, 0.1975, 0.1976, 0.1978, 0.1978, 0.198, 0.198, 0.1982, 0.1983, 0.1982, 0.198]",0.1982,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.0,30,"[0.1242, 0.1027, 0.2147, 0.2269, 0.1992, 0.3413, 0.3233, 0.2996, 0.3884, 0.325, 0.394, 0.4081, 0.3648, 0.4662, 0.5328]",0.4546,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.0,30,"[0.386, 0.6804, 0.7791, 0.9821, 0.9857, 0.9877, 0.9874, 0.9873, 0.9869, 0.9887, 0.9893, 0.9887, 0.9895, 0.9898, 0.9892]",0.9895,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.0,30,"[0.139, 0.1666, 0.1764, 0.1967, 0.1975, 0.1979, 0.1978, 0.1977, 0.1978, 0.198, 0.1981, 0.1979, 0.1981, 0.1981, 0.198]",0.1981,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.001,15,"[0.1016, 0.1027, 0.2004, 0.289, 0.207, 0.3981, 0.3525, 0.3347, 0.3883, 0.3791, 0.4685, 0.3791, 0.4058, 0.4303, 0.4689]",0.435,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.001,15,"[0.3254, 0.6119, 0.7147, 0.913, 0.9714, 0.9761, 0.9793, 0.9849, 0.9857, 0.9861, 0.9866, 0.9875, 0.9884, 0.9888, 0.9892]",0.9888,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.001,15,"[0.1268, 0.1527, 0.1634, 0.1829, 0.1945, 0.1954, 0.1961, 0.1971, 0.1973, 0.1975, 0.1976, 0.1978, 0.198, 0.198, 0.198]",0.198,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.001,15,"[0.124, 0.1032, 0.1544, 0.1929, 0.1808, 0.2391, 0.2903, 0.2624, 0.339, 0.2468, 0.3792, 0.4084, 0.4484, 0.3832, 0.4294]",0.4203,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.001,15,"[0.3492, 0.6455, 0.7479, 0.952, 0.973, 0.9778, 0.9783, 0.9804, 0.9823, 0.988, 0.9882, 0.9866, 0.9873, 0.9875, 0.9886]",0.9878,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.001,15,"[0.1311, 0.1591, 0.1699, 0.1907, 0.195, 0.1959, 0.196, 0.1964, 0.1968, 0.1978, 0.1979, 0.1976, 0.1977, 0.1977, 0.1979]",0.1978,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.001,15,"[0.1264, 0.1027, 0.2129, 0.2526, 0.205, 0.3498, 0.3104, 0.277, 0.4007, 0.4025, 0.478, 0.451, 0.38, 0.4856, 0.5479]",0.4712,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.001,15,"[0.3316, 0.6283, 0.7625, 0.9332, 0.9715, 0.9749, 0.9776, 0.9795, 0.9819, 0.9858, 0.988, 0.9889, 0.9878, 0.9884, 0.9892]",0.9885,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.001,15,"[0.1281, 0.1561, 0.1731, 0.1872, 0.1948, 0.1954, 0.1959, 0.1962, 0.1967, 0.1974, 0.1978, 0.198, 0.1977, 0.1978, 0.198]",0.1978,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.001,30,"[0.1016, 0.1027, 0.2017, 0.2871, 0.2088, 0.3944, 0.3553, 0.3341, 0.4, 0.3682, 0.4545, 0.3908, 0.3994, 0.4177, 0.4671]",0.4281,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.001,30,"[0.3834, 0.6806, 0.7785, 0.983, 0.9856, 0.9864, 0.9874, 0.9888, 0.9897, 0.9903, 0.9889, 0.989, 0.9904, 0.9902, 0.99]",0.9902,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.001,30,"[0.1384, 0.1664, 0.1765, 0.1969, 0.1974, 0.1975, 0.1978, 0.1981, 0.1981, 0.1983, 0.198, 0.198, 0.1983, 0.1983, 0.1982]",0.1983,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.001,30,"[0.1254, 0.1035, 0.1593, 0.1903, 0.1777, 0.2752, 0.2921, 0.2663, 0.3397, 0.2508, 0.3996, 0.4061, 0.4406, 0.3811, 0.4271]",0.4163,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
personal,0.001,30,"[0.3859, 0.6821, 0.7771, 0.9824, 0.9856, 0.9853, 0.9875, 0.9817, 0.9811, 0.9909, 0.991, 0.9904, 0.9893, 0.9894, 0.9851]",0.9879,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
pooled,0.001,30,"[0.139, 0.1667, 0.1759, 0.1967, 0.1974, 0.1973, 0.1978, 0.1964, 0.1964, 0.1983, 0.1983, 0.1982, 0.198, 0.1981, 0.1971]",0.1977,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
global,0.001,30,"[0.1242, 0.1027, 0.2147, 0.2269, 0.1992, 0.3413, 0.3233, 0.2996, 0.3884, 0.325, 0.394, 0.4081, 0.3648, 0.4662, 0.5328]",0.4546,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
personal,0.001,30,"[0.3853, 0.6819, 0.7765, 0.9822, 0.9857, 0.9871, 0.9873, 0.9876, 0.9879, 0.9865, 0.9893, 0.9885, 0.9883, 0.9892, 0.9897]",0.9891,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
pooled,0.001,30,"[0.1389, 0.1668, 0.1757, 0.1967, 0.1974, 0.1977, 0.1978, 0.1979, 0.1979, 0.1976, 0.1981, 0.198, 0.1979, 0.198, 0.1982]",0.198,BoundedMixGauss-0-SCF,0.001,9.74,1.0,410,42
global,0.01,15,"[0.1016, 0.1027, 0.2004, 0.289, 0.207, 0.3981, 0.3525, 0.3347, 0.3883, 0.3791, 0.4685, 0.3791, 0.4058, 0.4303, 0.4689]",0.435,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
personal,0.01,15,"[0.3118, 0.5839, 0.7077, 0.9076, 0.9634, 0.9702, 0.9723, 0.9768, 0.975, 0.9835, 0.9848, 0.9841, 0.9858, 0.9858, 0.986]",0.9859,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
pooled,0.01,15,"[0.1241, 0.1474, 0.1623, 0.182, 0.193, 0.1942, 0.1946, 0.1957, 0.1952, 0.1969, 0.1971, 0.197, 0.1978, 0.1977, 0.1974]",0.1976,ThreeLevels-0-SCF,0.001,9.74,1.0,435,42
global,0.01,15,"[0.124, 0.1032, 0.1544, 0.1929, 0.1808, 0.2391, 0.2903, 0.2624, 0.339, 0.2468, 0.3792, 0.4084, 0.4484, 0.3832, 0.4294]",0.4203,BoundedPareto-0-SCF,0.001,9.74,1.0,293,42
