type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1888, 0.1027, 0.1742, 0.3067, 0.1056, 0.2885, 0.2896, 0.2408, 0.5348, 0.4519, 0.4155, 0.3629, 0.5239, 0.6332, 0.3968]",0.518,PrivacyFree,,,,128,42
personal,0.0,15,"[0.2518, 0.4961, 0.5885, 0.7629, 0.8434, 0.8926, 0.9201, 0.941, 0.9454, 0.9652, 0.9702, 0.9737, 0.9739, 0.9762, 0.9782]",0.9761,PrivacyFree,,,,128,42
pooled,0.0,15,"[0.1124, 0.1308, 0.139, 0.1537, 0.1694, 0.1786, 0.1843, 0.1884, 0.1892, 0.1934, 0.1942, 0.1949, 0.1951, 0.1956, 0.1959]",0.1955,PrivacyFree,,,,128,42
global,0.0,15,"[0.1016, 0.1041, 0.0916, 0.1415, 0.149, 0.2603, 0.242, 0.1917, 0.2014, 0.3051, 0.4299, 0.4496, 0.2875, 0.4538, 0.5032]",0.4148,PrivacyFree,,,,128,43
personal,0.0,15,"[0.45, 0.6313, 0.782, 0.8316, 0.8798, 0.909, 0.9303, 0.9324, 0.9346, 0.9722, 0.9736, 0.975, 0.9747, 0.9774, 0.9813]",0.9778,PrivacyFree,,,,128,43
pooled,0.0,15,"[0.1164, 0.125, 0.157, 0.1669, 0.1761, 0.1821, 0.1863, 0.1867, 0.1872, 0.1948, 0.1951, 0.1954, 0.1953, 0.1958, 0.1965]",0.1959,PrivacyFree,,,,128,43
global,0.0,15,"[0.1013, 0.1016, 0.2045, 0.2002, 0.1892, 0.2847, 0.2628, 0.3422, 0.5664, 0.172, 0.4611, 0.46, 0.5845, 0.4777, 0.3041]",0.4554,PrivacyFree,,,,128,44
personal,0.0,15,"[0.3813, 0.5176, 0.7088, 0.7675, 0.785, 0.8814, 0.8872, 0.9246, 0.9333, 0.9338, 0.9352, 0.9359, 0.9782, 0.9795, 0.9825]",0.9801,PrivacyFree,,,,128,44
pooled,0.0,15,"[0.1071, 0.1142, 0.1511, 0.1627, 0.1663, 0.1762, 0.1773, 0.1851, 0.1868, 0.1869, 0.1872, 0.1874, 0.1958, 0.1961, 0.1968]",0.1962,PrivacyFree,,,,128,44
global,0.0,15,"[0.1888, 0.1828, 0.1957, 0.2306, 0.1076, 0.2121, 0.2413, 0.3311, 0.2529, 0.3834, 0.4063, 0.4073, 0.3788, 0.4102, 0.4877]",0.4256,PrivacyFree,,,,128,45
personal,0.0,15,"[0.1678, 0.2076, 0.6517, 0.7064, 0.8451, 0.9367, 0.9409, 0.9639, 0.9657, 0.9719, 0.9734, 0.9774, 0.9778, 0.9811, 0.9811]",0.98,PrivacyFree,,,,128,45
pooled,0.0,15,"[0.1291, 0.1221, 0.1569, 0.1683, 0.1696, 0.1871, 0.1878, 0.1928, 0.1932, 0.1946, 0.195, 0.1957, 0.1957, 0.1964, 0.1964]",0.1962,PrivacyFree,,,,128,45
global,0.0,15,"[0.1034, 0.1538, 0.0915, 0.2251, 0.2035, 0.4044, 0.1953, 0.3518, 0.2821, 0.2998, 0.3192, 0.4303, 0.4984, 0.4525, 0.4586]",0.4698,PrivacyFree,,,,128,46
personal,0.0,15,"[0.2557, 0.551, 0.6728, 0.7776, 0.8831, 0.906, 0.9346, 0.9557, 0.9648, 0.9682, 0.9692, 0.9718, 0.9719, 0.9805, 0.9803]",0.9776,PrivacyFree,,,,128,46
pooled,0.0,15,"[0.1148, 0.1322, 0.146, 0.1566, 0.1765, 0.1812, 0.1867, 0.1914, 0.1931, 0.1937, 0.1938, 0.1943, 0.1944, 0.1962, 0.1962]",0.1956,PrivacyFree,,,,128,46
global,0.0,15,"[0.1888, 0.1027, 0.1742, 0.3067, 0.1056, 0.2885, 0.2896, 0.2408, 0.5348, 0.4519, 0.4155, 0.3629, 0.5239, 0.6332, 0.3968]",0.518,PrivacyFree,,,,128,42
personal,0.0,15,"[0.2518, 0.4961, 0.5885, 0.7629, 0.8434, 0.8926, 0.9201, 0.941, 0.9454, 0.9652, 0.9702, 0.9737, 0.9739, 0.9762, 0.9782]",0.9761,PrivacyFree,,,,128,42
pooled,0.0,15,"[0.1124, 0.1308, 0.139, 0.1537, 0.1694, 0.1786, 0.1843, 0.1884, 0.1892, 0.1934, 0.1942, 0.1949, 0.1951, 0.1956, 0.1959]",0.1955,PrivacyFree,,,,128,42
global,0.001,15,"[0.1888, 0.1027, 0.1742, 0.3067, 0.1056, 0.2885, 0.2896, 0.2408, 0.5348, 0.4519, 0.4155, 0.3629, 0.5239, 0.6332, 0.3968]",0.518,PrivacyFree,,,,128,42
personal,0.001,15,"[0.2518, 0.4959, 0.5945, 0.7604, 0.8634, 0.9179, 0.9283, 0.9364, 0.946, 0.969, 0.9727, 0.9753, 0.9769, 0.9787, 0.9789]",0.9782,PrivacyFree,,,,128,42
pooled,0.001,15,"[0.1124, 0.1308, 0.14, 0.1532, 0.1731, 0.1839, 0.1858, 0.1877, 0.1895, 0.1941, 0.1947, 0.1953, 0.1957, 0.196, 0.196]",0.1959,PrivacyFree,,,,128,42
global,0.01,15,"[0.1888, 0.1027, 0.1742, 0.3067, 0.1056, 0.2885, 0.2896, 0.2408, 0.5348, 0.4519, 0.4155, 0.3629, 0.5239, 0.6332, 0.3968]",0.518,PrivacyFree,,,,128,42
personal,0.01,15,"[0.253, 0.4981, 0.59, 0.7998, 0.8872, 0.8721, 0.9059, 0.9469, 0.9507, 0.9696, 0.974, 0.977, 0.9776, 0.98, 0.981]",0.9795,PrivacyFree,,,,128,42
pooled,0.01,15,"[0.1126, 0.1311, 0.1389, 0.161, 0.1777, 0.175, 0.1814, 0.1898, 0.1906, 0.1942, 0.1949, 0.1955, 0.1958, 0.1962, 0.1964]",0.1961,PrivacyFree,,,,128,42
global,0.1,15,"[0.1888, 0.1027, 0.1742, 0.3067, 0.1056, 0.2885, 0.2896, 0.2408, 0.5348, 0.4519, 0.4155, 0.3629, 0.5239, 0.6332, 0.3968]",0.518,PrivacyFree,,,,128,42
personal,0.1,15,"[0.2877, 0.4774, 0.5681, 0.8392, 0.922, 0.9469, 0.9489, 0.9585, 0.9631, 0.9745, 0.9771, 0.9803, 0.9818, 0.9818, 0.9843]",0.9826,PrivacyFree,,,,128,42
pooled,0.1,15,"[0.1193, 0.1269, 0.1348, 0.1693, 0.1847, 0.1895, 0.19, 0.192, 0.1929, 0.195, 0.1955, 0.1963, 0.1966, 0.1967, 0.197]",0.1968,PrivacyFree,,,,128,42
global,1.0,15,"[0.1888, 0.1027, 0.1742, 0.3067, 0.1056, 0.2885, 0.2896, 0.2408, 0.5348, 0.4519, 0.4155, 0.3629, 0.5239, 0.6332, 0.3968]",0.518,PrivacyFree,,,,128,42
personal,1.0,15,"[0.2641, 0.4582, 0.6408, 0.8768, 0.9499, 0.9558, 0.9584, 0.9684, 0.9717, 0.9758, 0.979, 0.9807, 0.9793, 0.9808, 0.9826]",0.9809,PrivacyFree,,,,128,42
pooled,1.0,15,"[0.1147, 0.1219, 0.1482, 0.1757, 0.19, 0.1913, 0.1919, 0.2067, 0.1977, 0.1996, 0.2002, 0.2083, 0.2023, 0.2058, 0.2045]",0.2042,PrivacyFree,,,,128,42
global,5.0,15,"[0.1888, 0.1027, 0.1742, 0.3067, 0.1056, 0.2885, 0.2896, 0.2408, 0.5348, 0.4519, 0.4155, 0.3629, 0.5239, 0.6332, 0.3968]",0.518,PrivacyFree,,,,128,42
