type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1009, 0.1591, 0.0994, 0.0963, 0.0949, 0.0999, 0.0913, 0.0785, 0.0802, 0.1098, 0.1489, 0.1159, 0.0745, 0.1164, 0.1414]",0.1108,0.0,0.001,640,1.0,128,42
personal,0.0,15,"[0.3634, 0.5568, 0.6987, 0.8077, 0.8709, 0.8946, 0.9049, 0.9116, 0.9186, 0.9473, 0.9544, 0.9583, 0.9599, 0.9602, 0.9588]",0.9596,0.0,0.001,640,1.0,128,42
pooled,0.0,15,"[0.197, 0.2779, 0.3399, 0.3926, 0.4264, 0.4433, 0.4457, 0.4472, 0.4511, 0.4651, 0.4689, 0.4703, 0.4719, 0.4732, 0.4706]",0.4719,0.0,0.001,640,1.0,128,42
global,0.0,15,"[0.1008, 0.1285, 0.1772, 0.1377, 0.2296, 0.1493, 0.2386, 0.2175, 0.485, 0.3901, 0.4035, 0.4291, 0.463, 0.5034, 0.5907]",0.519,0.1,0.001,16.25,1.0,128,42
personal,0.0,15,"[0.3634, 0.5568, 0.6987, 0.8077, 0.8709, 0.8946, 0.9049, 0.9116, 0.9186, 0.9473, 0.9544, 0.9583, 0.9599, 0.9602, 0.9588]",0.9596,0.1,0.001,16.25,1.0,128,42
pooled,0.0,15,"[0.197, 0.2779, 0.3399, 0.3926, 0.4264, 0.4433, 0.4457, 0.4472, 0.4511, 0.4651, 0.4689, 0.4703, 0.4719, 0.4732, 0.4706]",0.4719,0.1,0.001,16.25,1.0,128,42
global,0.0,15,"[0.1012, 0.1441, 0.2941, 0.5313, 0.5837, 0.5662, 0.5546, 0.6304, 0.6512, 0.757, 0.5635, 0.6847, 0.7367, 0.7835, 0.75]",0.7567,0.5,0.001,4.18,1.0,128,42
personal,0.0,15,"[0.3634, 0.5568, 0.6987, 0.8077, 0.8709, 0.8946, 0.9049, 0.9116, 0.9186, 0.9473, 0.9544, 0.9583, 0.9599, 0.9602, 0.9588]",0.9596,0.5,0.001,4.18,1.0,128,42
pooled,0.0,15,"[0.197, 0.2779, 0.3399, 0.3926, 0.4264, 0.4433, 0.4457, 0.4472, 0.4511, 0.4651, 0.4689, 0.4703, 0.4719, 0.4732, 0.4706]",0.4719,0.5,0.001,4.18,1.0,128,42
global,0.0,15,"[0.1267, 0.2546, 0.4396, 0.6235, 0.7526, 0.7097, 0.6375, 0.6991, 0.6968, 0.8115, 0.6162, 0.7227, 0.7977, 0.8427, 0.8087]",0.8164,1.0,0.001,2.4,1.0,128,42
personal,0.0,15,"[0.3634, 0.5568, 0.6987, 0.8077, 0.8709, 0.8946, 0.9049, 0.9116, 0.9186, 0.9473, 0.9544, 0.9583, 0.9599, 0.9602, 0.9588]",0.9596,1.0,0.001,2.4,1.0,128,42
pooled,0.0,15,"[0.197, 0.2779, 0.3399, 0.3926, 0.4264, 0.4433, 0.4457, 0.4472, 0.4511, 0.4651, 0.4689, 0.4703, 0.4719, 0.4732, 0.4706]",0.4719,1.0,0.001,2.4,1.0,128,42
global,0.0,15,"[0.2304, 0.3224, 0.5236, 0.6335, 0.7315, 0.8754, 0.6731, 0.7485, 0.7855, 0.8921, 0.73, 0.7176, 0.8143, 0.8799, 0.8496]",0.8479,4.0,0.001,1.02,1.0,128,42
personal,0.0,15,"[0.3634, 0.5568, 0.6987, 0.8077, 0.8709, 0.8946, 0.9049, 0.9116, 0.9186, 0.9473, 0.9544, 0.9583, 0.9599, 0.9602, 0.9588]",0.9596,4.0,0.001,1.02,1.0,128,42
pooled,0.0,15,"[0.197, 0.2779, 0.3399, 0.3926, 0.4264, 0.4433, 0.4457, 0.4472, 0.4511, 0.4651, 0.4689, 0.4703, 0.4719, 0.4732, 0.4706]",0.4719,4.0,0.001,1.02,1.0,128,42
global,0.0,15,"[0.2103, 0.3548, 0.4925, 0.6307, 0.7678, 0.8843, 0.6628, 0.741, 0.7733, 0.8937, 0.7346, 0.7068, 0.7758, 0.8819, 0.879]",0.8456,8.0,0.001,0.77,1.0,128,42
