type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1034, 0.1061, 0.1865, 0.2596, 0.4613, 0.4891, 0.5914, 0.6656, 0.6794, 0.6687, 0.6974, 0.7563, 0.8176, 0.8353, 0.8253]",0.8261,ThreeLevels-0-SCF,0.001,9.74,1.0,97,42
personal,0.0,15,"[0.3891, 0.6584, 0.8265, 0.8472, 0.9004, 0.923, 0.961, 0.9661, 0.9689, 0.9713, 0.9686, 0.9763, 0.9771, 0.9777, 0.9785]",0.9778,ThreeLevels-0-SCF,0.001,9.74,1.0,97,42
pooled,0.0,15,"[0.149, 0.2081, 0.2566, 0.3049, 0.3452, 0.3638, 0.3968, 0.4111, 0.4249, 0.4321, 0.4345, 0.4318, 0.437, 0.4478, 0.4517]",0.4455,ThreeLevels-0-SCF,0.001,9.74,1.0,97,42
global,0.0,15,"[0.0987, 0.1481, 0.1811, 0.235, 0.2843, 0.45, 0.5264, 0.4025, 0.6878, 0.7601, 0.7023, 0.7685, 0.8067, 0.8385, 0.8507]",0.832,ThreeLevels-0-SCF,0.001,9.74,1.0,97,43
personal,0.0,15,"[0.4602, 0.6459, 0.7359, 0.8338, 0.8811, 0.9046, 0.9153, 0.9173, 0.9561, 0.9664, 0.9689, 0.9726, 0.974, 0.9744, 0.9763]",0.9749,ThreeLevels-0-SCF,0.001,9.74,1.0,97,43
pooled,0.0,15,"[0.1559, 0.2133, 0.2598, 0.2908, 0.3207, 0.347, 0.3653, 0.373, 0.4026, 0.4141, 0.4191, 0.4259, 0.4376, 0.4377, 0.447]",0.4408,ThreeLevels-0-SCF,0.001,9.74,1.0,97,43
global,0.0,15,"[0.1031, 0.1677, 0.1843, 0.3188, 0.428, 0.4975, 0.613, 0.6402, 0.7169, 0.7844, 0.7443, 0.7861, 0.7926, 0.7653, 0.823]",0.7936,ThreeLevels-0-SCF,0.001,9.74,1.0,97,44
personal,0.0,15,"[0.4156, 0.5969, 0.7688, 0.8632, 0.8859, 0.9067, 0.9486, 0.9553, 0.9603, 0.9627, 0.9704, 0.9744, 0.9757, 0.9774, 0.9762]",0.9764,ThreeLevels-0-SCF,0.001,9.74,1.0,97,44
pooled,0.0,15,"[0.1343, 0.1635, 0.2264, 0.2685, 0.3102, 0.3293, 0.3746, 0.3873, 0.4018, 0.4126, 0.4228, 0.4379, 0.4412, 0.4511, 0.4503]",0.4475,ThreeLevels-0-SCF,0.001,9.74,1.0,97,44
global,0.0,15,"[0.1151, 0.1599, 0.2112, 0.5269, 0.5898, 0.5596, 0.5219, 0.6223, 0.5374, 0.7059, 0.7532, 0.6942, 0.7606, 0.7491, 0.8137]",0.7745,ThreeLevels-0-SCF,0.001,9.74,1.0,97,45
personal,0.0,15,"[0.1797, 0.6448, 0.8475, 0.8954, 0.9258, 0.9549, 0.9622, 0.9645, 0.969, 0.9687, 0.9695, 0.9711, 0.9732, 0.9751, 0.9754]",0.9746,ThreeLevels-0-SCF,0.001,9.74,1.0,97,45
pooled,0.0,15,"[0.1369, 0.2045, 0.2195, 0.2757, 0.3303, 0.3847, 0.3937, 0.4005, 0.4106, 0.4063, 0.4141, 0.4237, 0.4355, 0.452, 0.4531]",0.4469,ThreeLevels-0-SCF,0.001,9.74,1.0,97,45
global,0.0,15,"[0.1004, 0.1795, 0.2935, 0.4276, 0.5107, 0.6327, 0.7844, 0.6506, 0.7468, 0.6938, 0.8054, 0.7368, 0.8224, 0.759, 0.8598]",0.8137,ThreeLevels-0-SCF,0.001,9.74,1.0,97,46
personal,0.0,15,"[0.4302, 0.5209, 0.7934, 0.8798, 0.9162, 0.9374, 0.9484, 0.9582, 0.962, 0.9695, 0.9726, 0.973, 0.9749, 0.9756, 0.9771]",0.9759,ThreeLevels-0-SCF,0.001,9.74,1.0,97,46
pooled,0.0,15,"[0.1573, 0.1929, 0.2799, 0.3011, 0.3228, 0.3526, 0.3795, 0.3939, 0.4111, 0.4219, 0.4258, 0.4347, 0.4408, 0.4433, 0.4484]",0.4442,ThreeLevels-0-SCF,0.001,9.74,1.0,97,46
global,1.0,15,"[0.1034, 0.1061, 0.1865, 0.2596, 0.4613, 0.4891, 0.5914, 0.6656, 0.6794, 0.6687, 0.6974, 0.7563, 0.8176, 0.8353, 0.8253]",0.8261,ThreeLevels-0-SCF,0.001,9.74,1.0,97,42
personal,1.0,15,"[0.3539, 0.6625, 0.8193, 0.8434, 0.8882, 0.9217, 0.9468, 0.9503, 0.9442, 0.9453, 0.9462, 0.9412, 0.9443, 0.9472, 0.9469]",0.9461,ThreeLevels-0-SCF,0.001,9.74,1.0,97,42
pooled,1.0,15,"[0.1162, 0.1701, 0.2267, 0.2984, 0.3587, 0.427, 0.4831, 0.56, 0.5902, 0.6152, 0.6102, 0.6175, 0.6366, 0.6373, 0.649]",0.641,ThreeLevels-0-SCF,0.001,9.74,1.0,97,42
global,1.0,15,"[0.0987, 0.1481, 0.1811, 0.235, 0.2843, 0.45, 0.5264, 0.4025, 0.6878, 0.7601, 0.7023, 0.7685, 0.8067, 0.8385, 0.8507]",0.832,ThreeLevels-0-SCF,0.001,9.74,1.0,97,43
personal,1.0,15,"[0.4228, 0.5977, 0.6954, 0.8268, 0.886, 0.9093, 0.9224, 0.9288, 0.9436, 0.9465, 0.9464, 0.9566, 0.9577, 0.9573, 0.959]",0.958,ThreeLevels-0-SCF,0.001,9.74,1.0,97,43
pooled,1.0,15,"[0.1128, 0.1531, 0.2188, 0.2566, 0.3244, 0.4168, 0.4767, 0.5396, 0.5576, 0.6174, 0.6408, 0.6747, 0.6749, 0.679, 0.7172]",0.6904,ThreeLevels-0-SCF,0.001,9.74,1.0,97,43
global,1.0,15,"[0.1031, 0.1677, 0.1843, 0.3188, 0.428, 0.4975, 0.613, 0.6402, 0.7169, 0.7844, 0.7443, 0.7861, 0.7926, 0.7653, 0.823]",0.7936,ThreeLevels-0-SCF,0.001,9.74,1.0,97,44
personal,1.0,15,"[0.3501, 0.527, 0.7543, 0.8749, 0.8917, 0.9012, 0.9399, 0.9398, 0.9466, 0.9496, 0.9555, 0.9392, 0.9542, 0.9458, 0.9561]",0.952,ThreeLevels-0-SCF,0.001,9.74,1.0,97,44
pooled,1.0,15,"[0.1149, 0.1365, 0.212, 0.3178, 0.3583, 0.4225, 0.4881, 0.5301, 0.5579, 0.6047, 0.6264, 0.6512, 0.6701, 0.6956, 0.6947]",0.6868,ThreeLevels-0-SCF,0.001,9.74,1.0,97,44
