type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.0814, 0.1072, 0.1355, 0.1058, 0.0863, 0.1261, 0.0839, 0.1246, 0.0971, 0.0661, 0.1266, 0.0942, 0.0999, 0.1018, 0.0957]",0.0991,0.0,0.001,2560,1.0,128,42
personal,0.0,15,"[0.0456, 0.048, 0.0404, 0.1112, 0.1678, 0.1827, 0.2192, 0.2239, 0.2129, 0.2291, 0.2102, 0.234, 0.2247, 0.2071, 0.2402]",0.224,0.0,0.001,2560,1.0,128,42
pooled,0.0,15,"[0.1032, 0.1016, 0.0953, 0.0996, 0.1013, 0.1047, 0.1068, 0.1056, 0.1111, 0.1096, 0.1113, 0.1137, 0.1054, 0.1026, 0.1054]",0.1045,0.0,0.001,2560,1.0,128,42
global,0.0,15,"[0.101, 0.0987, 0.1209, 0.0975, 0.2323, 0.2034, 0.1288, 0.3829, 0.389, 0.3953, 0.382, 0.4036, 0.4532, 0.3188, 0.4027]",0.3916,0.1,0.001,90.0,1.0,128,42
personal,0.0,15,"[0.2585, 0.3759, 0.5197, 0.6114, 0.6761, 0.6772, 0.7027, 0.7289, 0.7319, 0.7884, 0.789, 0.789, 0.7971, 0.8067, 0.8089]",0.8042,0.1,0.001,90.0,1.0,128,42
pooled,0.0,15,"[0.1013, 0.0992, 0.107, 0.1079, 0.1164, 0.1168, 0.1215, 0.1253, 0.1265, 0.1396, 0.1387, 0.1403, 0.1439, 0.1468, 0.1495]",0.1467,0.1,0.001,90.0,1.0,128,42
global,0.0,15,"[0.1209, 0.1609, 0.2826, 0.3328, 0.3632, 0.401, 0.1544, 0.473, 0.5647, 0.653, 0.6131, 0.6179, 0.6475, 0.5567, 0.5421]",0.5821,0.5,0.001,22.5,1.0,128,42
personal,0.0,15,"[0.2648, 0.4226, 0.5724, 0.7352, 0.7368, 0.7365, 0.749, 0.8153, 0.8522, 0.8595, 0.8596, 0.8775, 0.8858, 0.8917, 0.8975]",0.8917,0.5,0.001,22.5,1.0,128,42
pooled,0.0,15,"[0.1018, 0.1059, 0.1147, 0.1277, 0.1281, 0.1271, 0.1397, 0.1556, 0.1781, 0.1866, 0.1858, 0.1999, 0.2047, 0.2139, 0.2195]",0.2127,0.5,0.001,22.5,1.0,128,42
global,0.0,15,"[0.1144, 0.1793, 0.269, 0.4238, 0.3343, 0.4089, 0.253, 0.5112, 0.6241, 0.6266, 0.6601, 0.632, 0.6989, 0.6589, 0.6322]",0.6633,1.0,0.001,12.5,1.0,128,42
personal,0.0,15,"[0.2648, 0.4349, 0.5563, 0.7385, 0.7421, 0.7562, 0.76, 0.8557, 0.861, 0.883, 0.8807, 0.9039, 0.9122, 0.9152, 0.9184]",0.9153,1.0,0.001,12.5,1.0,128,42
pooled,0.0,15,"[0.1018, 0.1079, 0.1198, 0.1279, 0.1283, 0.1436, 0.1481, 0.1825, 0.1881, 0.2116, 0.2118, 0.2282, 0.2373, 0.241, 0.2431]",0.2405,1.0,0.001,12.5,1.0,128,42
global,0.0,15,"[0.0909, 0.1402, 0.3028, 0.2664, 0.4907, 0.5318, 0.4542, 0.597, 0.6944, 0.7195, 0.7491, 0.764, 0.7111, 0.8042, 0.8028]",0.7727,4.0,0.001,4.07,1.0,128,42
personal,0.0,15,"[0.318, 0.4382, 0.6299, 0.7446, 0.8288, 0.8562, 0.8633, 0.8918, 0.8972, 0.9044, 0.925, 0.9352, 0.9391, 0.9546, 0.9555]",0.9497,4.0,0.001,4.07,1.0,128,42
pooled,0.0,15,"[0.1099, 0.1084, 0.1324, 0.1374, 0.1619, 0.1969, 0.2028, 0.24, 0.2472, 0.263, 0.272, 0.2858, 0.2935, 0.3041, 0.3063]",0.3013,4.0,0.001,4.07,1.0,128,42
global,0.0,15,"[0.119, 0.1027, 0.3095, 0.2656, 0.5203, 0.5675, 0.469, 0.6333, 0.6506, 0.6864, 0.777, 0.685, 0.7155, 0.7427, 0.7901]",0.7494,8.0,0.001,2.5,1.0,128,42
personal,0.0,15,"[0.2641, 0.4569, 0.6524, 0.7614, 0.8501, 0.8675, 0.8698, 0.899, 0.9051, 0.9104, 0.9358, 0.9433, 0.9456, 0.9616, 0.9638]",0.957,8.0,0.001,2.5,1.0,128,42
pooled,0.0,15,"[0.1017, 0.1119, 0.1455, 0.1557, 0.1838, 0.2121, 0.2149, 0.2525, 0.2649, 0.2814, 0.2949, 0.3067, 0.3108, 0.3221, 0.3311]",0.3213,8.0,0.001,2.5,1.0,128,42
global,0.0,15,"[0.1219, 0.1675, 0.2943, 0.3593, 0.6269, 0.6293, 0.432, 0.631, 0.6636, 0.6388, 0.6693, 0.7339, 0.783, 0.8645, 0.84]",0.8292,16.0,0.001,1.54,1.0,128,42
personal,0.0,15,"[0.318, 0.4373, 0.666, 0.7673, 0.866, 0.8848, 0.8874, 0.9059, 0.9092, 0.9178, 0.9404, 0.9464, 0.9481, 0.9652, 0.9663]",0.9599,16.0,0.001,1.54,1.0,128,42
pooled,0.0,15,"[0.1099, 0.1082, 0.1488, 0.1586, 0.2055, 0.2378, 0.2491, 0.2756, 0.2824, 0.291, 0.3058, 0.3166, 0.3234, 0.3446, 0.3458]",0.3379,16.0,0.001,1.54,1.0,128,42
global,0.0,30,"[0.1039, 0.1032, 0.1161, 0.1346, 0.1524, 0.1579, 0.0877, 0.2129, 0.1524, 0.1846, 0.1541, 0.1433, 0.1487, 0.1145, 0.1135]",0.1256,0.0,0.001,2560,1.0,128,42
personal,0.0,30,"[0.0431, 0.0593, 0.1082, 0.2443, 0.265, 0.2632, 0.2513, 0.3671, 0.3568, 0.3706, 0.3451, 0.3058, 0.3208, 0.3408, 0.3901]",0.3506,0.0,0.001,2560,1.0,128,42
pooled,0.0,30,"[0.1013, 0.1025, 0.108, 0.104, 0.1071, 0.1059, 0.1133, 0.1143, 0.1104, 0.1073, 0.1128, 0.1076, 0.1108, 0.1098, 0.1134]",0.1113,0.0,0.001,2560,1.0,128,42
global,0.0,30,"[0.0975, 0.0977, 0.1379, 0.1289, 0.2373, 0.231, 0.1429, 0.2525, 0.3285, 0.3483, 0.2714, 0.3447, 0.3812, 0.3594, 0.3561]",0.3656,0.1,0.001,90.0,1.0,128,42
personal,0.0,30,"[0.2584, 0.417, 0.5845, 0.7062, 0.7241, 0.7288, 0.7381, 0.7898, 0.8109, 0.8201, 0.8289, 0.8345, 0.8407, 0.8424, 0.8419]",0.8417,0.1,0.001,90.0,1.0,128,42
pooled,0.0,30,"[0.1024, 0.1066, 0.1163, 0.12, 0.1235, 0.1267, 0.136, 0.1475, 0.1571, 0.1647, 0.1717, 0.1749, 0.1796, 0.1809, 0.1873]",0.1826,0.1,0.001,90.0,1.0,128,42
global,0.0,30,"[0.091, 0.1091, 0.2077, 0.3454, 0.281, 0.4122, 0.1857, 0.4393, 0.5544, 0.5981, 0.6059, 0.6052, 0.6585, 0.645, 0.5258]",0.6098,0.5,0.001,22.5,1.0,128,42
personal,0.0,30,"[0.2772, 0.4383, 0.6476, 0.7529, 0.833, 0.8479, 0.856, 0.8729, 0.8735, 0.8745, 0.8884, 0.8966, 0.9027, 0.9055, 0.912]",0.9067,0.5,0.001,22.5,1.0,128,42
pooled,0.0,30,"[0.104, 0.1085, 0.1331, 0.1403, 0.1589, 0.1767, 0.1825, 0.1999, 0.2023, 0.2088, 0.2174, 0.2257, 0.232, 0.2338, 0.2416]",0.2358,0.5,0.001,22.5,1.0,128,42
global,0.0,30,"[0.0931, 0.1625, 0.1841, 0.297, 0.3502, 0.4325, 0.3454, 0.4679, 0.6127, 0.698, 0.6415, 0.6805, 0.7062, 0.7388, 0.6045]",0.6832,1.0,0.001,12.5,1.0,128,42
personal,0.0,30,"[0.2684, 0.4392, 0.6633, 0.7625, 0.8545, 0.8751, 0.8773, 0.885, 0.8859, 0.908, 0.9199, 0.9236, 0.9254, 0.9363, 0.9387]",0.9335,1.0,0.001,12.5,1.0,128,42
pooled,0.0,30,"[0.1067, 0.1129, 0.1468, 0.1516, 0.1862, 0.2077, 0.2125, 0.2199, 0.2242, 0.2397, 0.2514, 0.2582, 0.264, 0.2756, 0.2775]",0.2724,1.0,0.001,12.5,1.0,128,42
global,0.0,30,"[0.1271, 0.1472, 0.2783, 0.3367, 0.4504, 0.5671, 0.3931, 0.5552, 0.5198, 0.632, 0.7091, 0.7061, 0.7717, 0.8135, 0.7696]",0.7849,4.0,0.001,4.07,1.0,128,42
personal,0.0,30,"[0.319, 0.4409, 0.6822, 0.8899, 0.9096, 0.9326, 0.9352, 0.9398, 0.9417, 0.9531, 0.9604, 0.9606, 0.9609, 0.9609, 0.9604]",0.9607,4.0,0.001,4.07,1.0,128,42
pooled,0.0,30,"[0.1127, 0.1113, 0.1658, 0.2162, 0.2455, 0.2755, 0.2784, 0.2902, 0.2988, 0.3087, 0.3168, 0.3183, 0.3247, 0.3269, 0.3341]",0.3286,4.0,0.001,4.07,1.0,128,42
global,0.0,30,"[0.1748, 0.1492, 0.3668, 0.3049, 0.5813, 0.6975, 0.4232, 0.6328, 0.6007, 0.7378, 0.7734, 0.7395, 0.7614, 0.8498, 0.8589]",0.8234,8.0,0.001,2.5,1.0,128,42
personal,0.0,30,"[0.3317, 0.4519, 0.6831, 0.893, 0.9136, 0.9368, 0.9386, 0.9431, 0.9461, 0.9617, 0.9677, 0.9688, 0.9688, 0.9694, 0.97]",0.9694,8.0,0.001,2.5,1.0,128,42
pooled,0.0,30,"[0.1227, 0.121, 0.1685, 0.2266, 0.2577, 0.2898, 0.2996, 0.3086, 0.3186, 0.3327, 0.3408, 0.3416, 0.342, 0.3448, 0.3574]",0.3481,8.0,0.001,2.5,1.0,128,42
global,0.0,30,"[0.1718, 0.162, 0.3546, 0.4705, 0.5618, 0.697, 0.4594, 0.5961, 0.4741, 0.6485, 0.7655, 0.7251, 0.785, 0.8605, 0.8341]",0.8265,16.0,0.001,1.54,1.0,128,42
personal,0.0,30,"[0.3361, 0.4619, 0.6858, 0.9017, 0.9338, 0.9437, 0.9453, 0.9503, 0.9515, 0.9685, 0.9717, 0.9727, 0.9744, 0.9743, 0.9741]",0.9743,16.0,0.001,1.54,1.0,128,42
pooled,0.0,30,"[0.1319, 0.1334, 0.1805, 0.2489, 0.2895, 0.3085, 0.3149, 0.3255, 0.3289, 0.3468, 0.3564, 0.3574, 0.367, 0.3744, 0.3835]",0.375,16.0,0.001,1.54,1.0,128,42
global,0.0,15,"[0.0995, 0.1072, 0.0947, 0.0967, 0.113, 0.0716, 0.0887, 0.0884, 0.119, 0.1325, 0.135, 0.089, 0.0949, 0.1074, 0.1187]",0.107,0.0,0.001,2560,1.0,128,43
personal,0.0,15,"[0.1434, 0.1426, 0.1713, 0.2116, 0.3131, 0.2857, 0.2745, 0.3309, 0.3486, 0.3472, 0.3749, 0.3641, 0.368, 0.347, 0.3384]",0.3511,0.0,0.001,2560,1.0,128,43
pooled,0.0,15,"[0.0955, 0.097, 0.1092, 0.1015, 0.107, 0.1045, 0.1017, 0.1045, 0.1047, 0.1019, 0.0994, 0.0978, 0.0992, 0.0996, 0.1016]",0.1001,0.0,0.001,2560,1.0,128,43
global,0.0,15,"[0.1481, 0.114, 0.2082, 0.2464, 0.2828, 0.2578, 0.3498, 0.1089, 0.2536, 0.2317, 0.2306, 0.2151, 0.2306, 0.2785, 0.3443]",0.2845,0.1,0.001,90.0,1.0,128,43
personal,0.0,15,"[0.3559, 0.5255, 0.5525, 0.6316, 0.6316, 0.6658, 0.7044, 0.7044, 0.7044, 0.7559, 0.759, 0.7634, 0.7654, 0.7801, 0.7821]",0.7759,0.1,0.001,90.0,1.0,128,43
pooled,0.0,15,"[0.0955, 0.0986, 0.0987, 0.1092, 0.1092, 0.1149, 0.1232, 0.1232, 0.1232, 0.1378, 0.1384, 0.1418, 0.1444, 0.1479, 0.1496]",0.1473,0.1,0.001,90.0,1.0,128,43
global,0.0,15,"[0.1584, 0.1837, 0.249, 0.3298, 0.4083, 0.2869, 0.4133, 0.1951, 0.4204, 0.4516, 0.4201, 0.4263, 0.3737, 0.4825, 0.5412]",0.4658,0.5,0.001,22.5,1.0,128,43
personal,0.0,15,"[0.3594, 0.5973, 0.6375, 0.639, 0.6969, 0.7369, 0.7906, 0.792, 0.81, 0.818, 0.8274, 0.8332, 0.8349, 0.8506, 0.8585]",0.848,0.5,0.001,22.5,1.0,128,43
pooled,0.0,15,"[0.0965, 0.1081, 0.1104, 0.1102, 0.1237, 0.1353, 0.1533, 0.1552, 0.1722, 0.1774, 0.1881, 0.1943, 0.1953, 0.2076, 0.2162]",0.2064,0.5,0.001,22.5,1.0,128,43
global,0.0,15,"[0.1001, 0.1594, 0.1533, 0.3665, 0.3778, 0.4724, 0.4359, 0.2456, 0.5018, 0.53, 0.5205, 0.5218, 0.4453, 0.5819, 0.6327]",0.5533,1.0,0.001,12.5,1.0,128,43
personal,0.0,15,"[0.3595, 0.5461, 0.6448, 0.6793, 0.7297, 0.785, 0.8076, 0.8138, 0.8378, 0.8418, 0.8508, 0.8646, 0.8687, 0.8794, 0.8825]",0.8769,1.0,0.001,12.5,1.0,128,43
pooled,0.0,15,"[0.0965, 0.1048, 0.1115, 0.1229, 0.1411, 0.16, 0.1707, 0.1776, 0.2001, 0.2037, 0.215, 0.2266, 0.23, 0.2418, 0.2442]",0.2387,1.0,0.001,12.5,1.0,128,43
global,0.0,15,"[0.1295, 0.1957, 0.2384, 0.3882, 0.5005, 0.6307, 0.6359, 0.3389, 0.5281, 0.6214, 0.6779, 0.6058, 0.6441, 0.7642, 0.7067]",0.705,4.0,0.001,4.07,1.0,128,43
personal,0.0,15,"[0.3805, 0.612, 0.6929, 0.7689, 0.7847, 0.8101, 0.8588, 0.8594, 0.8667, 0.8731, 0.8812, 0.8895, 0.8924, 0.8987, 0.9168]",0.9026,4.0,0.001,4.07,1.0,128,43
pooled,0.0,15,"[0.1088, 0.1161, 0.1316, 0.1544, 0.176, 0.1936, 0.2242, 0.2258, 0.2334, 0.2366, 0.2546, 0.2644, 0.2724, 0.2816, 0.289]",0.281,4.0,0.001,4.07,1.0,128,43
global,0.0,15,"[0.0998, 0.1942, 0.2808, 0.4081, 0.6288, 0.6669, 0.7569, 0.5073, 0.6246, 0.6178, 0.8026, 0.6273, 0.6785, 0.7931, 0.7506]",0.7407,8.0,0.001,2.5,1.0,128,43
