type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1002, 0.1007, 0.1002, 0.1614, 0.3595, 0.3148, 0.3239, 0.4532, 0.495, 0.6241, 0.6584, 0.5483, 0.6959, 0.6638, 0.7398]",0.6998,ThreeLevels-0-SCF,0.001,9.74,1.0,134,42
personal,0.0,15,"[0.2678, 0.4108, 0.552, 0.7539, 0.8609, 0.8827, 0.885, 0.9027, 0.9111, 0.9269, 0.942, 0.9466, 0.9518, 0.9534, 0.9543]",0.9532,ThreeLevels-0-SCF,0.001,9.74,1.0,134,42
pooled,0.0,15,"[0.1664, 0.2295, 0.3333, 0.4805, 0.5757, 0.6265, 0.6339, 0.6539, 0.6763, 0.7135, 0.7394, 0.7697, 0.7811, 0.7943, 0.8045]",0.7933,ThreeLevels-0-SCF,0.001,9.74,1.0,134,42
global,0.0,15,"[0.1002, 0.1551, 0.1989, 0.3756, 0.332, 0.4776, 0.3374, 0.5158, 0.4378, 0.5313, 0.6426, 0.5458, 0.3527, 0.5486, 0.5933]",0.4982,ThreeLevels-0-SCF,0.001,9.74,1.0,134,43
personal,0.0,15,"[0.3019, 0.6211, 0.7636, 0.8514, 0.8913, 0.908, 0.9159, 0.9191, 0.921, 0.936, 0.9388, 0.9393, 0.9418, 0.9463, 0.9536]",0.9472,ThreeLevels-0-SCF,0.001,9.74,1.0,134,43
pooled,0.0,15,"[0.1433, 0.3178, 0.4419, 0.5581, 0.6186, 0.6532, 0.6706, 0.6821, 0.6902, 0.7431, 0.7506, 0.7601, 0.7667, 0.7824, 0.802]",0.7837,ThreeLevels-0-SCF,0.001,9.74,1.0,134,43
global,0.0,15,"[0.1002, 0.1002, 0.226, 0.1824, 0.2748, 0.2874, 0.4499, 0.526, 0.43, 0.4043, 0.5831, 0.4714, 0.623, 0.6652, 0.6914]",0.6599,ThreeLevels-0-SCF,0.001,9.74,1.0,134,44
personal,0.0,15,"[0.4244, 0.5455, 0.6131, 0.7697, 0.7818, 0.8227, 0.8681, 0.8872, 0.9066, 0.908, 0.9119, 0.9141, 0.9397, 0.949, 0.9525]",0.9471,ThreeLevels-0-SCF,0.001,9.74,1.0,134,44
pooled,0.0,15,"[0.2581, 0.3113, 0.4294, 0.5259, 0.5526, 0.5914, 0.6357, 0.6807, 0.731, 0.748, 0.7635, 0.7742, 0.7979, 0.8104, 0.8066]",0.805,ThreeLevels-0-SCF,0.001,9.74,1.0,134,44
global,0.0,15,"[0.1002, 0.1679, 0.1851, 0.2451, 0.3652, 0.2938, 0.3727, 0.44, 0.4344, 0.5859, 0.579, 0.6293, 0.6302, 0.6204, 0.6883]",0.6463,ThreeLevels-0-SCF,0.001,9.74,1.0,134,45
personal,0.0,15,"[0.1733, 0.2487, 0.6681, 0.7439, 0.8442, 0.8844, 0.8964, 0.9255, 0.9297, 0.9363, 0.948, 0.9501, 0.9554, 0.9573, 0.9603]",0.9577,ThreeLevels-0-SCF,0.001,9.74,1.0,134,45
pooled,0.0,15,"[0.1408, 0.1697, 0.3537, 0.4537, 0.5371, 0.6226, 0.6527, 0.7121, 0.7252, 0.7398, 0.7919, 0.8041, 0.8122, 0.8123, 0.8221]",0.8155,ThreeLevels-0-SCF,0.001,9.74,1.0,134,45
global,0.0,15,"[0.1002, 0.1712, 0.2524, 0.2922, 0.3457, 0.4164, 0.5949, 0.6148, 0.6668, 0.5735, 0.6825, 0.6867, 0.738, 0.8045, 0.7621]",0.7682,ThreeLevels-0-SCF,0.001,9.74,1.0,134,46
personal,0.0,15,"[0.1776, 0.5009, 0.6588, 0.7702, 0.8544, 0.8856, 0.9137, 0.9281, 0.9336, 0.9442, 0.948, 0.9519, 0.9541, 0.9584, 0.9561]",0.9562,ThreeLevels-0-SCF,0.001,9.74,1.0,134,46
pooled,0.0,15,"[0.1238, 0.2082, 0.3336, 0.4284, 0.5557, 0.6094, 0.6656, 0.699, 0.7145, 0.7555, 0.7753, 0.7917, 0.8144, 0.8155, 0.8131]",0.8143,ThreeLevels-0-SCF,0.001,9.74,1.0,134,46
global,1.0,15,"[0.1002, 0.1007, 0.1002, 0.1614, 0.3595, 0.3148, 0.3239, 0.4532, 0.495, 0.6241, 0.6584, 0.5483, 0.6959, 0.6638, 0.7398]",0.6998,ThreeLevels-0-SCF,0.001,9.74,1.0,134,42
personal,1.0,15,"[0.1736, 0.2711, 0.4377, 0.6024, 0.678, 0.7477, 0.7349, 0.7671, 0.7902, 0.8351, 0.8409, 0.8487, 0.8318, 0.8469, 0.8627]",0.8471,ThreeLevels-0-SCF,0.001,9.74,1.0,134,42
pooled,1.0,15,"[0.1025, 0.1332, 0.1717, 0.2849, 0.359, 0.4166, 0.4484, 0.5259, 0.5688, 0.636, 0.6472, 0.6721, 0.6795, 0.6963, 0.7227]",0.6995,ThreeLevels-0-SCF,0.001,9.74,1.0,134,42
global,1.0,15,"[0.1002, 0.1551, 0.1989, 0.3756, 0.332, 0.4776, 0.3374, 0.5158, 0.4378, 0.5313, 0.6426, 0.5458, 0.3527, 0.5486, 0.5933]",0.4982,ThreeLevels-0-SCF,0.001,9.74,1.0,134,43
personal,1.0,15,"[0.2229, 0.4881, 0.5922, 0.7091, 0.7663, 0.7572, 0.7795, 0.7874, 0.7838, 0.8011, 0.7787, 0.7764, 0.79, 0.7976, 0.7829]",0.7902,ThreeLevels-0-SCF,0.001,9.74,1.0,134,43
pooled,1.0,15,"[0.0957, 0.1789, 0.2849, 0.4124, 0.4878, 0.5106, 0.5541, 0.5529, 0.5626, 0.6141, 0.5682, 0.5508, 0.5833, 0.5827, 0.6125]",0.5928,ThreeLevels-0-SCF,0.001,9.74,1.0,134,43
global,1.0,15,"[0.1002, 0.1002, 0.226, 0.1824, 0.2748, 0.2874, 0.4499, 0.526, 0.43, 0.4043, 0.5831, 0.4714, 0.623, 0.6652, 0.6914]",0.6599,ThreeLevels-0-SCF,0.001,9.74,1.0,134,44
personal,1.0,15,"[0.2451, 0.3429, 0.4354, 0.6035, 0.6209, 0.7058, 0.6987, 0.8047, 0.8135, 0.8196, 0.8201, 0.8126, 0.8325, 0.8334, 0.8541]",0.84,ThreeLevels-0-SCF,0.001,9.74,1.0,134,44
pooled,1.0,15,"[0.1337, 0.1595, 0.2533, 0.355, 0.3983, 0.4845, 0.4769, 0.578, 0.6141, 0.65, 0.6445, 0.6348, 0.6337, 0.6565, 0.6737]",0.6546,ThreeLevels-0-SCF,0.001,9.74,1.0,134,44
global,1.0,15,"[0.1002, 0.1679, 0.1851, 0.2451, 0.3652, 0.2938, 0.3727, 0.44, 0.4344, 0.5859, 0.579, 0.6293, 0.6302, 0.6204, 0.6883]",0.6463,ThreeLevels-0-SCF,0.001,9.74,1.0,134,45
personal,1.0,15,"[0.1547, 0.2075, 0.5155, 0.6159, 0.722, 0.7471, 0.7372, 0.8125, 0.8225, 0.8181, 0.841, 0.84, 0.842, 0.844, 0.8416]",0.8425,ThreeLevels-0-SCF,0.001,9.74,1.0,134,45
pooled,1.0,15,"[0.128, 0.1318, 0.2497, 0.3226, 0.4263, 0.4777, 0.4947, 0.5604, 0.5978, 0.6097, 0.6425, 0.6731, 0.6787, 0.6751, 0.6524]",0.6687,ThreeLevels-0-SCF,0.001,9.74,1.0,134,45
global,1.0,15,"[0.1002, 0.1712, 0.2524, 0.2922, 0.3457, 0.4164, 0.5949, 0.6148, 0.6668, 0.5735, 0.6825, 0.6867, 0.738, 0.8045, 0.7621]",0.7682,ThreeLevels-0-SCF,0.001,9.74,1.0,134,46
personal,1.0,15,"[0.1362, 0.4465, 0.6151, 0.7053, 0.7806, 0.781, 0.8154, 0.8023, 0.8387, 0.8203, 0.8342, 0.8324, 0.8459, 0.8513, 0.8219]",0.8397,ThreeLevels-0-SCF,0.001,9.74,1.0,134,46
pooled,1.0,15,"[0.1083, 0.1858, 0.2938, 0.391, 0.5068, 0.5267, 0.5951, 0.6047, 0.6612, 0.6527, 0.7075, 0.6941, 0.6841, 0.7003, 0.6565]",0.6803,ThreeLevels-0-SCF,0.001,9.74,1.0,134,46
global,10.0,15,"[0.1002, 0.1007, 0.1002, 0.1614, 0.3595, 0.3148, 0.3239, 0.4532, 0.495, 0.6241, 0.6584, 0.5483, 0.6959, 0.6638, 0.7398]",0.6998,ThreeLevels-0-SCF,0.001,9.74,1.0,134,42
personal,10.0,15,"[0.1508, 0.2249, 0.3259, 0.4566, 0.5449, 0.6284, 0.6468, 0.7141, 0.7458, 0.7896, 0.8027, 0.8115, 0.8248, 0.8301, 0.8351]",0.83,ThreeLevels-0-SCF,0.001,9.74,1.0,134,42
pooled,10.0,15,"[0.1004, 0.1011, 0.1174, 0.1824, 0.2524, 0.3507, 0.3883, 0.5196, 0.5793, 0.6285, 0.6534, 0.6712, 0.6972, 0.7266, 0.7416]",0.7218,ThreeLevels-0-SCF,0.001,9.74,1.0,134,42
global,10.0,15,"[0.1002, 0.1551, 0.1989, 0.3756, 0.332, 0.4776, 0.3374, 0.5158, 0.4378, 0.5313, 0.6426, 0.5458, 0.3527, 0.5486, 0.5933]",0.4982,ThreeLevels-0-SCF,0.001,9.74,1.0,134,43
personal,10.0,15,"[0.0634, 0.2336, 0.3671, 0.4758, 0.6229, 0.6674, 0.7119, 0.7191, 0.7141, 0.7549, 0.7594, 0.767, 0.7668, 0.7327, 0.7519]",0.7505,ThreeLevels-0-SCF,0.001,9.74,1.0,134,43
pooled,10.0,15,"[0.0922, 0.1243, 0.1913, 0.2887, 0.381, 0.4428, 0.5209, 0.5216, 0.525, 0.5707, 0.57, 0.6027, 0.6052, 0.5624, 0.6029]",0.5902,ThreeLevels-0-SCF,0.001,9.74,1.0,134,43
global,10.0,15,"[0.1002, 0.1002, 0.226, 0.1824, 0.2748, 0.2874, 0.4499, 0.526, 0.43, 0.4043, 0.5831, 0.4714, 0.623, 0.6652, 0.6914]",0.6599,ThreeLevels-0-SCF,0.001,9.74,1.0,134,44
personal,10.0,15,"[0.1074, 0.1635, 0.1957, 0.3766, 0.3972, 0.4954, 0.5355, 0.6461, 0.7117, 0.7255, 0.7261, 0.7354, 0.7981, 0.8118, 0.8248]",0.8116,ThreeLevels-0-SCF,0.001,9.74,1.0,134,44
pooled,10.0,15,"[0.1062, 0.1136, 0.1602, 0.256, 0.2967, 0.3528, 0.4005, 0.5021, 0.5773, 0.6099, 0.5807, 0.604, 0.6133, 0.6458, 0.6658]",0.6416,ThreeLevels-0-SCF,0.001,9.74,1.0,134,44
global,10.0,15,"[0.1002, 0.1679, 0.1851, 0.2451, 0.3652, 0.2938, 0.3727, 0.44, 0.4344, 0.5859, 0.579, 0.6293, 0.6302, 0.6204, 0.6883]",0.6463,ThreeLevels-0-SCF,0.001,9.74,1.0,134,45
personal,10.0,15,"[0.1254, 0.1758, 0.3674, 0.4627, 0.5667, 0.6049, 0.6186, 0.7109, 0.7349, 0.7617, 0.7779, 0.7893, 0.8053, 0.8153, 0.8254]",0.8153,ThreeLevels-0-SCF,0.001,9.74,1.0,134,45
pooled,10.0,15,"[0.1295, 0.1294, 0.1798, 0.244, 0.3404, 0.3906, 0.4258, 0.5044, 0.54, 0.5727, 0.622, 0.6372, 0.6804, 0.6893, 0.6972]",0.689,ThreeLevels-0-SCF,0.001,9.74,1.0,134,45
global,10.0,15,"[0.1002, 0.1712, 0.2524, 0.2922, 0.3457, 0.4164, 0.5949, 0.6148, 0.6668, 0.5735, 0.6825, 0.6867, 0.738, 0.8045, 0.7621]",0.7682,ThreeLevels-0-SCF,0.001,9.74,1.0,134,46
personal,10.0,15,"[0.1099, 0.3101, 0.439, 0.5549, 0.7203, 0.7232, 0.7678, 0.7814, 0.809, 0.8222, 0.8376, 0.8507, 0.8577, 0.8641, 0.8566]",0.8595,ThreeLevels-0-SCF,0.001,9.74,1.0,134,46
pooled,10.0,15,"[0.1092, 0.1301, 0.199, 0.3065, 0.4667, 0.5067, 0.5817, 0.6044, 0.6503, 0.698, 0.7199, 0.7304, 0.7649, 0.7705, 0.7575]",0.7643,ThreeLevels-0-SCF,0.001,9.74,1.0,134,46
