type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1003, 0.1669, 0.4175, 0.6996, 0.7222, 0.8421, 0.7871, 0.8158, 0.8528, 0.8385, 0.8382, 0.8592, 0.8484, 0.8785, 0.8883]",0.8717,ThreeLevels-0-SCF,0.001,9.74,1.0,411,42
personal,0.0,15,"[0.2678, 0.4108, 0.552, 0.7539, 0.8609, 0.8827, 0.885, 0.9027, 0.9111, 0.9269, 0.942, 0.9466, 0.9518, 0.9534, 0.9543]",0.9532,ThreeLevels-0-SCF,0.001,9.74,1.0,411,42
pooled,0.0,15,"[0.1664, 0.2295, 0.3333, 0.4805, 0.5757, 0.6265, 0.6339, 0.6539, 0.6763, 0.7135, 0.7394, 0.7697, 0.7811, 0.7943, 0.8045]",0.7933,ThreeLevels-0-SCF,0.001,9.74,1.0,411,42
global,0.0,15,"[0.1234, 0.1553, 0.2918, 0.5928, 0.6233, 0.7501, 0.6918, 0.7698, 0.7976, 0.8019, 0.7817, 0.8277, 0.821, 0.8578, 0.8686]",0.8491,BoundedPareto-0-SCF,0.001,9.74,1.0,277,42
personal,0.0,15,"[0.2181, 0.3652, 0.5886, 0.7701, 0.8427, 0.8631, 0.8833, 0.9058, 0.9098, 0.9311, 0.9385, 0.9473, 0.9509, 0.951, 0.9515]",0.9511,BoundedPareto-0-SCF,0.001,9.74,1.0,277,42
pooled,0.0,15,"[0.1412, 0.21, 0.3478, 0.4387, 0.5346, 0.5674, 0.6098, 0.6781, 0.6932, 0.7303, 0.7622, 0.7827, 0.7889, 0.7922, 0.8122]",0.7978,BoundedPareto-0-SCF,0.001,9.74,1.0,277,42
global,0.0,15,"[0.1004, 0.1774, 0.4008, 0.6889, 0.7293, 0.834, 0.799, 0.8221, 0.8686, 0.8516, 0.8433, 0.87, 0.8634, 0.8817, 0.8926]",0.8792,BoundedMixGauss-0-SCF,0.001,9.74,1.0,388,42
personal,0.0,15,"[0.2165, 0.3845, 0.6059, 0.7972, 0.8515, 0.8679, 0.879, 0.9003, 0.9156, 0.9337, 0.9415, 0.9487, 0.9477, 0.9509, 0.9572]",0.9519,BoundedMixGauss-0-SCF,0.001,9.74,1.0,388,42
pooled,0.0,15,"[0.1269, 0.2162, 0.35, 0.4808, 0.5455, 0.6158, 0.6171, 0.6664, 0.6905, 0.7352, 0.7565, 0.7854, 0.7891, 0.8015, 0.8102]",0.8003,BoundedMixGauss-0-SCF,0.001,9.74,1.0,388,42
global,0.0,30,"[0.1003, 0.1609, 0.4148, 0.6992, 0.7246, 0.8399, 0.7955, 0.8199, 0.8542, 0.8378, 0.8365, 0.8612, 0.8426, 0.879, 0.8911]",0.8709,ThreeLevels-0-SCF,0.001,9.74,1.0,411,42
personal,0.0,30,"[0.3261, 0.5259, 0.7113, 0.8947, 0.9224, 0.9311, 0.9348, 0.9364, 0.943, 0.9595, 0.963, 0.9653, 0.9665, 0.9653, 0.9649]",0.9656,ThreeLevels-0-SCF,0.001,9.74,1.0,411,42
