type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.108, 0.1348, 0.1658, 0.2251, 0.3223, 0.3702, 0.1862, 0.3983, 0.4758, 0.5151, 0.5624, 0.532, 0.6472, 0.6222, 0.6978]",0.6557,0.1,0.001,23.75,1.0,128,42
personal,0.0,15,"[0.2678, 0.4108, 0.552, 0.7539, 0.8609, 0.8827, 0.885, 0.9027, 0.9111, 0.9269, 0.942, 0.9466, 0.9518, 0.9534, 0.9543]",0.9532,0.1,0.001,23.75,1.0,128,42
pooled,0.0,15,"[0.1664, 0.2295, 0.3333, 0.4805, 0.5757, 0.6265, 0.6339, 0.6539, 0.6763, 0.7135, 0.7394, 0.7697, 0.7811, 0.7943, 0.8045]",0.7933,0.1,0.001,23.75,1.0,128,42
global,0.001,15,"[0.108, 0.1348, 0.1658, 0.2251, 0.3223, 0.3702, 0.1862, 0.3983, 0.4758, 0.5151, 0.5624, 0.532, 0.6472, 0.6222, 0.6978]",0.6557,0.1,0.001,23.75,1.0,128,42
personal,0.001,15,"[0.2659, 0.4077, 0.5877, 0.7869, 0.8714, 0.8899, 0.8937, 0.9013, 0.9112, 0.9396, 0.9501, 0.9519, 0.9534, 0.9534, 0.9545]",0.9538,0.1,0.001,23.75,1.0,128,42
pooled,0.001,15,"[0.1651, 0.2293, 0.3625, 0.4958, 0.5937, 0.6417, 0.6568, 0.6782, 0.7185, 0.7711, 0.7917, 0.8058, 0.8063, 0.8173, 0.8253]",0.8163,0.1,0.001,23.75,1.0,128,42
global,0.01,15,"[0.108, 0.1348, 0.1658, 0.2251, 0.3223, 0.3702, 0.1862, 0.3983, 0.4758, 0.5151, 0.5624, 0.532, 0.6472, 0.6222, 0.6978]",0.6557,0.1,0.001,23.75,1.0,128,42
personal,0.01,15,"[0.2658, 0.417, 0.6086, 0.8057, 0.8844, 0.9047, 0.9077, 0.9183, 0.9268, 0.9443, 0.9531, 0.9534, 0.9554, 0.9556, 0.9522]",0.9544,0.1,0.001,23.75,1.0,128,42
pooled,0.01,15,"[0.164, 0.2367, 0.3808, 0.5232, 0.6073, 0.6565, 0.6706, 0.6979, 0.74, 0.7836, 0.7999, 0.8135, 0.8001, 0.8147, 0.8137]",0.8095,0.1,0.001,23.75,1.0,128,42
global,0.1,15,"[0.108, 0.1348, 0.1658, 0.2251, 0.3223, 0.3702, 0.1862, 0.3983, 0.4758, 0.5151, 0.5624, 0.532, 0.6472, 0.6222, 0.6978]",0.6557,0.1,0.001,23.75,1.0,128,42
