type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.0,15,"[0.1568, 0.7251, 0.9034, 0.9373, 0.945, 0.9516, 0.9481, 0.9618, 0.9645, 0.9652, 0.9707, 0.9745, 0.9742, 0.9758, 0.9782]",0.9761,PrivacyFree,,,,128,42
personal,0.0,15,"[0.1805, 0.2779, 0.3763, 0.5334, 0.6247, 0.699, 0.7141, 0.7842, 0.8219, 0.8753, 0.8841, 0.9017, 0.9182, 0.9237, 0.9298]",0.9239,PrivacyFree,,,,128,42
pooled,0.0,15,"[0.1022, 0.1294, 0.1502, 0.2305, 0.2773, 0.3353, 0.3546, 0.4259, 0.4871, 0.5463, 0.5669, 0.6149, 0.6599, 0.6741, 0.6947]",0.6762,PrivacyFree,,,,128,42
global,0.0,15,"[0.3049, 0.6744, 0.9152, 0.9361, 0.945, 0.9507, 0.9581, 0.9573, 0.9586, 0.9631, 0.9672, 0.9746, 0.9672, 0.9772, 0.9739]",0.9728,PrivacyFree,,,,128,43
personal,0.0,15,"[0.2582, 0.4324, 0.5057, 0.6294, 0.7131, 0.778, 0.8252, 0.8295, 0.8371, 0.8491, 0.8638, 0.8806, 0.8832, 0.896, 0.9069]",0.8954,PrivacyFree,,,,128,43
pooled,0.0,15,"[0.1096, 0.1441, 0.1756, 0.2624, 0.3312, 0.4013, 0.4641, 0.4743, 0.4922, 0.5059, 0.5382, 0.564, 0.5825, 0.6079, 0.6233]",0.6046,PrivacyFree,,,,128,43
global,0.0,15,"[0.3321, 0.5419, 0.8746, 0.9312, 0.9292, 0.9543, 0.9624, 0.9621, 0.9678, 0.9637, 0.9703, 0.9708, 0.9751, 0.9738, 0.9766]",0.9752,PrivacyFree,,,,128,44
personal,0.0,15,"[0.2732, 0.3689, 0.4489, 0.5958, 0.6115, 0.6681, 0.69, 0.7394, 0.803, 0.8073, 0.8345, 0.8446, 0.8799, 0.8999, 0.9041]",0.8946,PrivacyFree,,,,128,44
pooled,0.0,15,"[0.1372, 0.1535, 0.2162, 0.3105, 0.3367, 0.3761, 0.4164, 0.4515, 0.5087, 0.5298, 0.5833, 0.6003, 0.6349, 0.6643, 0.6688]",0.656,PrivacyFree,,,,128,44
global,0.0,15,"[0.386, 0.6661, 0.9033, 0.9284, 0.9393, 0.9541, 0.9586, 0.961, 0.9587, 0.9668, 0.9704, 0.9718, 0.9732, 0.975, 0.9743]",0.9742,PrivacyFree,,,,128,45
personal,0.0,15,"[0.1547, 0.1998, 0.3714, 0.48, 0.5532, 0.6337, 0.6719, 0.7537, 0.789, 0.8339, 0.8663, 0.8914, 0.9048, 0.9055, 0.9141]",0.9081,PrivacyFree,,,,128,45
pooled,0.0,15,"[0.128, 0.1214, 0.1415, 0.1864, 0.2211, 0.2859, 0.3301, 0.401, 0.4436, 0.5182, 0.5564, 0.6003, 0.6362, 0.6399, 0.6619]",0.646,PrivacyFree,,,,128,45
global,0.0,15,"[0.3242, 0.8314, 0.9094, 0.9147, 0.9441, 0.9534, 0.9473, 0.9578, 0.964, 0.9688, 0.9627, 0.9693, 0.97, 0.9704, 0.9716]",0.9707,PrivacyFree,,,,128,46
