perf,mean_perf,e,d,nm,norm,bs,seed
"[0.1328, 0.2312, 0.6203, 0.5359, 0.7601, 0.4866, 0.6915, 0.7478, 0.6336, 0.7025, 0.8907, 0.7808, 0.6355, 0.852, 0.8877]",0.7917,5.0,0.001,0.89,1.0,128,42
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.1022, 0.1643, 0.4829, 0.595, 0.544, 0.6228, 0.7193, 0.7347, 0.7031, 0.8013, 0.7711, 0.7078, 0.7297, 0.7086, 0.8404]",0.7596,5.0,0.001,0.89,1.0,128,43
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.1076, 0.3001, 0.5313, 0.6496, 0.6249, 0.7985, 0.729, 0.5378, 0.8149, 0.7251, 0.8224, 0.8121, 0.8459, 0.876, 0.8685]",0.8635,5.0,0.001,0.89,1.0,128,44
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.1471, 0.2533, 0.4115, 0.4973, 0.6113, 0.6644, 0.787, 0.7074, 0.6659, 0.7947, 0.7497, 0.8527, 0.8127, 0.7742, 0.7935]",0.7935,5.0,0.001,0.89,1.0,128,45
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.1019, 0.2728, 0.4095, 0.5838, 0.6299, 0.7222, 0.6932, 0.663, 0.725, 0.7685, 0.735, 0.6399, 0.7912, 0.7287, 0.761]",0.7603,5.0,0.001,0.89,1.0,128,46
