perf,mean_perf,e,d,nm,norm,bs,seed
"[0.3804, 0.6619, 0.8162, 0.9227, 0.9286, 0.9343, 0.9428, 0.9452, 0.9477, 0.9503, 0.9504, 0.9504, 0.95, 0.924, 0.925]",0.933,5.0,0.001,0.89,1.0,128,42
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.4763, 0.7278, 0.817, 0.8261, 0.9339, 0.9363, 0.9418, 0.9421, 0.944, 0.9427, 0.9375, 0.9397, 0.941, 0.9411, 0.9375]",0.9399,5.0,0.001,0.89,1.0,128,43
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.5201, 0.6807, 0.7024, 0.794, 0.7967, 0.9251, 0.9334, 0.9356, 0.9426, 0.9437, 0.946, 0.9467, 0.9471, 0.9465, 0.9471]",0.9469,5.0,0.001,0.89,1.0,128,44
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.6332, 0.725, 0.8497, 0.859, 0.8601, 0.8985, 0.908, 0.9047, 0.9083, 0.9158, 0.9182, 0.9092, 0.9411, 0.9428, 0.9441]",0.9427,5.0,0.001,0.89,1.0,128,45
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.4592, 0.6562, 0.9065, 0.9195, 0.9282, 0.9324, 0.9273, 0.9306, 0.941, 0.9441, 0.941, 0.9464, 0.947, 0.9452, 0.9474]",0.9465,5.0,0.001,0.89,1.0,128,46
