perf,mean_perf,e,d,nm,norm,bs,seed
"[0.1085, 0.1632, 0.1986, 0.0846, 0.1086, 0.1725, 0.2651, 0.3352, 0.3846, 0.4886, 0.6426, 0.3568, 0.4455, 0.5842, 0.6435]",0.5577,ThreeLevels-0-Ours,0.001,9.74,1.0,435,42
"[0.1032, 0.1454, 0.2085, 0.1676, 0.1139, 0.1013, 0.1954, 0.1855, 0.1889, 0.2479, 0.2546, 0.1583, 0.1118, 0.303, 0.4159]",0.2769,ThreeLevels-0-StrongForAll,0.001,16.25,1.0,142,42
"[0.1064, 0.2211, 0.1648, 0.103, 0.1682, 0.1753, 0.3152, 0.2189, 0.2516, 0.2138, 0.5089, 0.285, 0.3983, 0.5266, 0.5185]",0.4811,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,42
"[0.1031, 0.193, 0.1196, 0.1492, 0.1126, 0.167, 0.2752, 0.2134, 0.2656, 0.2465, 0.5759, 0.3571, 0.3985, 0.5703, 0.6178]",0.5289,BoundedPareto-0-Ours,0.001,9.74,1.0,293,42
"[0.1032, 0.1454, 0.2085, 0.1676, 0.1139, 0.1013, 0.1954, 0.1855, 0.1889, 0.2479, 0.2546, 0.1583, 0.1118, 0.303, 0.4159]",0.2769,BoundedPareto-0-StrongForAll,0.001,16.25,1.0,142,42
"[0.1169, 0.1795, 0.1222, 0.1428, 0.2419, 0.1129, 0.2646, 0.2414, 0.3145, 0.3257, 0.4607, 0.4498, 0.3956, 0.4927, 0.5863]",0.4915,BoundedPareto-0-Dropout,0.001,9.74,1.0,120,42
"[0.1396, 0.2404, 0.1412, 0.1121, 0.108, 0.1687, 0.2773, 0.2789, 0.3804, 0.4627, 0.6416, 0.3791, 0.4247, 0.584, 0.6155]",0.5414,BoundedMixGauss-0-Ours,0.001,9.74,1.0,411,42
"[0.1032, 0.1454, 0.2085, 0.1676, 0.1139, 0.1013, 0.1954, 0.1855, 0.1889, 0.2479, 0.2546, 0.1583, 0.1118, 0.303, 0.4159]",0.2769,BoundedMixGauss-0-StrongForAll,0.001,16.25,1.0,142,42
"[0.1103, 0.2079, 0.1695, 0.1023, 0.1707, 0.1766, 0.3238, 0.2122, 0.2616, 0.2075, 0.5027, 0.3094, 0.4187, 0.5066, 0.5305]",0.4853,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,166,42
"[0.1061, 0.1842, 0.2229, 0.1984, 0.099, 0.1484, 0.2903, 0.3937, 0.3679, 0.478, 0.578, 0.4594, 0.6362, 0.6591, 0.7034]",0.6662,ThreeLevels-0-Ours,0.001,9.74,1.0,435,43
"[0.1016, 0.1024, 0.1045, 0.1622, 0.1003, 0.1071, 0.1771, 0.2483, 0.2649, 0.2734, 0.3014, 0.307, 0.3601, 0.3271, 0.4541]",0.3804,ThreeLevels-0-StrongForAll,0.001,16.25,1.0,142,43
"[0.1022, 0.1434, 0.1708, 0.1256, 0.099, 0.1002, 0.2665, 0.3352, 0.2804, 0.4348, 0.4278, 0.3756, 0.4771, 0.4716, 0.5812]",0.51,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,43
"[0.1317, 0.1173, 0.2395, 0.163, 0.099, 0.1436, 0.2535, 0.4301, 0.3473, 0.5653, 0.5498, 0.4806, 0.5722, 0.5754, 0.6803]",0.6093,BoundedPareto-0-Ours,0.001,9.74,1.0,299,43
"[0.1016, 0.1024, 0.1045, 0.1622, 0.1003, 0.1071, 0.1771, 0.2483, 0.2649, 0.2734, 0.3014, 0.307, 0.3601, 0.3271, 0.4541]",0.3804,BoundedPareto-0-StrongForAll,0.001,16.25,1.0,142,43
"[0.1136, 0.1726, 0.2631, 0.1536, 0.1846, 0.1699, 0.353, 0.3478, 0.3452, 0.355, 0.4409, 0.3335, 0.4394, 0.3574, 0.57]",0.4556,BoundedPareto-0-Dropout,0.001,9.74,1.0,123,43
"[0.1432, 0.1245, 0.1698, 0.1623, 0.099, 0.1357, 0.2835, 0.373, 0.3577, 0.4932, 0.5635, 0.4716, 0.6248, 0.6589, 0.7027]",0.6621,BoundedMixGauss-0-Ours,0.001,9.74,1.0,471,43
"[0.1016, 0.1024, 0.1045, 0.1622, 0.1003, 0.1071, 0.1771, 0.2483, 0.2649, 0.2734, 0.3014, 0.307, 0.3601, 0.3271, 0.4541]",0.3804,BoundedMixGauss-0-StrongForAll,0.001,16.25,1.0,142,43
"[0.1022, 0.1355, 0.1845, 0.1362, 0.099, 0.1002, 0.2629, 0.3345, 0.2927, 0.4416, 0.4607, 0.3847, 0.4726, 0.5004, 0.5964]",0.5231,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,184,43
"[0.1002, 0.1044, 0.1721, 0.2232, 0.1551, 0.336, 0.4053, 0.2389, 0.541, 0.5786, 0.6882, 0.6027, 0.7209, 0.6778, 0.7847]",0.7278,ThreeLevels-0-Ours,0.001,9.74,1.0,435,44
"[0.1877, 0.1023, 0.1036, 0.1342, 0.1263, 0.1992, 0.1727, 0.1763, 0.3595, 0.28, 0.3558, 0.2648, 0.2832, 0.2753, 0.3807]",0.3131,ThreeLevels-0-StrongForAll,0.001,16.25,1.0,142,44
"[0.1002, 0.1044, 0.1053, 0.1843, 0.113, 0.2404, 0.2033, 0.186, 0.4278, 0.475, 0.5263, 0.4431, 0.6051, 0.6367, 0.6829]",0.6416,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,44
"[0.1062, 0.1054, 0.1019, 0.2427, 0.1598, 0.1493, 0.3544, 0.2219, 0.5127, 0.5193, 0.6021, 0.5865, 0.6835, 0.6611, 0.7283]",0.691,BoundedPareto-0-Ours,0.001,9.74,1.0,295,44
"[0.1877, 0.1023, 0.1036, 0.1342, 0.1263, 0.1992, 0.1727, 0.1763, 0.3595, 0.28, 0.3558, 0.2648, 0.2832, 0.2753, 0.3807]",0.3131,BoundedPareto-0-StrongForAll,0.001,16.25,1.0,142,44
"[0.1046, 0.1206, 0.1232, 0.1842, 0.1514, 0.2414, 0.1858, 0.2568, 0.4713, 0.3811, 0.4948, 0.4855, 0.5431, 0.5313, 0.6255]",0.5666,BoundedPareto-0-Dropout,0.001,9.74,1.0,123,44
"[0.1002, 0.1044, 0.1239, 0.2158, 0.1522, 0.3462, 0.4317, 0.2585, 0.5435, 0.5909, 0.7147, 0.5948, 0.7301, 0.6893, 0.7933]",0.7376,BoundedMixGauss-0-Ours,0.001,9.74,1.0,442,44
"[0.1877, 0.1023, 0.1036, 0.1342, 0.1263, 0.1992, 0.1727, 0.1763, 0.3595, 0.28, 0.3558, 0.2648, 0.2832, 0.2753, 0.3807]",0.3131,BoundedMixGauss-0-StrongForAll,0.001,16.25,1.0,142,44
"[0.1002, 0.1044, 0.1052, 0.1769, 0.111, 0.2678, 0.2126, 0.1877, 0.4371, 0.495, 0.5415, 0.4595, 0.6101, 0.6382, 0.675]",0.6411,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,175,44
"[0.1103, 0.1049, 0.1831, 0.2192, 0.1769, 0.2377, 0.2977, 0.3715, 0.3095, 0.5001, 0.6428, 0.6764, 0.6843, 0.5933, 0.6409]",0.6395,ThreeLevels-0-Ours,0.001,9.74,1.0,435,45
"[0.1028, 0.1023, 0.1513, 0.1569, 0.1855, 0.2482, 0.225, 0.2429, 0.1251, 0.192, 0.2385, 0.3169, 0.3078, 0.2785, 0.2328]",0.273,ThreeLevels-0-StrongForAll,0.001,16.25,1.0,142,45
"[0.1016, 0.1109, 0.1599, 0.1681, 0.1934, 0.2539, 0.2311, 0.2579, 0.2919, 0.3886, 0.4812, 0.5356, 0.5023, 0.4944, 0.542]",0.5129,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,45
"[0.1022, 0.1078, 0.1118, 0.1136, 0.2362, 0.1348, 0.3189, 0.3761, 0.1986, 0.4703, 0.5162, 0.6256, 0.6506, 0.5575, 0.6086]",0.6056,BoundedPareto-0-Ours,0.001,9.74,1.0,289,45
"[0.1028, 0.1023, 0.1513, 0.1569, 0.1855, 0.2482, 0.225, 0.2429, 0.1251, 0.192, 0.2385, 0.3169, 0.3078, 0.2785, 0.2328]",0.273,BoundedPareto-0-StrongForAll,0.001,16.25,1.0,142,45
"[0.1609, 0.1822, 0.2104, 0.2639, 0.3359, 0.2192, 0.3426, 0.409, 0.3513, 0.3818, 0.5213, 0.5485, 0.6042, 0.5004, 0.5553]",0.5533,BoundedPareto-0-Dropout,0.001,9.74,1.0,118,45
"[0.1013, 0.1173, 0.1155, 0.2703, 0.1703, 0.2209, 0.2945, 0.4046, 0.319, 0.491, 0.6448, 0.6758, 0.6636, 0.6016, 0.634]",0.6331,BoundedMixGauss-0-Ours,0.001,9.74,1.0,447,45
"[0.1028, 0.1023, 0.1513, 0.1569, 0.1855, 0.2482, 0.225, 0.2429, 0.1251, 0.192, 0.2385, 0.3169, 0.3078, 0.2785, 0.2328]",0.273,BoundedMixGauss-0-StrongForAll,0.001,16.25,1.0,142,45
