perf,mean_perf,e,d,nm,norm,bs,seed
"[0.2601, 0.7037, 0.7728, 0.6374, 0.6426, 0.623, 0.8077, 0.6773, 0.6336, 0.6711, 0.8274, 0.7497, 0.6373, 0.8262, 0.9068]",0.7901,PrivacyFree,,,,128,42
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.23, 0.547, 0.7386, 0.6674, 0.5138, 0.5638, 0.5809, 0.5922, 0.7031, 0.8179, 0.8097, 0.7127, 0.786, 0.8812, 0.9078]",0.8583,PrivacyFree,,,,128,43
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.1655, 0.485, 0.5067, 0.6034, 0.5696, 0.7652, 0.7084, 0.3816, 0.711, 0.7181, 0.8719, 0.836, 0.906, 0.9028, 0.9171]",0.9086,PrivacyFree,,,,128,44
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.2101, 0.4827, 0.7191, 0.5922, 0.7553, 0.6434, 0.7526, 0.7887, 0.6667, 0.7977, 0.892, 0.9299, 0.8535, 0.6406, 0.8018]",0.7653,PrivacyFree,,,,128,45
perf,mean_perf,e,d,nm,norm,bs,seed
"[0.2886, 0.5171, 0.4812, 0.5871, 0.6633, 0.8113, 0.7418, 0.6867, 0.7133, 0.8307, 0.8599, 0.7359, 0.8494, 0.8826, 0.9199]",0.884,PrivacyFree,,,,128,46
