timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-17 14:17,0.8922,"[0.3329, 0.5786, 0.7381, 0.7976, 0.8512, 0.8573, 0.8816, 0.8837, 0.8763, 0.8853, 0.8884, 0.8904, 0.8905, 0.8899, 0.8962]",ThreeLevels-0-Ours,0.001,9.74,1.0,"[435, 435, 435, 435, 435, 435, 435, 435, 435, 435]",0.01,10,0.5
2026-02-17 14:18,0.6893,"[0.1771, 0.215, 0.2274, 0.3475, 0.3716, 0.4378, 0.5298, 0.527, 0.5363, 0.5615, 0.6189, 0.6367, 0.641, 0.7032, 0.7237]",ThreeLevels-0-StrongForAll(0.1),0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
2026-02-17 14:20,0.8205,"[0.1986, 0.2493, 0.4113, 0.5182, 0.6024, 0.6025, 0.7242, 0.7167, 0.7497, 0.7799, 0.8113, 0.8039, 0.8161, 0.8178, 0.8275]",ThreeLevels-0-Dropout(0.7699999999999998),0.001,9.74,1.0,"[175, 175, 175, 175, 175, 175, 175, 175, 175, 175]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-17 14:22,0.8731,"[0.2674, 0.4453, 0.6208, 0.6891, 0.7885, 0.7957, 0.8458, 0.8505, 0.8397, 0.8602, 0.8607, 0.8667, 0.8703, 0.8729, 0.876]",BoundedPareto-0-Ours,0.001,9.74,1.0,"[293, 288, 291, 294, 304, 303, 289, 291, 289, 294]",0.01,10,0.5
2026-02-17 14:23,0.6893,"[0.1771, 0.215, 0.2274, 0.3475, 0.3716, 0.4378, 0.5298, 0.527, 0.5363, 0.5615, 0.6189, 0.6367, 0.641, 0.7032, 0.7237]",BoundedPareto-0-StrongForAll(0.10000138417372431),0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
2026-02-17 14:24,0.7487,"[0.1849, 0.23, 0.3584, 0.3832, 0.4804, 0.45, 0.58, 0.5768, 0.6285, 0.6826, 0.7177, 0.7185, 0.727, 0.744, 0.7752]",BoundedPareto-0-Dropout(0.4316516173121997),0.001,9.74,1.0,"[120, 116, 120, 120, 125, 126, 117, 117, 119, 120]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-02-17 14:27,0.8948,"[0.3699, 0.5445, 0.75, 0.8084, 0.8628, 0.8608, 0.8878, 0.8888, 0.8756, 0.8907, 0.8914, 0.8949, 0.8942, 0.8948, 0.8954]",BoundedMixGauss-0-Ours,0.001,9.74,1.0,"[411, 451, 447, 428, 439, 450, 444, 448, 445, 427]",0.01,10,0.5
2026-02-17 14:28,0.6893,"[0.1771, 0.215, 0.2274, 0.3475, 0.3716, 0.4378, 0.5298, 0.527, 0.5363, 0.5615, 0.6189, 0.6367, 0.641, 0.7032, 0.7237]",BoundedMixGauss-0-StrongForAll(0.1),0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
2026-02-17 14:30,0.8214,"[0.1843, 0.2419, 0.4184, 0.5078, 0.6033, 0.6152, 0.7269, 0.7242, 0.755, 0.7788, 0.8058, 0.81, 0.8174, 0.8177, 0.829]",BoundedMixGauss-0-Dropout(0.7745513565287265),0.001,9.74,1.0,"[166, 177, 177, 174, 173, 177, 177, 179, 172, 170]",0.01,10,0.5
